case_id,hhid,Fish_SpeciesID,fs_i02a,fs_i02b,fs_i02c,fs_i02d,fs_i02e,fs_i01,fs_i02,fs_i02_Oth,fs_i03,fs_i04a,fs_i04b,fs_i_04c,fs_i04d,fs_i04e,fs_i04f,fs_i04g,fs_i04h,fs_i04i,fs_i04j,fs_i04k,fs_i05a,fs_i05b,fs_i06a,fs_i06b,fs_i06c,fs_i06d,fs_i06e,fs_i06f,fs_i06g,fs_i06h,fs_i06i,fs_i06j,fs_i07a,fs_i07b,fs_i08a,fs_i08b,fs_i08c,fs_i08d,fs_i08e,fs_i08f,fs_i08g,fs_i08h,fs_i08i,fs_i08j,fs_i08k,fs_i08l,fs_i09,fs_i10a,fs_i10b,fs_i11a,fs_i11b,fs_i11c,fs_i11d,fs_i11e,fs_i11f,fs_i11g,fs_i11h,fs_i11i,fs_i11j,fs_i12,fs_i13a,fs_i13b
102031320216,1818111553b34ead89842be2dff8ccff,,,,,,,yes,usipa,,15,12,OTHER (SPECIFY),"""10 litre pail """,fresh,,no,,,,,,180,,180,OTHER (SPECIFY),"""10 litre pail """,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,10,OTHER (SPECIFY),"""10 litre pail """,fresh,.,2500,,,,,,,15,yes,,2,OTHER (SPECIFY),"""10 litre pail """,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
102031360271,70ab9300d1d7492790de8ca0837e4af1,,,,,,,yes,usipa,,20,140,OTHER (SPECIFY),"""10 Litre Pail """,fresh,,no,,,,,,2800,,2800,OTHER (SPECIFY),"""10 Litres Pail """,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,130,OTHER (SPECIFY),"""10 Litres Pail """,fresh,.,2500,,,,,,,20,yes,,2,OTHER (SPECIFY),10 LITRE PAIL,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
102041400017,0e66af7d72d34ecba01e7125b699982c,,,,,,,yes,ncheni,,7,3,10 KG BAG,,fresh,,no,,,,,,21,,21,10 KG BAG,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,3,10 KG BAG,,fresh,.,10000,,,,,,,7,no,"""figures are consistent """,1,SMALL BASKET,,smoked,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
102041400073,3533c366067d4e8eb8224aaf3185e921,,,,,,,yes,usipa,,12,8,10 KG BAG,,fresh,,no,,,,,,96,,96,10 KG BAG,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,8,10 KG BAG,,fresh,.,10500,,,,,,,12,no,""" No difference """,1,SMALL BASKET,,SUN-DRIED,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
102051430036,f90d55d471e643f5b060ae457d032d00,,,,,,,yes,other,"""MASCO HUNJU """,3,420,DOZEN / BUNDLE,,fresh,,no,,,,,,8,,420,DOZEN / BUNDLE,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,420,DOZEN / BUNDLE,,fresh,,4200,,,,,,,2,yes,,17,DOZEN / BUNDLE,,fresh,,,,,,,1/4,"YES, THE FIGURES MATCHED",
102051430051,95af18dce6774558b4c8189c8ece2dc8,,,,,,,yes,other,GONG'O,6,6,SMALL BASKET,,fresh,,no,,,,,,6,,30,SMALL BASKET,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,5,SMALL BASKET,,fresh,,1300,,,,,,,5,yes,,1,SMALL BASKET,,OTHER (SPECIFY),"""SMALL PAIL """,,,,,,1/4,"YES, THE FIGURES MATCHED",
102051430063,f1b3be26069c489d8d14c57518101408,,,,,,,yes,other,"""GONG'O """,20,20,OTHER (SPECIFY),"""Large BASIN """,fresh,,no,,,,,,16,,16,OTHER (SPECIFY),"""LARGE BASIN """,fresh,,,,,,,"YES, THE FIGURES MATCHED",,1,OTHER (SPECIFY),"""LARGE BASIN """,fresh,,25000,,,,,,,16,yes,,20,piece,,fresh,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
102051430225,6acff8e3c9bf49fe8e234bbfa1418ced,,,,,,,yes,other,"""MASCO HUNJU """,2,114,DOZEN / BUNDLE,,fresh,,no,,,,,,114,,238,DOZEN / BUNDLE,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,114,DOZEN / BUNDLE,,fresh,,11400,,,,,,,2,yes,,8,DOZEN / BUNDLE,,fresh,,,,,,,1/4,"YES, THE FIGURES MATCHED",
102051430237,01ed4b0ebb174ce2b6ad24a2171b81f8,,,,,,,yes,ncheni,,11,2,LARGE BASKET,,fresh,,no,,,,,,22,,22,LARGE BASKET,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,2,LARGE BASKET,,fresh,,6000,,,,,,,11,yes,,2,LARGE BASKET,,smoked,,,,,,,1/4,"YES, THE FIGURES MATCHED",
102051430261,6552bf2e438f4d41b03bff392be5ae6e,,,,,,,yes,ncheni,,9,2,SMALL BASKET,,smoked,,no,,,,,,18,,18,SMALL BASKET,,smoked,,,,,,,"YES, THE FIGURES MATCHED",,15,SMALL BASKET,,fresh,,5400,,,,,,,9,yes,,3,SMALL BASKET,,smoked,,,,,,,1/4,"YES, THE FIGURES MATCHED",
