case_id,hhid,Rented_Out_GearID,fs_i14,fs_i15,fs_i16
102031320232,98ab014b0be045b6a69cb6f9ae8b1ed1,Usipa (mosquito) net,yes,1,20000
102051430225,6acff8e3c9bf49fe8e234bbfa1418ced,Mbuka /ntaya/ ukonde (gillnet),yes,1,6000
102051430237,01ed4b0ebb174ce2b6ad24a2171b81f8,Mbuka /ntaya/ ukonde (gillnet),yes,1,2000
102051430249,7354428d3dc54a6dbd1345984caa5391,Usipa (mosquito) net,yes,2,10000
102051430261,6552bf2e438f4d41b03bff392be5ae6e,Mbuka /ntaya/ ukonde (gillnet),no,0,0
103041550161,37d827493097455584995cea49b0c3a0,Mbuka /ntaya/ ukonde (gillnet),no,0,0
103071610015,7a6ae563306b4cbdab5e1c00de69dc7a,Mbuka /ntaya/ ukonde (gillnet),no,0,0
103091640225,440104333e2e46afb69b58735a15ce1d,Mbuka /ntaya/ ukonde (gillnet),yes,1,20000
104021810034,51d6adec32b04948af8fdfc2d7cd5ce9,,0,,
106012200067,a570550ddf1b4f91be1b016fa3c1bc94,Usipa (mosquito) net,yes,1,35000
106012200074,0fefe02983d54c1e9c34e892cfc36aca,Usipa (mosquito) net,no,0,0
106012200103,a402e1330a0a49d9af436d82ddc4a2ad,Mbuka /ntaya/ ukonde (gillnet),no,0,0
106012210045,2034b55a41de4b928623efb78b9444b8,Mbuka /ntaya/ ukonde (gillnet),no,0,0
106012220061,1299960eefdc49dc85e74275ff361dab,Mbedza(long /hand line),no,0,0
106012220280,e9233b566489450294fa0fb34d988278,Mbedza(long /hand line),no,0,0
107362430500,bc4b9c77aa524ecc8c32cd5dad9ac1b1,,0,,
202012790029,bea54af9c5784c588259a0e17174c84a,Usipa (mosquito) net,no,0,0
202032910060,bcd3b9e845524f8c882da48b8e0783cd,Mbedza(long /hand line),yes,200,0
202032910060,bcd3b9e845524f8c882da48b8e0783cd,Mbuka /ntaya/ ukonde (gillnet),yes,1,0
202042920087,a869738b3ba644d694cd471ba4fc1217,Usipa (mosquito) net,no,0,0
202203010134,ebb1936f05454d26bbc2e76ecbec96b7,Mbedza(long /hand line),no,0,500
204023310182,012da9e82da04e21a13f1211b30dbac4,Mbedza(long /hand line),yes,2,200
204033350258,9e82a1c74f294d6ab25ffe94cd31d07d,Mono(fish traps),yes,1,1000
205093710051,13e9088afe9c438cac1a4f7903b6c3d6,Kambuzi (beach) seine,yes,1,6000
208074530245,d42801a9eb0f4ab985798cb018d206e7,Mbuka /ntaya/ ukonde (gillnet),yes,1,100000
301085380027,e0834f6a719e4b6a8d46bc4cf7dcebf7,Mbuka /ntaya/ ukonde (gillnet),yes,2,6000
301215420031,b4237fc6be1e4fd9b358e91f617a06cd,Mbedza(long /hand line),no,0,0
301215420102,8fe404afd210435ebf7f864bb9439bd9,Mbuka /ntaya/ ukonde (gillnet),yes,1,2000
302035540030,2ed0c205f1dd42ba938c9bc18c8b4451,Mono(fish traps),no,0,0
302035540060,4bf25f3de9f34ebf91fc9fc3775d4d95,,0,,
302035540075,00c095c9651d4a71a0c58ce0d2c96b40,Mono(fish traps),yes,20,0
302035540196,ac0bc9d9b3264e80bece616687522955,Mono(fish traps),no,0,0
302035540211,942af73fcf754f59b412db31d02c7cc3,Mono(fish traps),no,0,0
303025730226,b6be6a7b4cfd4d7b95bf635c402234fc,Mbedza(long /hand line),no,0,0
309037320145,f4c360a70cf94e36992ea6b95dafeddf,Mono(fish traps),yes,6,4000
311047670007,fc0c6c2029ba4946904eeb0f511725eb,Mbuka /ntaya/ ukonde (gillnet),yes,1,0
