case_id,hhid,Fish_SpeciesID,fs_j01,fs_j01_oth,fs_j02a,fs_j02b,fs_j02c,fs_j02d,fs_j02e,fs_j02f,fs_02filter,fs_j02h,fs_j02i,fs_j02j,fs_j02k,fs_j02l,fs_j02m,fs_j03a,fs_j03b,fs_j03c,fs_j03d,fs_j03e,fs_j03f,fs_j03filter,fs_j03g,fs_j03h,fs_j03i,fs_j03j,fs_j03k,fs_j03l
102031320075,4f76bfccfc26498e9661200ea2fc687c,,usipa,,1,LARGE BASKET,,fresh,,7000,no,,,,,,,13500,LARGE BASKET,,fresh,,13500,no,,,.,,,
102031320106,0cfbbe3f557a464a90fdc38805614160,,usipa,,1,LARGE BASKET,,fresh,,7000,no,,,,,,,1,LARGE BASKET,,fresh,,13000,no,,,.,,,
102031330272,f8b880f4fc3a479587230cfaed141480,9,,,0,,,,,,,,,,,,,0,,,,,,no,,,,,,
102031330272,f8b880f4fc3a479587230cfaed141480,,usipa,,0,,,,,,,,,,,,,0,,,,.,,no,,,.,,,
102031350022,beb1efb5f918446194ffe54bafc17367,,mlamba,,0,,,,,,,,,,,,,0,,,,.,,no,,,.,,,
102031350054,e9c575aa858b4af8bfa4ed2a76fea52b,,ncheni,,10,DOZEN / BUNDLE,,fresh,,200,no,,,,,,,0,,,,.,,no,,,.,,,
102031360139,7ca7543c0c7948ddad57a7b65c7f5806,,usipa,,0,,,,,,,,,,,,,0,,,,,,no,,,.,,,
102041390043,4904a664213a4720bff9919bcd654b1f,,other,"""don't do fishing """,0,,,,,,,,,,,,,0,,,,.,,no,,,.,,,
102041390094,faeda9d101104654ba0ba10f7bda070f,,usipa,,2,OTHER (SPECIFY),"""Chigoba """,fresh,,3000,yes,2,OTHER (SPECIFY),,fresh,,3000,3,OTHER (SPECIFY),"""chigoba """,fresh,.,3000,no,,,.,,,
102041400017,0e66af7d72d34ecba01e7125b699982c,,ncheni,,0,,,,,,,,,,,,,0,,,,,,no,,,.,,,
102041400073,3533c366067d4e8eb8224aaf3185e921,,other,"""No fish trading """,0,,,,,,,,,,,,,0,,,,,,no,,,.,,,
102041400129,e99c4f24ae1a4b4c88b15e84a509faed,,usipa,,4,5 KG BAG,,fresh,,7500,no,,,,,,,4,5 KG BAG,,SUN-DRIED,,15000,no,,,.,,,
102051430036,f90d55d471e643f5b060ae457d032d00,,other,"""MASCO HUNJU """,4400,DOZEN / BUNDLE,,fresh,,4200,no,,,,,,,420,DOZEN / BUNDLE,,fresh,.,4200,no,,,.,,,
102051430101,6c1d67be72734fa6bc1262795e6dfeda,,ncheni,,20,SMALL BASKET,,fresh,,3500,no,,,,,,,30,LARGE BASKET,,fresh,.,8000,no,,,.,,,
102051430101,6c1d67be72734fa6bc1262795e6dfeda,,usipa,,30,OTHER (SPECIFY),"""chigoba """,fresh,,3000,no,,,,,,,30,OTHER (SPECIFY),"""chigoba """,fresh,.,2500,no,,,.,,,
102051430113,947cb04fcc36485784709ffea38208bd,,utaka,,0,,,,,,,,,,,,,10,SMALL BASKET,,fresh,.,4000,no,,,.,,,
102051430164,b38d57ceadc649fb9d65cab43fd11ef0,,ncheni,,0,,,,,,,,,,,,,4,LARGE BASKET,,fresh,.,36000,no,,,,,,
