case_id,hhid,ea_id,region,district,reside,interviewDate,hh_wgt,hh_a02a,hh_a03,hh_a06,hh_a11,hh_a13,hh_a22,hh_a23,hh_g09,hh_m00,hh_o0a,hh_s01,hh_w01
301025230225,0001c970eecf473099368557e2080b3e,30102523,Southern,Mangochi,rural,2017-03-30,590.33289,2,523,0225,no,,60,46,yes,yes,yes,no,no
210374850204,000509f5cfcc4b078a09672b09425e95,21037485,Central,Lilongwe City,urban,2016-04-15,265.03271,37,485,0204,no,,80,37,no,no,no,no,no
311057710075,000bc107780044e59327dbf7ec960ac1,31105771,Southern,Nsanje,rural,2016-05-20,207.08411,5,771,0075,no,,800,76,yes,yes,no,yes,no
312048040073,000d1d26325d4f73a2ffbb8a99ab4752,31204804,Southern,Balaka,rural,2017-03-10,207.1472,4,804,0073,no,,90,95,no,yes,no,yes,no
311097790117,00104e33315844fdb2b8c6fdd35912a1,31109779,Southern,Nsanje,rural,2016-07-07,287.5741,9,779,0117,no,,800,75,yes,yes,no,no,no
204023330203,002afb9ae01c46838ef6303cc99e0287,20402333,Central,Dowa,rural,2017-02-07,241.00301,2,333,0203,no,,900,81,yes,yes,yes,no,no
315378640218,002cfe4fca224667bc394b1289950352,31537864,Southern,Blantyre City,urban,2017-04-10,663.58502,37,864,0218,no,,500,64,yes,no,yes,no,no
105082150049,0043da6163794617b4eacbfcf1585c6a,10508215,North,Mzimba,rural,2016-12-16,185.9502,8,215,0049,no,,30,8,no,yes,yes,yes,no
104041860053,004460497c3042b48ee79c0e7156c3b6,10404186,North,Rumphi,rural,2017-04-27,107.3112,4,186,0053,no,,900,79,no,yes,no,yes,no
313068290032,004e377d40dd4ca3862ce695e9a5d380,31306829,Southern,Neno,rural,2016-06-19,91.326401,6,829,0032,no,,700,88,yes,yes,no,yes,no
314388440004,00563ecb9e434e93a3eda7a05399315a,31438844,Southern,Zomba City,urban,2017-03-22,33.8368,38,844,0004,no,,300,94,yes,yes,no,yes,no
307096770225,0058e6cc57384df88c7688e59887bde8,30709677,Southern,Thyolo,rural,2016-05-12,345.0636,9,677,0225,no,,500,64,no,yes,no,no,no
205043600096,005a080696c24af3888cd402b989b9ce,20504360,Central,Salima,rural,2017-03-04,359.62631,4,360,0096,no,,600,28,yes,yes,yes,no,no
