position,name,type,isnumeric,format,vallab,varlab
1,case_id,str12,0,%12s,,Unique Household Identifier
2,hhid,strL,0,%32s,,Survey Solutions Unique HH Identifier
3,gardenid,str4,0,%4s,,Garden ID
4,plotid,str3,0,%3s,,Plot ID
5,ag_d01,byte,1,%8.0g,,Decision Maker in Household Concerning Crops
6,ag_d01_1,byte,1,%8.0g,ag_d01_1,Another Household Member who makes decisions?
7,ag_d01_2a,byte,1,%8.0g,,Second Household Member who makes decisions
8,ag_d01_2b,byte,1,%8.0g,,Third Household Member who makes decisions
9,ag_d02,byte,1,%8.0g,,ID of Respondent
10,ag_d14,byte,1,%8.0g,ag_d14,Garden Usage Status in Reference Rainy Season
11,ag_d20a,byte,1,%8.0g,crops,1st Crop
12,ag_d20b,byte,1,%8.0g,crops,2nd Crop
13,ag_d20c,byte,1,%8.0g,crops,3rd Crop
14,ag_d20d,byte,1,%8.0g,crops,4th Crop
15,ag_d20e,byte,1,%8.0g,crops,5th Crop
16,ag_d20_oth,str23,0,%23s,,Other Crop
17,ag_d21,byte,1,%8.0g,ag_d21,Predominant Soil Type on Plot
18,ag_d21_oth,str26,0,%26s,,Other Specified Predominant Soil Type
19,ag_d22,byte,1,%8.0g,ag_d22,Soil quality of Plot
20,ag_d23,byte,1,%8.0g,ag_d23,Respondent self reported rate of erosion on Plot
21,ag_d24a,byte,1,%8.0g,erosion,First cause of soil erosion
22,ag_d24b,byte,1,%8.0g,erosion,Second cause of soil erosion
23,ag_d24_oth,strL,0,%33s,,Other Specified cause of soil erosion
24,ag_d25a,byte,1,%8.0g,control,First type of erosion control/water harvesting facilities are on this plot
25,ag_d25b,byte,1,%8.0g,control,Second type of erosion control/water harvesting facilities are on this plot
26,ag_d25_oth,strL,0,%36s,,Other specified erosion control/water harvesting facility
27,ag_d25_1a,byte,1,%8.0g,ag_d25_1a,When Investment in First Structure was made
28,ag_d25_1b,byte,1,%8.0g,ag_d25_1b,When Investment in Second Structure was made
29,ag_d25_2a,byte,1,%8.0g,reasons,First main reason for not investing in erosion control/water harvesting facility
30,ag_d25_2b,byte,1,%8.0g,reasons,Second main reason for not investing in erosion control/water harvesting facilit
31,ag_d25_2_oth,strL,0,%34s,,Other Specified reason for not investing in erosion control/water harvesting fac
32,ag_d26,byte,1,%8.0g,ag_d26,What is the slope of this plot [PLOT]?
33,ag_d27,byte,1,%8.0g,ag_d27,Is this plot ([PLOT]) swamp/ wetland?
34,ag_d28a,byte,1,%8.0g,irrigation,"What systems of irrigation, if any, are on this plot [PLOT](1ST)?"
35,ag_d28b,byte,1,%8.0g,irrigation,"What systems of irrigation, if any, are on this plot [PLOT](2ND)?"
36,ag_d28_oth,str15,0,%15s,,Specify the systems of irrigation that are on this[PLOT]
37,ag_d29,byte,1,%8.0g,ag_d29,What is the method of irrigating plants/puring water on plants on th
38,ag_d29_oth,str14,0,%14s,,Specify the method of obtaining water for this [PLOT].
39,ag_d30,byte,1,%8.0g,ag_d30,What is the source of water on this[PLOT]?
40,ag_d30_oth,str8,0,%8s,,Specify what is the source of water on this[PLOT]
41,ag_d32,int,1,%8.0g,,What was the most recent year in which this [PLOT] was left fallow?
42,ag_d33,byte,1,%8.0g,,For how many years was it left fallow?
43,ag_d34a,byte,1,%8.0g,fallowReason,Why was this [PLOT] left fallow? (1ST REASON)
44,ag_d34b,byte,1,%8.0g,fallowReason,Why was this [PLOT] left fallow? (2ND REASON)
45,ag_d34_oth,strL,0,%36s,,Specify why was this [PLOT] left fallow.
46,ag_d35_1a,byte,1,%8.0g,ag_d35_1a,In what month did you finish planting this [PLOT]?
47,ag_d35_1b,byte,1,%8.0g,ag_d35_1b,Did you finish planting this plot ([PLOT]) in the first or second
48,ag_d36,byte,1,%8.0g,ag_d36,Did you use any organic fertilizer on this [PLOT] during the [RS]
49,ag_d37a,int,1,%8.0g,,How much organic fertilizer did you apply to this [PLOT](QUANTITY)?
50,ag_d37b,byte,1,%8.0g,ag_d37b,unit
51,ag_d37b_oth,str13,0,%13s,,SPECIFY UNIT
52,ag_d38,byte,1,%8.0g,ag_d38,Did you use any inorganic fertilizer on this [PLOT] during the [RS]
53,ag_d39_1,byte,1,%8.0g,,How many complete weedings did you do on this plot [PLOT]?
54,ag_d39_2,byte,1,%8.0g,,How many weeks after planting did you finish the 1st weeding on this plot
55,ag_d39a,byte,1,%8.0g,ag_d39a,What type of inorganic fertilizer did you apply to this [PLOT]
56,ag_d39a_oth,str17,0,%17s,,Specify the type of <u>inorganic fertilizer</u>. 

<br><br> FIRST APPLICATION TY
57,ag_d39b,long,1,%12.0g,,FIRST APPLICATION QUANTITY
58,ag_d39c,byte,1,%8.0g,ag_d39c,FIRST APPLICATION UNIT
59,ag_d39c_oth,str12,0,%12s,,SPECIFY FIRST APPLICATION UNIT
60,ag_d39d,long,1,%12.0g,,ENUMERATOR: <br><br> TOTAL KGs
61,ag_d39e,byte,1,%8.0g,,How many weeks after planting did you finish the 1st fertilizer application
62,ag_d39f,byte,1,%8.0g,ag_d39f,Did you apply a second application of inorganic fertilizer to this p
63,ag_d39g,byte,1,%8.0g,ag_d39g,What type of inorganic fertilizer did you apply to this plot (%rost
64,ag_d39g_oth,str15,0,%15s,,Specify the type of <u>inorganic fertilizer</u>. 

<br><br> SECOND APPLICATION T
65,ag_d39h,int,1,%8.0g,,SECOND  APPLICATION QUANTITY
66,ag_d39i,byte,1,%8.0g,ag_d39i,SECOND APPLICATION UNIT
67,ag_d39i_oth,str13,0,%13s,,SPECIFY SECOND APPLICATION UNIT
68,ag_d39j,int,1,%8.0g,,ENUMERATOR: TOTAL KGs
69,ag_d40,byte,1,%8.0g,ag_d40,Did you use any pesticides/ herbicides on this [PLOT] during the [RS]
70,ag_d41_1,byte,1,%8.0g,ag_d41_1,Did you use any mechanization on this  [PLOT] during the [REFERENCE RAINY
71,ag_d41_2,byte,1,%8.0g,ag_d41_2,Did you use any animal traction on this [PLOT] during the [REFERENCE RAIN
72,ag_d41a,byte,1,%8.0g,ag_d41a,D41a. How much <u>pesticides/ herbicides</u> did you apply to this plot (%roster
73,ag_d41a_oth,str19,0,%19s,,Specify the type of <u>pesticides/ herbicides</u>. 

<br><br> FIRST  TYPE
74,ag_d41b,int,1,%8.0g,,quantity
75,ag_d41c,byte,1,%8.0g,ag_d41c,unit
76,ag_d41c_oth,str10,0,%10s,,SPECIFY UNIT
77,ag_d41d,byte,1,%8.0g,ag_d41e,How much pesticides/herbicides did you apply to this [PLOT]?SECOND TYPE
78,ag_d41d_1,byte,1,%8.0g,ag_d41d,Did you apply another type of  pesticides/ herbicides to this plot
79,ag_d41d_1oth,str13,0,%13s,,Specify other type
80,ag_d41e,int,1,%8.0g,,How much pesticides/herbicides did you apply to this [PLOT]?SECOND TYPE
81,ag_d41f,byte,1,%8.0g,ag_d41g,unit
82,ag_d41f_oth,str15,0,%15s,,SPECIFY  UNIT
83,ag_d42a1,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for l"
84,ag_d42b1,byte,1,%8.0g,,How many weeks did each household member work?
85,ag_d42c1,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
86,ag_d42d1,int,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
87,ag_d42a2,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for l"
88,ag_d42b2,byte,1,%8.0g,,How many weeks did each household member work?
89,ag_d42c2,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
90,ag_d42d2,int,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
91,ag_d42a3,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for l"
92,ag_d42b3,byte,1,%8.0g,,How many weeks did each household member work?
93,ag_d42c3,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
94,ag_d42d3,int,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
95,ag_d42a4,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for l"
96,ag_d42b4,byte,1,%8.0g,,How many weeks did each household member work?
97,ag_d42c4,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
98,ag_d42d4,int,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
99,ag_d42a5,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for l"
100,ag_d42b5,byte,1,%8.0g,,How many weeks did each household member work?
101,ag_d42c5,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
102,ag_d42d5,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
103,ag_d42a6,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for l"
104,ag_d42b6,byte,1,%8.0g,,How many weeks did each household member work?
105,ag_d42c6,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
106,ag_d42d6,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
107,ag_d42a7,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for l"
108,ag_d42b7,byte,1,%8.0g,,How many weeks did each household member work?
109,ag_d42c7,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
110,ag_d42d7,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
111,ag_d42a8,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for l"
112,ag_d42b8,byte,1,%8.0g,,How many weeks did each household member work?
113,ag_d42c8,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
114,ag_d42d8,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
115,ag_d42a9,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for l"
116,ag_d42b9,byte,1,%8.0g,,How many weeks did each household member work?
117,ag_d42c9,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
118,ag_d42d9,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
119,ag_d42a10,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for l"
120,ag_d42b10,byte,1,%8.0g,,How many weeks did each household member work?
121,ag_d42c10,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
122,ag_d42d10,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
123,ag_d42a11,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for l"
124,ag_d42b11,byte,1,%8.0g,,How many weeks did each household member work?
125,ag_d42c11,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
126,ag_d42d11,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
127,ag_d42a12,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for l"
128,ag_d42b12,byte,1,%8.0g,,How many weeks did each household member work?
129,ag_d42c12,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
130,ag_d42d12,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
131,ag_d43a1,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for w"
132,ag_d43b1,byte,1,%8.0g,,How many weeks did each household member work?
133,ag_d43c1,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
134,ag_d43d1,int,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
135,ag_d43a2,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for w"
136,ag_d43b2,byte,1,%8.0g,,How many weeks did each household member work?
137,ag_d43c2,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
138,ag_d43d2,int,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
139,ag_d43a3,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for w"
140,ag_d43b3,byte,1,%8.0g,,How many weeks did each household member work?
141,ag_d43c3,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
142,ag_d43d3,int,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
143,ag_d43a4,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for w"
144,ag_d43b4,byte,1,%8.0g,,How many weeks did each household member work?
145,ag_d43c4,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
146,ag_d43d4,int,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
147,ag_d43a5,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for w"
148,ag_d43b5,byte,1,%8.0g,,How many weeks did each household member work?
149,ag_d43c5,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
150,ag_d43d5,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
151,ag_d43a6,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for w"
152,ag_d43b6,byte,1,%8.0g,,How many weeks did each household member work?
153,ag_d43c6,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
154,ag_d43d6,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
155,ag_d43a7,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for w"
156,ag_d43b7,byte,1,%8.0g,,How many weeks did each household member work?
157,ag_d43c7,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
158,ag_d43d7,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
159,ag_d43a8,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for w"
160,ag_d43b8,byte,1,%8.0g,,How many weeks did each household member work?
161,ag_d43c8,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
162,ag_d43d8,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
163,ag_d43a9,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for w"
164,ag_d43b9,byte,1,%8.0g,,How many weeks did each household member work?
165,ag_d43c9,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
166,ag_d43d9,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
167,ag_d43a10,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for w"
168,ag_d43b10,byte,1,%8.0g,,How many weeks did each household member work?
169,ag_d43c10,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
170,ag_d43d10,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
171,ag_d43a11,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for w"
172,ag_d43b11,byte,1,%8.0g,,How many weeks did each household member work?
173,ag_d43c11,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
174,ag_d43d11,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
175,ag_d43a12,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for w"
176,ag_d43b12,byte,1,%8.0g,,How many weeks did each household member work?
177,ag_d43c12,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
178,ag_d43d12,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
179,ag_d44a1,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for h"
180,ag_d44b1,byte,1,%8.0g,,How many weeks did each household member work?
181,ag_d44c1,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
182,ag_d44d1,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
183,ag_d44a2,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for h"
184,ag_d44b2,byte,1,%8.0g,,How many weeks did each household member work?
185,ag_d44c2,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
186,ag_d44d2,int,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
187,ag_d44a3,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for h"
188,ag_d44b3,byte,1,%8.0g,,How many weeks did each household member work?
189,ag_d44c3,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
190,ag_d44d3,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
191,ag_d44a4,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for h"
192,ag_d44b4,byte,1,%8.0g,,How many weeks did each household member work?
193,ag_d44c4,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
194,ag_d44d4,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
195,ag_d44a5,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for h"
196,ag_d44b5,byte,1,%8.0g,,How many weeks did each household member work?
197,ag_d44c5,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
198,ag_d44d5,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
199,ag_d44a6,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for h"
200,ag_d44b6,byte,1,%8.0g,,How many weeks did each household member work?
201,ag_d44c6,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
202,ag_d44d6,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
203,ag_d44a7,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for h"
204,ag_d44b7,byte,1,%8.0g,,How many weeks did each household member work?
205,ag_d44c7,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
206,ag_d44d7,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
207,ag_d44a8,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for h"
208,ag_d44b8,byte,1,%8.0g,,How many weeks did each household member work?
209,ag_d44c8,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
210,ag_d44d8,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
211,ag_d44a9,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for h"
212,ag_d44b9,byte,1,%8.0g,,How many weeks did each household member work?
213,ag_d44c9,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
214,ag_d44d9,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
215,ag_d44a10,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for h"
216,ag_d44b10,byte,1,%8.0g,,How many weeks did each household member work?
217,ag_d44c10,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
218,ag_d44d10,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
219,ag_d44a11,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for h"
220,ag_d44b11,byte,1,%8.0g,,How many weeks did each household member work?
221,ag_d44c11,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
222,ag_d44d11,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
223,ag_d44d12,byte,1,%8.0g,,"During those days, approximately how many hours did each household member work?"
224,ag_d46a1,int,1,%8.0g,,"During the [RS], how many days did you hire men for any and all non-harvest acti"
225,ag_d46b1,long,1,%12.0g,,What was the average daily wage paid to men for any non-harvest activity?
226,ag_d46a2,int,1,%8.0g,,"During the [RS], how many days did you hire women for any and all non-harvest ac"
227,ag_d46b2,int,1,%8.0g,,What was the average daily wage paid to women for any non-harvest activity?
228,ag_d46a3,int,1,%8.0g,,"During the [RS], how many days did you hire children for any and all non-harvest"
229,ag_d46b3,int,1,%8.0g,,What was the average daily wage paid to children for any non-harvest activity?
230,ag_d46c,float,1,%9.0g,,How much total did you give to all workers hired for any and all non-harvest act
231,ag_d46d,byte,1,%8.0g,,Uni
232,ag_d46d_oth,str15,0,%15s,,Unit (Other)
233,ag_d46e,byte,1,%8.0g,,S/U
234,ag_d46f,byte,1,%8.0g,,Crop Type
235,ag_d46f_oth,str7,0,%7s,,Crop Type (Other)
236,ag_d47a1,int,1,%8.0g,,"During the [RS], how many days did you hire men for any and all non-harvest acti"
237,ag_d47b1,int,1,%8.0g,,What was the average daily wage paid to men for any non-harvest activity?
238,ag_d47a2,int,1,%8.0g,,"During the [RS], how many days did you hire women for any and all non-harvest ac"
239,ag_d47b2,int,1,%8.0g,,What was the average daily wage paid to women for any non-harvest activity?
240,ag_d47a3,int,1,%8.0g,,"During the [RS], how many days did you hire children for any and all non-harvest"
241,ag_d47b3,int,1,%8.0g,,What was the average daily wage paid to children for any non-harvest activity?
242,ag_d47c,int,1,%8.0g,,How much total did you give to all workers hired for any and all non-harvest act
243,ag_d47d,byte,1,%8.0g,,Unit
244,ag_d47d_oth,str15,0,%15s,,Unit (Other)
245,ag_d47e,byte,1,%8.0g,,S/U
246,ag_d47f,byte,1,%8.0g,,Crop Type
247,ag_d47f_oth,str8,0,%8s,,Crop Type (Other)
248,ag_d48a1,int,1,%8.0g,,"During the [RS], how many days did you hire men for any and all harvest activiti"
249,ag_d48b1,int,1,%8.0g,,What was the average daily wage paid to men for any harvest activity?
250,ag_d48a2,int,1,%8.0g,,"During the [RS], how many days did you hire women for any and all harvest activi"
251,ag_d48b2,int,1,%8.0g,,What was the average daily wage paid to women for any harvest activity?
252,ag_d48a3,byte,1,%8.0g,,"During the [RS], how many days did you hire children for any and all harvest act"
253,ag_d48b3,int,1,%8.0g,,What was the average daily wage paid to children for any harvest activity?
254,ag_d48c,int,1,%8.0g,,How much total did you give to all workers hired for any and all non-harvest act
255,ag_d48d,byte,1,%8.0g,,Unit
256,ag_d48d_oth,str5,0,%5s,,Unit (Other)
257,ag_d48e,byte,1,%8.0g,,S/U
258,ag_d48f,byte,1,%8.0g,,Crop Type
259,ag_d48f_oth,str1,0,%1s,,Crop Type (Other)
260,ag_d44a12,byte,1,%8.0g,,"During the RS, please list the household member that worked on this [PLOT] for h"
261,ag_d44b12,byte,1,%8.0g,,How many weeks did each household member work?
262,ag_d44c12,byte,1,%8.0g,,"During those weeks, approximately how many days did each household member work?"
263,ag_d50a,byte,1,%8.0g,,# days men from other HHs worked on[PLOT]for any and all non-harvest activities
264,ag_d50b,int,1,%8.0g,,# days women from other HHs worked on[PLOT]for any & all non-harvest activities
265,ag_d50c,byte,1,%8.0g,,# days children from other HHs worked on[PLOT]for any & all non-harvest activ..
266,ag_d51a,byte,1,%8.0g,,HH exchange/free labor came from to work for any/all activities(#1)
267,ag_d51b,byte,1,%8.0g,,HH exchange/free labor came from to work for any/all activities(#2)
268,ag_d51c,byte,1,%8.0g,,HH exchange/free labor came from to work for any/all activities(#3)
269,ag_d55_1,byte,1,%8.0g,ag_d55_1,Are there any trees growing in or on the border of this [PLOT]
270,ag_d55_2,byte,1,%8.0g,ag_d55_2,What is the main tree species growing in or on the border of this [PLOT]?
