position,name,type,isnumeric,format,vallab,varlab
1,case_id,str12,0,%12s,,Unique Household Identifier
2,hhid,strL,0,%32s,,Survey Solutions Unique HH Identifier
3,crop_code,byte,1,%8.0g,crop_complete,Consistent CC across Modules
4,ag_h0b_oth,str18,0,%18s,,Specify crop type
5,ag_h01a,double,1,%12.0g,,"ENUMERATOR: REFER TO AG-MODULE G, QUESTION 4.   FOR EACH TYPE OF SE"
6,ag_h01b,byte,1,%8.0g,ag_h01b,unit
7,ag_h01b_oth,str26,0,%26s,,Please Specify the Other Unit.
8,ag_h02,byte,1,%8.0g,ag_h02,FIGURES FROM QUESTION 1 CORRESPOND TO AMOUNT OF EACH TYPE OF SEED USED DURING TH
9,ag_h03,byte,1,%8.0g,ag_h03,During[RS]did all of this [SEED] come from purchases by using coupons/vouchers?
10,ag_h04,byte,1,%8.0g,ag_h04,Did you purchase any[SEED]w/out coupons/vouchers/purchase any[SEED]on credit?
11,ag_h06a,byte,1,%8.0g,,Source of[SEED]you purchased w/out coupons/vouchers/purchased credit?(ID#1)
12,ag_h06b,byte,1,%8.0g,,Source of[SEED]you purchased w/out coupons/vouchers/purchased credit?(ID#2)
13,ag_h07a,long,1,%12.0g,,How much of[SEED]was purchased w/out coupons/vouchers... or...(U)(Other Specify)
14,ag_h07b,byte,1,%8.0g,ag_h07b,How much of[SEED]was purchased w/out coupons/vouchers or purchased on credit(U)
15,ag_h07b_oth,str24,0,%24s,,SPECIFY UNIT
16,ag_h08,byte,1,%8.0g,ag_h08,Main mode used to transport[SEED]purchased on credit or w/out coupons/vouchers?
17,ag_h08_oth,str11,0,%11s,,Specify the main mode of transportation.
18,ag_h09,int,1,%8.0g,,How much did you pay for transportation to acquire all of the[SEED]?
19,ag_h10,long,1,%12.0g,,Value of all [SEED] purchased w/out coupons/vouchers or purchased on credit?
20,ag_h11,byte,1,%8.0g,ag_h11,How did you  finance  this seed (%rostertitle%) purchase?
21,ag_h12,int,1,%8.0g,,How much did you pay up-front for this [SEED] purchase?
22,ag_h13,long,1,%12.0g,,How much did you  repay /will you repay?
23,ag_h14a,byte,1,%8.0g,,What was the source of credit for the [SEED] purchase? (ID CODE #1)
24,ag_h14b,byte,1,%8.0g,,What was the source of credit for the [SEED] purchase? (ID CODE #2)
25,ag_h37,byte,1,%8.0g,ag_h37,Did you receive any of the[SEED]for free during the[RS]?
26,ag_h38a,int,1,%8.0g,,How much of[SEED]did you receive in total for free during[RS](OTHER UNIT)?
27,ag_h38b,byte,1,%8.0g,ag_h38b,How much of[SEED]did you receive in total for free during[RS](UNIT)?
28,ag_h38b_oth,str24,0,%24s,,SPECIFY UNIT
29,ag_h39a,byte,1,%8.0g,,"During[RS],from whom did you receive most of the[SEED]for free(1st)?"
30,ag_h39b,byte,1,%8.0g,,"During[RS],from whom did you receive most of the[SEED]for free(2nd)"
31,ag_h40,int,1,%8.0g,,Total payment for transportation to acquire all of[SEED]received for free?
32,ag_h41,byte,1,%8.0g,ag_h41,Was any of the[SEED]used during the[RS]left over from a previous season?
33,ag_h42a,int,1,%8.0g,,How much of[SEED]used during[RS]was  left over from a previous season(QUANT)?
34,ag_h42b,byte,1,%8.0g,ag_h42b,How much of[SEED]used during[RS]was  left over from a previous season(UNIT)?
35,ag_h42b_oth,str26,0,%26s,,How much of[SEED]used during[RS]was  left over from......(OTHER UNIT)?
36,ag_h43,byte,1,%8.0g,ag_h43,H43. Why did you choose to use this seed (%rostertitle%)?
