position,name,type,isnumeric,format,vallab,varlab
1,case_id,str12,0,%12s,,Unique Household Identifier
2,hhid,strL,0,%32s,,Survey Solutions Unique HH Identifier
3,gardenid,str4,0,%4s,,Garden ID
4,ag_i203_2,int,1,%8.0g,,In which year was this [GARDEN] acquired?
5,ag_i204a_1,byte,1,%8.0g,,Who in the Household Owns the Garden (#ID 1)
6,ag_i204a_2,byte,1,%8.0g,,Who in the Household Owns the Garden (#ID 2)
7,ag_i204a_3,byte,1,%8.0g,,Who in the Household Owns the Garden (#ID 3)
8,ag_i204a_4,byte,1,%8.0g,,Who in the Household Owns the Garden (#ID 4)
9,ag_i204b_1,byte,1,%8.0g,,Who outside the Household Owns the Garden (#ID 1)
10,ag_i204b_2,byte,1,%8.0g,,Who outside the Household Owns the Garden (#ID 2)
11,ag_i202,byte,1,%8.0g,,ENUMERATOR: RECORD THE ID OF THE RESPONDENT.
12,ag_i203,byte,1,%8.0g,ag_i_2_03,How did your household acquire this [GARDEN]?
13,ag_i203_oth,strL,0,%32s,,Please specify other way your household acquired this garden (%rostertitle%)
14,ag_i203_1a,byte,1,%8.0g,,From whom did you acquire this garden (#ID 1)
15,ag_i203_1b,byte,1,%8.0g,,From whom did you acquire this garden (#ID 2)
16,ag_i204_1,byte,1,%8.0g,ag_i_2_04_1,Does your HH currently have a title or ownership document for this [GARDEN]?
17,ag_i204_1oth,str21,0,%21s,,"Please, specify Other title or ownership document for this %rostertitle%"
18,ag_i204_2a_1,byte,1,%8.0g,,Who in HH is listed on the title/ownership doc. as owner of [Garden]? (#ID 1)
19,ag_i204_2a_2,byte,1,%8.0g,,Who in HH is listed on the title/ownership doc. as owner of [Garden]? (#ID 2)
20,ag_i204_2a_3,byte,1,%8.0g,,Who in HH is listed on the title/ownership doc. as owner of [Garden]? (#ID 3)
21,ag_i204_2a_4,byte,1,%8.0g,,Who in HH is listed on the title/ownership doc. as owner of [Garden]? (#ID 4)
22,ag_i204_2b_1,byte,1,%8.0g,,Who outside HH is listed on the title/ownership doc. as owner of [Garden](#ID1)?
23,ag_i204_2b_2,byte,1,%8.0g,,Who outside HH is listed on the title/ownership doc. as owner of [Garden](#ID2)?
24,ag_i204_3,byte,1,%8.0g,informal,Does HH currently have an informal doc. that certifies ownership rights to this
25,ag_i204_3_oth,str20,0,%20s,,"Please, specify the other informal document that certifies your ownership rights"
26,ag_i204_4a_1,byte,1,%8.0g,,Who in HH is listed on the informal doccument as owner of [Garden]? (#ID 1)
27,ag_i204_4a_2,byte,1,%8.0g,,Who in HH is listed on the informal doccument as owner of [Garden]? (#ID 2)
28,ag_i204_4a_3,byte,1,%8.0g,,Who in HH is listed on the informal doccument as owner of [Garden]? (#ID 3)
29,ag_i204_4a_4,byte,1,%8.0g,,Who in HH is listed on the informal doccument as owner of [Garden]? (#ID 4)
30,ag_i204_4b_1,byte,1,%8.0g,,Who outside HH is listed on the informal doccument as owner of [Garden]? (#ID 1)
31,ag_i204_4b_2,byte,1,%8.0g,,Who outside HH is listed on the informal doccument as owner of [Garden]? (#ID 2)
32,ag_i204_5,byte,1,%8.0g,ag_i_2_04_5,Does anyone in the household have the right to sell this [GARDEN]
33,ag_i204_6a_1,byte,1,%8.0g,,Who in the HH can decide whether to sell this [GARDEN]? (#ID 1)
34,ag_i204_6a_2,byte,1,%8.0g,,Who in the HH can decide whether to sell this [GARDEN]? (#ID 2)
35,ag_i204_6a_3,byte,1,%8.0g,,Who in the HH can decide whether to sell this [GARDEN]? (#ID 3)
36,ag_i204_6a_4,byte,1,%8.0g,,Who in the HH can decide whether to sell this [GARDEN]? (#ID 4)
37,ag_i204_6b_1,byte,1,%8.0g,,Who outside the HH can decide whether to sell this [GARDEN]? (#ID 1)
38,ag_i204_6b_2,byte,1,%8.0g,,Who outside the HH can decide whether to sell this [GARDEN]? (#ID 2)
39,ag_i204_7,byte,1,%8.0g,ag_i_2_04_7,Does anyone have the right to bequeath this [GARDEN]?
40,ag_i204_8a_1,byte,1,%8.0g,,Who in the HH can decide whether to bequeath this [GARDEN]? (#ID 1)
41,ag_i204_8a_2,byte,1,%8.0g,,Who in the HH can decide whether to bequeath this [GARDEN]? (#ID 2)
42,ag_i204_8a_3,byte,1,%8.0g,,Who in the HH can decide whether to bequeath this [GARDEN]? (#ID 3)
43,ag_i204_8a_4,byte,1,%8.0g,,Who in the HH can decide whether to bequeath this [GARDEN]? (#ID 4)
44,ag_i204_8b_1,byte,1,%8.0g,,Who outside the HH can decide whether to bequeath this [GARDEN]? (#ID 1)
45,ag_i204_8b_2,byte,1,%8.0g,,Who outside the HH can decide whether to bequeath this [GARDEN]? (#ID 2)
46,ag_i204_9,byte,1,%8.0g,ag_i_2_04_9,Have you ever been concerned that somebody might dispute your ownership
47,ag_i205,long,1,%12.0g,,"If you were to sell this [GARDEN] today, how much could you sell it for?"
48,ag_i206,long,1,%12.0g,,"...rent out this [GARDEN] today for 12 months, how much could you rent it for?"
49,ag_i208a,byte,1,%8.0g,ag_i_2_08a,CROP TYPE
50,ag_i208a_oth,str11,0,%11s,,Specify the crops planted.
51,ag_i208b,byte,1,%8.0g,,"How much output from this [GARDEN] did you give as rent, if any, in the [RS]?"
52,ag_i208c,byte,1,%8.0g,ag_i_2_08c,unit
53,ag_i208c_oth,str1,0,%1s,,Please specify the other unit of output given as rent
54,ag_i208d,byte,1,%8.0g,ag_i_2_08d,SHELLED / UNSHELLED
55,ag_i209a,int,1,%8.0g,,How much did you pay the owner for the use of [GARDEN] in the [RS]?
56,ag_i209b,int,1,%8.0g,,IN-KIND
<br><br>
MK
57,ag_i212,byte,1,%8.0g,ag_i_2_b12,What period of time did this payment cover?
58,ag_i212_oth,str12,0,%12s,,Please specify other period of payment
59,ag_i213a,byte,1,%8.0g,,Who owns this [GARDEN] (#ID 1)
60,ag_i213b,byte,1,%8.0g,,Who owns this [GARDEN] (#ID 1)
61,ag_i213_1a,byte,1,%8.0g,,Who in the household has the use rights to this [GARDEN]? (ID 1)
62,ag_i213_1b,byte,1,%8.0g,,Who in the household has the use rights to this [GARDEN]? (ID 2)
63,ag_i214,byte,1,%8.0g,ag_i_2_14,"During the [RS],what is the status of [GARDEN]"
64,ag_i214_oth,str30,0,%30s,,Please specify cultivation status of the garden
65,ag_i216a,byte,1,%8.0g,ag_i_2_16a,CROP TYPE
66,ag_i216a_oth,str7,0,%7s,,Specify the crops planted.
67,ag_i216b,byte,1,%8.0g,,"How much output from this [GARDEN] did you receive as rent,if any, in the [RS]?"
68,ag_i216c,byte,1,%8.0g,ag_i_2_16c,unit
69,ag_i216c_oth,str1,0,%1s,,Please specify the other  unit of output received as rent
70,ag_i216d,byte,1,%8.0g,ag_i_2_16d,SHELLED / UNSHELLED
71,ag_i217a,int,1,%8.0g,,How much did you receive from renting out this [GARDEN] in the [RS]?
72,ag_i217b,byte,1,%8.0g,,IN-KIND<br><br>MK
