position,name,type,isnumeric,format,vallab,varlab
1,case_id,str12,0,%12s,,Unique Household Identifier
2,hhid,strL,0,%32s,,Survey Solutions Unique HH Identifier
3,pid,byte,1,%8.0g,,ID Code
4,hh_b03,byte,1,%8.0g,hh_b03,Sex
5,hh_b04,byte,1,%8.0g,hh_b04,Relationship to Head
6,hh_b04a,byte,1,%8.0g,hh_b04a,Does [NAME] have a working cell phone?
7,hh_b05_2,byte,1,%8.0g,hh_b05_2,Does [NAME] have a birth certificate/ immunization card?
8,hh_b05_2_1,byte,1,%8.0g,hh_b05_2_1,ENUMERATOR: Did you verify age of [NAME] on birth certificate?
9,hh_b05a,int,1,%8.0g,,How old is [NAME] (year)? Visit1
10,hh_b05b,byte,1,%8.0g,,How old is [NAME] (month)? Visit1
11,hh_b06a,byte,1,%8.0g,hh_b06a,When was [NAME] born?
12,hh_b06b,int,1,%8.0g,,year
13,hh_b07,byte,1,%8.0g,,'For how many months during the past 12 months (since MONTH/ YEAR) has [NAME] be
14,hh_b08,byte,1,%8.0g,,How many days did [NAME] eat in this household in the past 7 days?
15,hh_b09,byte,1,%8.0g,hh_b09,Where was [NAME] born?
16,hh_b10a,int,1,%8.0g,hh_b10a,In which district was [NAME] born?
17,hh_b10b,int,1,%8.0g,hh_b10b,In which country was [NAME] born?
18,hh_b10_oth,str13,0,%13s,,Specify in which country was [NAME] born.
19,hh_b11,byte,1,%8.0g,hh_b11,Has [NAME] always lived in this village or urban location?
20,hh_b12,byte,1,%8.0g,,"How long is it since [NAME] came to stay here, in this village or urban location"
21,hh_b13,byte,1,%8.0g,hh_b13,What was the main reason that [NAME] moved here?
22,hh_b13_oth,strL,0,%36s,,Specify the main reason that [NAME] moved here.
23,hh_b14,byte,1,%8.0g,hh_b14,Where did [NAME] move from?
24,hh_b15a,int,1,%8.0g,hh_b15a,From which district did [NAME] move from?
25,hh_b15b,int,1,%8.0g,hh_b15b,From which country did [NAME] move from?
26,hh_b15b_oth,str13,0,%13s,,Specify from which country did [NAME] move from.
27,hh_b16a,byte,1,%8.0g,hh_b16a,Where is [NAME]'s father?
28,hh_b16b,byte,1,%8.0g,,"IF MEMBER OF HH, COPY ID."
29,hh_b17,byte,1,%8.0g,,What was [NAME]'s age when his/her father died? YEARS
30,hh_b18,byte,1,%8.0g,hh_b18,What was the highest educational qualification acquired by [NAME]
31,hh_b19a,byte,1,%8.0g,hh_b19a,Where is [NAME]'s mother?
32,hh_b19b,byte,1,%8.0g,,"IF MEMBER OF HH, COPY ID"
33,hh_b20,byte,1,%8.0g,,What was [NAME]'s age when his/her mother died?YEARS
34,hh_b21,byte,1,%8.0g,hh_b21,What was the highest educational qualification acquired by [NAME]
35,hh_b22,byte,1,%8.0g,hh_b22,ASK OF ONLY HH HEAD: What language do you speak at home?
36,hh_b22_oth,str13,0,%13s,,Specify what language you speak at home.
37,hh_b23,byte,1,%8.0g,hh_b23,"What religion, if any, does [NAME] practice?"
38,hh_b23_oth,str18,0,%18s,,Please specify the other religion.
39,hh_b24,byte,1,%8.0g,hh_b24,What is [NAME]'s present marital status?
40,hh_b24_1,byte,1,%8.0g,hh_b24_1,Under what type of marriage custom (tradition) did [NAME] marry or form a consen
41,hh_b24_1_oth,strL,0,%56s,,Please Specify type of marriage custom
42,hh_b24_2,byte,1,%8.0g,hh_b24_2,Upon marriage does [NAME] stay in his or her own village or move to his or her s
43,hh_b25,byte,1,%8.0g,hh_b25,Does [NAME]'s spouse live in this household now?
44,hh_b26a,byte,1,%8.0g,,COPY THE ID CODE OF THE WIFE/ HUSBAND.
45,hh_b26a_1,int,1,%8.0g,,In what year did [NAME] marry or form a consenual union?
46,hh_b26b,byte,1,%8.0g,,COPY THE ID CODE OF THE WIFE/ HUSBAND.
47,hh_b26b_1,int,1,%8.0g,,In what year did [NAME] marry or form a consenual union?
48,hh_b26b_2,byte,1,%8.0g,hh_b26c,Does [NAME] have another spouse that lives in this household now?
49,hh_b26c,byte,1,%8.0g,,COPY THE ID CODE OF THE WIFE/ HUSBAND.
50,hh_b26c_1,int,1,%8.0g,,In what year did [NAME] marry or form a consenual union?
51,hh_b26c_2,byte,1,%8.0g,hh_b26f,Does [NAME] have another spouse that lives in this household now?
52,hh_b27,byte,1,%8.0g,hh_b27,Does [NAME] have a spouse living outside of this household now?
53,hh_b28,byte,1,%8.0g,,How many spouses does [NAME] have who are residing else-where?
