position,name,type,isnumeric,format,vallab,varlab
1,case_id,str12,0,%12s,,Unique Household Identifier
2,hhid,strL,0,%32s,,Survey Solutions Unique HH Identifier
3,hh_p0a,int,1,%8.0g,hh_p0a,SOURCE CODE
4,hh_p01,byte,1,%8.0g,hh_p01,Received?
5,hh_p01_oth,str26,0,%26s,,"Please, specify Other"
6,hh_p02,long,1,%12.0g,,How much [SOURCE] did your household receive in total during the last
7,hh_p03a,long,1,%12.0g,,How much of [SOURCE] came from rural locations?
8,hh_p03b,long,1,%12.0g,,How much of [SOURCE] came from urban locations?
9,hh_p03c,long,1,%12.0g,,How much of [SOURCE] came from international locations?
10,hh_p03_1,byte,1,%8.0g,hh_p04_1,"..received from another country,any came through other means other than a bank?"
11,hh_p03_2,byte,1,%8.0g,hh_p04_2,In what currency was the cash?
12,hh_p03_2oth,str15,0,%15s,,Please specify other type of currency.
13,hh_p03_3,long,1,%12.0g,,Amt cash was received through other means other than the bank..12 months?
14,hh_p04a,byte,1,%8.0g,,Who in your HH kept/decided what to do with these earnings? (ID 1)
15,hh_p04b,byte,1,%8.0g,,Who in your HH kept/decided what to do with these earnings? (ID 2)
