position,name,type,isnumeric,format,vallab,varlab
1,case_id,str12,0,%12s,,Unique Household Identifier
2,hhid,strL,0,%32s,,Survey Solutions Unique HH Identifier
3,hh_w01,byte,1,%8.0g,hh_w01,"Over the past two years, did any member of your household die, including an"
4,hh_w02,byte,1,%8.0g,,Serial ID
5,hh_w04,byte,1,%8.0g,hh_w04,DECEASED'S RELATION-SHIP TO HEAD OF HOUSEHOLD
6,hh_w05,byte,1,%8.0g,hh_w05,sex
7,hh_w06a,int,1,%8.0g,,AGE AT DEATH
8,hh_w06b,byte,1,%8.0g,,months
9,hh_w08,byte,1,%8.0g,hh_w08,What kind of work did [NAME] do for most of his/her life?
10,hh_w08_oth,str20,0,%20s,,Please specify the other kind of work that [NAME] did most of his/her life
11,hh_w09,byte,1,%8.0g,hh_w09,"Did [NAME] die of old age, an illness, or of some other cause?"
12,hh_w10,byte,1,%8.0g,hh_w10,What was the non-illness cause of [NAME]'s death?
13,hh_w10_oth,str23,0,%23s,,"Please, specify Other"
14,hh_w11a,byte,1,%8.0g,,What was the illness that caused [NAME] death? (Illness 1)
15,hh_w11b,byte,1,%8.0g,,What was the illness that caused [NAME] death? (Illness 2)
16,hh_w11_oth,strL,0,%41s,,"Please, specify Other"
17,hh_w12a,int,1,%8.0g,,For how long was [NAME] suffering from this illness before he/she died
18,hh_w12b,byte,1,%8.0g,hh_w12b,unit
19,hh_w13,byte,1,%8.0g,hh_w13,"Was this cause of death diagnosed, or is this only your own perception?"
20,hh_w14,byte,1,%8.0g,hh_w14,"After this person died, did you or members of your house-hold lose any land"
21,hh_w15,long,1,%12.0g,,What was the value of the land or assets lost?
