case_id,HHID,ag_l0c,ag_l0c_oth,ag_l0a,ag_l01a,ag_l01b,ag_l01b_oth,ag_l02,ag_l03,ag_l04,ag_l06a,ag_l06b,ag_l07a,ag_l07b,ag_l07b_oth,ag_l08,ag_l08_oth,ag_l09,ag_l10,ag_l11,ag_l12,ag_l13,ag_l14a,ag_l14b,ag_l37,ag_l38a,ag_l38b,ag_l38b_oth,ag_l39a,ag_l39b,ag_l40,ag_l41,ag_l42a,ag_l42b,ag_l42b_oth,ag_l43,ag_l44a,ag_l44b,ag_l44b_oth
303025340165,005061e197a949a599ddf701880f2f99,Organic Fertilizer,,YES,100,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,NO,,,,,,,NO,,,,YES,100,KILOGRAM,
303025340165,005061e197a949a599ddf701880f2f99,UREA,,NO,20,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,3,.a,20,KILOGRAM,,Own Bicycle or Oxcart,,0,7200,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
303025340165,005061e197a949a599ddf701880f2f99,INSECTICIDE,,NO,5,LITER,,"YES, THE FIGURES MATCHED",NO,YES,4,.a,5,LITER,,Own Bicycle or Oxcart,,0,2000,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,0,,,,,,
207053960007,005578fb551042d89938f618ffadd412,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307106340208,007a1f8fd14e47cb98190b0bb33e5277,Organic Fertilizer,,YES,8,OTHER (SPECIFY),50 KG BAG,"YES, THE FIGURES MATCHED",NO,YES,7,.a,8,50 KG BAG,,Bicycle Taxi,,12000,8000,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,NO,,,
307106340208,007a1f8fd14e47cb98190b0bb33e5277,23:21:0+4S/CHITOWE,,NO,15,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,6,.a,15,KILOGRAM,,Bicycle Taxi,,1000,7500,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
307106340208,007a1f8fd14e47cb98190b0bb33e5277,CAN,,NO,10,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,6,.a,10,KILOGRAM,,Bicycle Taxi,,1000,7500,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
307106340208,007a1f8fd14e47cb98190b0bb33e5277,INSECTICIDE,,NO,250,MILLILITER,,"YES, THE FIGURES MATCHED",NO,YES,6,.a,500,MILLILITER,,Bicycle Taxi,,1000,5000,"Paid in full, with own-savings",,,,,NO,.a,,,.a,.a,0,NO,.a,,,,,,
313027590157,008cf8f470064bb2901827f91e0639b2,Organic Fertilizer,,YES,100,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,NO,,,,,,,NO,,,,YES,100,KILOGRAM,
207074000294,009fd63d7ca544fa86e07f95781eb567,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
