case_id,HHID,crop_code,ag_n01a,ag_n01b,ag_n01b_oth,ag_n02,ag_n03,ag_n04,ag_n06a,ag_n06b,ag_n07a,ag_n07b,ag_n07b_oth,ag_n07_1a,ag_n07_1b,ag_n08,ag_n08_oth,ag_n09,ag_n10,ag_n11,ag_n12,ag_n13,ag_n14a,ag_n14b,ag_n37,ag_n38a,ag_n38b,ag_n38b_oth,ag_n39a,ag_n39b,ag_n39_1,ag_n39_1_oth,ag_n40,ag_n41,ag_n42a,ag_n42b,ag_n42b_oth,ag_n43,ag_n43_oth
101011000040,9936d103bf974a93afbc63d477b8b3f2,TOMATO,100,GRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,YES,100,GRAM,,3,,On Foot,,0,NO,,,,Improved variety is too expensive,
101011000071,cc8f211413cd493e83e01a96aba95bbb,TOMATO,75,GRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,NO,,,,Advice from fellow farmer,
101011000071,cc8f211413cd493e83e01a96aba95bbb,ONION,100,GRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,NO,,,,Advice from fellow farmer,
101011000190,cc43ef9ad8aa45c28c6b1ec1daf1effc,SWEET POTATO,15,OTHER SPECIFY,50 KG BAG,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,15,50 KG BAG,,Preference for traditional variety,
101011000229,588862e09b294c19806cb1cea206b93f,SWEET POTATO,3,OTHER SPECIFY,50 KG BAG,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,3,50 KG BAG,,Preference for traditional variety,
101011000253,18895b09d1aa4f2fb29731eff2be86f6,SWEET POTATO,2,OTHER SPECIFY,50 KG BAG,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,YES,2,50 KG BAG,,3,,On Foot,,0,NO,,,,Preference for traditional variety,
101011000260,f5624915b2ea42698c93f09e51d55660,SWEET POTATO,1,OTHER SPECIFY,DENGU,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,1,OTHER (SPECIFY),DENGU,Preference for traditional variety,
101011000260,f5624915b2ea42698c93f09e51d55660,NKHWANI,1,GRAM,,"YES, THE FIGURES MATCHED",NO,YES,3,,1,GRAM,,1,2,On Foot,,0,350,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Advice from fellow farmer,
101011010055,018388a980ac4a1e95269d79f85b0e7c,MAIZE HYBRID,5,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,5,KILOGRAM,,Improved variety is too expensive,
101011010055,018388a980ac4a1e95269d79f85b0e7c,TOMATO,20,GRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,YES,20,GRAM,,3,,On Foot,,0,NO,,,,Advice from fellow farmer,
101011020088,d28d50b33ee84f82a26e265fa2a743cf,MAIZE LOCAL,2,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,6,,2,KILOGRAM,,1,.a,On Foot,,0,400,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Preference for traditional variety,
