case_id,HHID,crop_code,ag_o01,ag_o02a,ag_o02b,ag_o02c,ag_o03,ag_o05a,ag_o05b,ag_o06a,ag_o06b,ag_o07a,ag_o07b,ag_o08,ag_o09,ag_o09_oth,ag_o10,ag_o31a,ag_o31b,ag_o31b_oth,ag_o31c,ag_o32a,ag_o32b,ag_o32b_oth,ag_o32c,ag_o33a,ag_o33b,ag_o33b_oth,ag_o33c,ag_o34a,ag_o34b,ag_o34b_oth,ag_o34c,ag_o35a,ag_o35b,ag_o35b_oth,ag_o35c,ag_o36a,ag_o36b,ag_o36b_oth,ag_o36c,ag_o36d,ag_o37a,ag_o37b,ag_o37_oth,ag_o38,ag_o39,ag_o39_oth,ag_o40a,ag_o40b,ag_o40b_oth,ag_o40c,ag_o41a,ag_o41b,ag_o41_oth,ag_o42a,ag_o42b,ag_o42_oth
303025340165,005061e197a949a599ddf701880f2f99,MAIZE HYBRID RECYCLED,YES,5,50 KG BAG,U: UNSHELLED,15000,5,,1,2,SEPTEMBER,2019,5,Buyer picked up the crop,,0,1,50 KG BAG,,U: UNSHELLED,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,NO,,,,,,,,,,Food for household,,
207053960007,005578fb551042d89938f618ffadd412,RICE LOCAL,YES,25,KILOGRAM,S: SHELLED,2500,5,,2,,MAY,2018,1,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,KILOGRAM,,S: SHELLED,,2,,,NO,,,,,,,,,,Food for household,,
307106340208,007a1f8fd14e47cb98190b0bb33e5277,OTHER (SPECIFY),YES,5,50 KG BAG,NOT APPLICABLE,10000,6,,1,2,JULY,2019,12,Bicycle Taxi,,12000,1,50 KG BAG,,NOT APPLICABLE,0,,,,0,,,,5,50 KG BAG,,NOT APPLICABLE,0,,,,.5,50 KG BAG,,NOT APPLICABLE,,1,,,NO,,,,,,,,,,Does not usually store,,
307106340208,007a1f8fd14e47cb98190b0bb33e5277,CABBAGE,NO,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,NO,,,,,,,,,,Does not usually store,,
307106340208,007a1f8fd14e47cb98190b0bb33e5277,NKHWANI,YES,4,50 KG BAG,NOT APPLICABLE,7000,6,,1,2,JULY,2019,12,Bicycle Taxi,,12000,.5,50 KG BAG,,NOT APPLICABLE,0,,,,0,,,,4,50 KG BAG,,NOT APPLICABLE,0,,,,.5,50 KG BAG,,NOT APPLICABLE,,1,,,NO,,,,,,,,,,Does not usually store,,
313027590157,008cf8f470064bb2901827f91e0639b2,SUGAR CANE,YES,200,PIECE,NOT APPLICABLE,38000,8,,1,2,OCTOBER,2018,5,On Foot,,0,100,PIECE,,NOT APPLICABLE,200,PIECE,,NOT APPLICABLE,0,,,,0,,,,0,,,,150,PIECE,,NOT APPLICABLE,,5,,,NO,,,,,,,,,,Food for household,,
313027590157,008cf8f470064bb2901827f91e0639b2,TANAPOSI,YES,4,50 KG BAG,NOT APPLICABLE,12000,8,,1,,SEPTEMBER,2018,5,On Foot,,0,.5,50 KG BAG,,NOT APPLICABLE,.5,50 KG BAG,,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,1,,,,NO,,,,,,,,,,Food for household,,
207074000294,009fd63d7ca544fa86e07f95781eb567,BEANS,NO,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (LARGE),,S: SHELLED,1,KILOGRAM,,S: SHELLED,,3,,,NO,,,,,,,,,,Seed for planting,Food for household,
207023880317,00d91bf747164e848958d711bcca04fe,IRISH [MALAWI] POTATO,YES,11,PAIL (LARGE),NOT APPLICABLE,55000,8,,2,,JUNE,2019,2,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,NOT APPLICABLE,,1,,,NO,,,,,,,,,,Does not usually store,,
206043580122,011aff388e5f4efcbc0b80238ca697cd,MAIZE HYBRID,YES,2,50 KG BAG,S: SHELLED,12000,8,,1,,MAY,2019,1,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,15,,,,NO,,,,,,,,,,To sell at a higher price,Food for household,
