case_id,HHID,gardenid,plotid,ag_p0_crops,ag_p0c,ag_p0c_oth,ag_p0a,ag_p0aoth,ag_p01,ag_p02a,ag_p02b,ag_p02b_oth,ag_p03,ag_p04,ag_p05,ag_p06a,ag_p06b,ag_p06c,ag_p06d,ag_p07,ag_p08a,ag_p08b,ag_p08_oth,ag_p08_1,ag_p08_1oth,ag_p09a,ag_p09b,ag_p09b_oth,ag_p09_1
301085020044,000a3b8cf97a44219f2ca739d99669c0,TG01,T01,BANANA,BANANA,,BANANA (SPECIFY),LAMBONI,SCATTERED,,,,1,9999,0,DECEMBER,2018,OCTOBER,2019,YES,Effects of Irregular Rains,,,,,9,BUNCH,,FRESH
301085020044,000a3b8cf97a44219f2ca739d99669c0,TG01,T01,AVOCADO,AVOCADO,,AVOCADO (SPECIFY),AVOCADO,SCATTERED,,,,1,9999,0,MARCH,2019,APRIL,2019,YES,Other (Specify),,wind,,,5,50 KG BAG,,FRESH
312027380110,000db14d4b284f7cb74f0bd5a03a3550,RG01,T01,MANGO,MANGO,,MANGO (SPECIFY),YEMBEMWANA,SCATTERED,,,,8,1980,0,OCTOBER,2018,JANUARY,2019,NO,,,,,,7,PAIL (LARGE),,FRESH
312027380110,000db14d4b284f7cb74f0bd5a03a3550,RG01,T01,PAWPAW,PAWPAW/PAPAYA,,PAWPAW/PAPAYA (SPECIFY),PAWPAW,SCATTERED,,,,4,2000,0,JUNE,2018,NOVEMBER,2019,NO,,,,,,6,PAIL (SMALL),,FRESH
305065900019,003e5f39855846ea8361f43e37f851bc,TG01,T01,PAWPAW,PAWPAW/PAPAYA,,PAWPAW/PAPAYA (SPECIFY),LOCAL,SCATTERED,,,,1,2016,1,DECEMBER,2018,AUGUST,2019,YES,Effects of Animals,,,,,16,PIECE,,FRESH
305065900019,003e5f39855846ea8361f43e37f851bc,TG01,T01,ORANGE,ORANGE,,ORANGE (SPECIFY),LOCAL,SCATTERED,,,,2,2017,0,NOVEMBER,2018,MARCH,2019,NO,,,,,,0,,,
305065900019,003e5f39855846ea8361f43e37f851bc,TG01,T01,MASAU,MASAU,,MASAU (SPECIFY),LOCAL,SCATTERED,,,,1,2012,0,DECEMBER,2018,JUNE,2019,YES,Effects of Animals,,,,,1,PAIL (LARGE),,FRESH
305065900019,003e5f39855846ea8361f43e37f851bc,RG03,T02,MANGO,MANGO,,MANGO (SPECIFY),KALISERE,SCATTERED,,,,7,9999,0,SEPTEMBER,2018,JANUARY,2019,YES,Effects of Crop theft,,,,,5,50 KG BAG,,FRESH
101051140079,0041636687b345018ae4b46b59292211,TG01,T01,CASSAVA,CASSAVA,,Twentetwente,,PLANTATION,.2,ACRE,,999,2017,150,MARCH,2018,MARCH,2019,NO,,,,,,3,OX-CART,,FRESH
308016430005,0048aac98a2c40a9be924b94cdbe8f0b,TG01,T01,GUAVAS,GUAVA,,GUAVA (SPECIFY),LOCAL,SCATTERED,,,,1,2013,0,FEBRUARY,2019,APRIL,2019,YES,Effects of Crop theft,,,,,1,PAIL (SMALL),,FRESH
308016430005,0048aac98a2c40a9be924b94cdbe8f0b,TG02,T02,CASSAVA,CASSAVA,,Others (Specify),AKADZIMWAPEZA,PLANTATION,.21,ACRE,,999,2018,999,SEPTEMBER,2019,SEPTEMBER,2019,YES,Effects of Animals,,,,,2,50 KG BAG,,DRY
308016430005,0048aac98a2c40a9be924b94cdbe8f0b,TG03,T03,CASSAVA,CASSAVA,,Mgwalangwa,,PLANTATION,.3,ACRE,,999,2018,999,SEPTEMBER,2019,SEPTEMBER,2019,YES,Effects of Animals,,,,,4,50 KG BAG,,DRY
303025340165,005061e197a949a599ddf701880f2f99,TG01,T01,Mango,MANGO,,MANGO (SPECIFY),BIG VARIETY,SCATTERED,,,,4,9999,0,NOVEMBER,2018,JANUARY,2019,NO,,,,,,2,BASKET (DENGU),,FRESH
303025340165,005061e197a949a599ddf701880f2f99,TG01,T01,Masuku,MEXICAN APPLE [MASUKU],,MEXICAN APPLE [MASUKU] (SPECIFY),HYBRID,SCATTERED,,,,1,9999,0,DECEMBER,2018,NOVEMBER,2019,NO,,,,,,2,PAIL (LARGE),,FRESH
303025340165,005061e197a949a599ddf701880f2f99,TG01,T01,Pawpaw,PAWPAW/PAPAYA,,PAWPAW/PAPAYA (SPECIFY),LOCAL,SCATTERED,,,,1,2012,0,DECEMBER,2018,NOVEMBER,2019,NO,,,,,,1,BASKET (DENGU),,FRESH
303025340165,005061e197a949a599ddf701880f2f99,TG01,T01,Tangerines,NAARTJE (TANGERINE),,NAARTJE (TANGERINE) (SPECIFY),LOCAL,SCATTERED,,,,1,9999,0,DECEMBER,2018,NOVEMBER,2019,NO,,,,,,1,BASKET (DENGU),,FRESH
201102460206,005181de819a4526afe2bf14e2e3d7f2,RG02,T01,MANGOES,MANGO,,MANGO (SPECIFY),MANGOES SMALL,SCATTERED,,,,5,9999,0,NOVEMBER,2019,JANUARY,2020,YES,Effects of Crop theft,,,,,4,50 KG BAG,,FRESH
305075930384,0057020f3fa444f6bbe0fddff676da9b,RG01,T01,Mangoes,MANGO,,MANGO (SPECIFY),ANG'ONONOANG'ONO,SCATTERED,,,,7,2017,4,OCTOBER,2017,JANUARY,2018,YES,Effects of Crop theft,,,,,2,50 KG BAG,,FRESH
305075930384,0057020f3fa444f6bbe0fddff676da9b,RG01,T01,Masuku,MEXICAN APPLE [MASUKU],,MEXICAN APPLE [MASUKU] (SPECIFY),AKULU,SCATTERED,,,,4,2017,4,NOVEMBER,2017,JANUARY,2018,YES,Effects of Crop theft,,,,,1,50 KG BAG,,FRESH
305075930384,0057020f3fa444f6bbe0fddff676da9b,RG01,T01,PawPaw,PAWPAW/PAPAYA,,PAWPAW/PAPAYA (SPECIFY),LARGE,SCATTERED,,,,1,2017,1,SEPTEMBER,2017,JANUARY,2018,YES,Effects of Crop theft,,,,,25,KILOGRAM,,FRESH
103041550407,00614104b33549d396a082c46449461f,TG03,T01,BANANA,BANANA,,BANANA (SPECIFY),ZAMBIA,SCATTERED,,,,10,2014,0,DECEMBER,2018,JUNE,2019,NO,,,,,,1,BUNCH,,FRESH
103041550407,00614104b33549d396a082c46449461f,TG03,T01,CASSAVA,CASSAVA,,Azungu (Masoghazungu),,PLANTATION,.34,ACRE,,,,,NOVEMBER,2018,MARCH,2019,NO,,,,,,36,50 KG BAG,,FRESH
103041550407,00614104b33549d396a082c46449461f,TG01,T02,MANGO,MANGO,,MANGO (SPECIFY),DUDU,SCATTERED,,,,10,2008,0,NOVEMBER,2018,FEBRUARY,2019,YES,Other (Specify),,ROTTING,,,10,50 KG BAG,,FRESH
103041550407,00614104b33549d396a082c46449461f,TG01,T02,BANANA,BANANA,,BANANA (SPECIFY),ZAMBIA,SCATTERED,,,,5,2008,0,OCTOBER,2018,NOVEMBER,2019,NO,,,,,,5,BUNCH,,FRESH
103041550407,00614104b33549d396a082c46449461f,TG01,T02,NJAYA,OTHER (SPECIFY),NJAYA,Others CROPS (Specify),NJAYA,SCATTERED,,,,1,2008,0,DECEMBER,2018,JANUARY,2019,NO,,,,,,5,PIECE,,FRESH
311047130031,0067e441f6de45f2ad59be6e18f3730d,RG02,T01,Cassava,CASSAVA,,Masangwi,,SCATTERED,,,,,,,APRIL,2019,MARCH,2020,NO,,,,,,0,,,
307106340208,007a1f8fd14e47cb98190b0bb33e5277,RG02,T01,T01 kumunda,CASSAVA,,Chinangwa 1,,SCATTERED,,,,,,,MAY,2018,JULY,2019,YES,Effects of Crop theft,,,,,5,50 KG BAG,,FRESH
313027590157,008cf8f470064bb2901827f91e0639b2,RG02,T01,Mango,MANGO,,MANGO (SPECIFY),"MWANG,ONO",SCATTERED,,,,6,2008,0,JULY,2018,DECEMBER,2018,YES,Effects of Insects,,,,,2,PAIL (LARGE),,FRESH
314377860282,0093e34101584cb192242bd6fd3e0b63,TG01,T01,MANGO,MANGO,,MANGO (SPECIFY),MABOLOMA AND AMWANGONO,SCATTERED,,,,3,2000,0,NOVEMBER,2018,JANUARY,2019,YES,Other (Specify),,WIND,,,1,50 KG BAG,,FRESH
314377860282,0093e34101584cb192242bd6fd3e0b63,TG01,T01,PEACH,PEACH,,PEACH (SPECIFY),PEACH,SCATTERED,,,,2,2015,0,DECEMBER,2018,APRIL,2019,YES,Effects of Community problems,,,,,1,OTHER(SPECIFY),5 LITRES CHIGOBA,FRESH
314377860282,0093e34101584cb192242bd6fd3e0b63,TG01,T01,AVOCADO,AVOCADO,,AVOCADO (SPECIFY),AVOCADO,SCATTERED,,,,1,1993,0,DECEMBER,2018,MARCH,2019,YES,Effects of Community problems,,,,,1,PAIL (LARGE),,FRESH
203032900149,009c0320df6b45319b68e3fea55999ca,RG02,T01,Banana,BANANA,,BANANA (SPECIFY),MAGOMBO,SCATTERED,,,,3,1990,0,MAY,2018,APRIL,2019,YES,Effects of Crop theft,,,,,2,50 KG BAG,,FRESH
207074000294,009fd63d7ca544fa86e07f95781eb567,TG01,T01,BANANAS,BANANA,,BANANA (SPECIFY),SUKARI,SCATTERED,,,,4,1994,0,JULY,2018,FEBRUARY,2019,YES,Effects of Crop theft,,,,,10,BASKET (DENGU),,FRESH
207074000294,009fd63d7ca544fa86e07f95781eb567,RG02,T02,MANGOES,MANGO,,MANGO (SPECIFY),SMALL,SCATTERED,,,,1,1990,0,NOVEMBER,2018,FEBRUARY,2019,YES,Effects of Crop theft,,,,,15,PAIL (LARGE),,FRESH
104051800091,00a351c5b12f481d898a25b00c1d8861,TG02,T01,CASSAVA,CASSAVA,,Gomani2,,PLANTATION,.62,ACRE,,2500,2017,1600,DECEMBER,2018,DECEMBER,2019,YES,Effects of Animals,,,,,7,PAIL (LARGE),,DRY
302095200230,00d5119213d74bf087c28921790a2ae5,RG01,T01,Thochi,BANANA,,BANANA (SPECIFY),KARONGA,SCATTERED,,,,360,1990,13,NOVEMBER,2017,AUGUST,2018,NO,,,,,,1,BASKET (DENGU),,FRESH
207023880317,00d91bf747164e848958d711bcca04fe,RG07,T01,mangoes,MANGO,,MANGO (SPECIFY),MANGOES,SCATTERED,,,,2,1990,0,NOVEMBER,2018,JANUARY,2019,YES,Effects of Crop theft,,,,,1,50 KG BAG,,FRESH
203022850032,00e43104a8c44f52841894e67791fa82,TG01,T01,Guava,GUAVA,,GUAVA (SPECIFY),LOCAL,SCATTERED,,,,3,2019,3,SEPTEMBER,2019,JANUARY,2020,NO,,,,,,0,,,
303115510210,00f0dfa56a1c467092d049fd95ee8026,TG02,T01,Cassava,CASSAVA,,Chilikhano2/Mchilingano,,SCATTERED,,,,,,,NOVEMBER,2017,AUGUST,2018,NO,,,,,,2,50 KG BAG,,DRY
303115510210,00f0dfa56a1c467092d049fd95ee8026,TG02,T01,Mango,MANGO,,MANGO (SPECIFY),MEANG'ONO,SCATTERED,,,,3,1972,0,JUNE,2017,JANUARY,2018,NO,,,,,,3,50 KG BAG,,FRESH
308016450334,00fc9ca955bc447aaf520e908ff228cd,RG02,T01,cassava,CASSAVA,,Dzalamayenje,,PLANTATION,.5,ACRE,,999,2018,999,SEPTEMBER,2018,OCTOBER,2019,NO,,,,,,3,50 KG BAG,,DRY
301105040040,010f1b450185421e8df99b21d5365bac,RG02,T01,CASSAVA,CASSAVA,,Masangwi,,SCATTERED,,,,80,2018,0,NOVEMBER,2018,NOVEMBER,2019,NO,,,,,,10,50 KG BAG,,FRESH
105102090094,011105bafa434f739f67cc1bdc4f8468,TG03,T01,Cassava,CASSAVA,,Azungu (Masoghazungu),,PLANTATION,.6,ACRE,,999,2017,1500,DECEMBER,2017,DECEMBER,2018,YES,Effects of Diseases,,,CASSAVA MOSAIC. AFRICAN CASSAVA MOSAIC VIRUS (ACMV),,1300,PIECE,,FRESH
102041360006,013571e53664428bb6b5af0fe41ed089,TG01,T01,CASSAVA,CASSAVA,,Mkondezi,,PLANTATION,.93,ACRE,,,,,DECEMBER,2018,AUGUST,2019,YES,Effects of Irregular Rains,,,,,2,90 KG BAG,,FRESH
310026940035,013922eb280a466b83811d58362eda17,RG02,T01,Mangoes,MANGO,,MANGO (SPECIFY),BOLOMA,SCATTERED,,,,1,2007,0,NOVEMBER,2018,OCTOBER,2019,YES,Other (Specify),,Human,,,2,BASKET (DENGU),,FRESH
310036960059,013f3bffa3c14a68a619ba1aaefdd04a,RG03,T01,MANGOES,MANGO,,,,SCATTERED,,,,10,2009,0,OCTOBER,2018,JANUARY,2019,NO,,,,,,20,50 KG BAG,,FRESH
209054380122,0153f47bc58a4036acb8cf0f16309dd2,RG01,T01,MANGO,MANGO,,MANGO (SPECIFY),MABOLOMA,SCATTERED,,,,1,2007,0,OCTOBER,2017,JANUARY,2018,NO,,,,,,1,PAIL (LARGE),,FRESH
209054380122,0153f47bc58a4036acb8cf0f16309dd2,RG01,T02,CASSAVA,CASSAVA,,Manyimanyi,,SCATTERED,,,,100,2018,100,AUGUST,2018,JULY,2019,YES,Effects of Crop theft,,,,,2,PAIL (SMALL),,FRESH
101011040031,015bf2639fae45db9d8ddd6a181eaf89,TG01,T01,banana,BANANA,,BANANA (SPECIFY),ZAMBIA,SCATTERED,,,,999,1980,0,DECEMBER,2018,MARCH,2019,NO,,,,,,6,BUNCH,,NOT APPLICABLE.
105011910098,015fbc00036045b0acb75851a03e9c03,TG01,T01,banana,BANANA,,BANANA (SPECIFY),MTWUMBISENI,SCATTERED,,,,30,2002,0,MAY,2019,JULY,2019,NO,,,,,,270,OTHER(SPECIFY),CLUSTER,FRESH
105011910098,015fbc00036045b0acb75851a03e9c03,TG01,T01,mango,MANGO,,MANGO (SPECIFY),LOCAL,SCATTERED,,,,3,1980,0,DECEMBER,2018,FEBRUARY,2019,NO,,,,,,25,PAIL (LARGE),,FRESH
302065160130,017055d31bca45609dc2a16c7935187b,TG01,T01,MANGO,MANGO,,MANGO (SPECIFY),MABOLOMA,SCATTERED,,,,2,1999,0,NOVEMBER,2018,JANUARY,2019,NO,,,,,,4,BASKET (DENGU),,FRESH
102011270165,01767e4725bf4bfc89265a714c5aaad8,TG01,T01,MANGOES,MANGO,,MANGO (SPECIFY),DK,SCATTERED,,,,1,9999,0,DECEMBER,2018,NOVEMBER,2019,YES,Effects of Community problems,,,,,0,,,
305065890216,01780164ef6d4336a52e94401963036a,TG01,T01,Mango,MANGO,,MANGO (SPECIFY),MANGO ANG'ONOANG'ONO,SCATTERED,,,,2,2004,0,SEPTEMBER,2018,JANUARY,2019,NO,,,,,,20,BASKET (DENGU),,FRESH
308076630094,018c49cda7fc485cab1f0e44ac25f55a,DG03,T01,BANANAS PLOT,BANANA,,BANANA (SPECIFY),KABUTHU,SCATTERED,,,,8,2010,0,DECEMBER,2018,MARCH,2019,YES,Effects of Crop theft,,,,,5,50 KG BAG,,FRESH
