case_id,HHID,crop_code,ag_q01,ag_q02a,ag_q02b,ag_q02b_oth,ag_q02c,ag_q03,ag_q05a,ag_q05b,ag_q06a,ag_q06b,ag_q07a,ag_q07b,ag_q08,ag_q09,ag_q09_oth,ag_q10,ag_q31a,ag_q31b,ag_q31b_oth,ag_q31c,ag_q32a,ag_q32b,ag_q32b_oth,ag_q32c,ag_q33a,ag_q33b,ag_q33b_oth,ag_q33c,ag_q34a,ag_q34b,ag_q34b_oth,ag_q34c,ag_q35a,ag_q35b,ag_q35b_oth,ag_q35c,ag_q35d,ag_q36a,ag_q36b,ag_q36_oth,ag_q37,ag_q38,ag_q38_oth,ag_q39a,ag_q39b,ag_q39b_oth,ag_q39c,ag_q40a,ag_q40b,ag_q40_oth,ag_q41a,ag_q41b,ag_q41_oth
101011000071,cc8f211413cd493e83e01a96aba95bbb,BANANA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,5,5,,,NO,,,,,,,,,,1,,
101011000095,e50cfa8d11b44d56891e0fad015b07c7,BANANA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,5,5,,,NO,,,,,,,,,,6,,
101011000115,4c60971913ca49b4beb6def01a0b133f,CASSAVA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,,
101011000115,4c60971913ca49b4beb6def01a0b133f,BANANA,YES,2,BUNCH,,NOT APPLICABLE,1500,2,.a,1,2,JULY,2019,1,On Foot,,0,3,BUNCH,,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,1,1,,,YES,Bags in house,,1,50 KG BAG,,NOT APPLICABLE,5,,,1,,
101011000135,e676d3715e4340b4a4185fca13f23fba,MANGO,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,.a,,,,NO,,,,,,,,,,1,,
101011000199,09aa9c15d78e449ea768d2b546d7630f,CASSAVA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,10,3,,,YES,Other (Specify),FRESH IN THE GARDEN,0,,,,5,,,1,,
101011000229,588862e09b294c19806cb1cea206b93f,CASSAVA,YES,3,PAIL (LARGE),,S: SHELLED,3600,6,.a,1,2,FEBRUARY,2019,1,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,2,
101011000229,588862e09b294c19806cb1cea206b93f,PAWPAW/PAPAYA,YES,1,50 KG BAG,,NOT APPLICABLE,5000,7,.a,1,2,JULY,2019,5,On Foot,,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,6,
101011000253,18895b09d1aa4f2fb29731eff2be86f6,CASSAVA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,,
101011000253,18895b09d1aa4f2fb29731eff2be86f6,MANGO,NO,,,,,,,,,,,,,,,,1,50 KG BAG,,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,6,
101011000254,9d7546eefc334970b492a20ce6887403,CASSAVA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,,
101011000254,9d7546eefc334970b492a20ce6887403,BANANA,YES,5,BUNCH,,NOT APPLICABLE,4000,3,.a,1,2,JUNE,2019,5,On Foot,,0,1,BUNCH,,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,2,
101011000260,f5624915b2ea42698c93f09e51d55660,CASSAVA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (LARGE),,S: SHELLED,5,1,,,NO,,,,,,,,,,1,,
101011010006,5845d8877c264a639aada480e64df344,BANANA,NO,,,,,,,,,,,,,,,,1,PAIL (SMALL),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,,
101011010016,a32b7bf3a92240689cd1a5d1f522a140,MANGO,NO,,,,,,,,,,,,,,,,3,PAIL (LARGE),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,6,
101011010026,2d61398388e54acd9a37b9e331fa9ccd,CASSAVA,YES,3,PAIL (LARGE),,NOT APPLICABLE,21000,3,.a,1,2,FEBRUARY,2020,3,On Foot,,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,3,1,,NO,,,,,,,,,,1,2,
101011010064,ce16a1e2640047e3bf515d4bfc7b06f5,BANANA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,5,1,,,NO,,,,,,,,,,1,,
101011020140,ad98c2cdf217477f9abc57c60632f677,CASSAVA,YES,3,OTHER (SPECIFY),90Kg bag,NOT APPLICABLE,18000,5,.a,1,.a,FEBRUARY,2019,3,Bicycle Taxi,,1500,0,,,,0,,,,0,,,,0,,,,2,OTHER (SPECIFY),90kg bag,NOT APPLICABLE,.a,3,,,NO,,,,,,,,,,1,2,
101011020183,6f7d332cc9df4fd9896e1ba8c9688848,CASSAVA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,NOT APPLICABLE,10,3,,,NO,,,,,,,,,,1,,
