case_id,HHID,ag_r25,ag_r26,ag_r27,ag_r28,ag_r29
101011000023,7144cc6d29b3485d9e6d6188b255c756,0,0,0,0,0
101011000071,cc8f211413cd493e83e01a96aba95bbb,0,0,0,0,0
101011000095,e50cfa8d11b44d56891e0fad015b07c7,0,0,0,0,0
101011000115,4c60971913ca49b4beb6def01a0b133f,0,0,500,0,0
101011000126,2fcb31f5f05349fca327dd2fa965b43a,0,0,0,0,0
101011000135,e676d3715e4340b4a4185fca13f23fba,0,0,0,0,0
101011000190,cc43ef9ad8aa45c28c6b1ec1daf1effc,0,0,0,0,0
101011000229,588862e09b294c19806cb1cea206b93f,0,0,0,0,0
101011000253,18895b09d1aa4f2fb29731eff2be86f6,0,0,500,0,0
101011000260,f5624915b2ea42698c93f09e51d55660,0,0,0,0,0
101011010006,5845d8877c264a639aada480e64df344,0,0,0,0,0
101011010016,a32b7bf3a92240689cd1a5d1f522a140,0,0,0,0,0
101011010026,2d61398388e54acd9a37b9e331fa9ccd,0,0,0,0,0
101011010037,273878d185624e4aa08fbf10c88efa82,0,0,0,0,0
101011010046,6237f49f5a174df7884c1693808cbea3,0,0,0,0,0
101011010055,018388a980ac4a1e95269d79f85b0e7c,0,0,0,0,0
101011010064,ce16a1e2640047e3bf515d4bfc7b06f5,0,0,0,0,0
101011010083,158e0fe582ac4aac9a7e3c8bca5e5ddf,0,0,0,0,0
101011010101,9af4fb6a33d04d21abecfcaec6e16811,0,0,0,0,0
101011010111,dedcd194d3d246c5b8ad29d075ae706a,0,6000,0,0,0
101011010120,f4e49be9017546418526a3acf75c29ca,0,0,0,0,0
101011010129,8aa0db7b72c1478e880596ec8d69bacb,0,3500,0,0,0
101011010139,c75267b00dec46509e1ccb468e14aea4,0,0,0,0,0
101011020002,3a3c53640cfd40719087b41f35b71019,0,20000,0,0,0
101011020051,14364fd838a74f2d9166bc0715e4b96d,0,0,1200,0,0
101011020088,d28d50b33ee84f82a26e265fa2a743cf,0,8000,0,3000,0
101011020140,ad98c2cdf217477f9abc57c60632f677,0,8000,0,0,0
101011020183,6f7d332cc9df4fd9896e1ba8c9688848,0,1400,0,0,0
101011020186,cdc58bdec76b49b1945457b654d293dc,0,0,0,0,0
101011020260,70bcaaf9541f4e3a9c10a2fe53283260,0,0,0,0,0
101011020281,d5b99d1324ef4ebaa234c07ee52e8cba,0,0,0,0,0
101011020318,ec0f6602b8fc4f53aa33b3e00aa235e5,0,15000,0,0,0
101011020369,085341e9d8014d7d8bb1b566a646bf57,0,0,0,0,0
101011030005,cf9c2bfc06304fa79c8f46abb78c4cee,0,0,0,0,0
101011030012,65816a6fa1ab4fac876e795bcef13671,0,0,0,0,0
101011030057,43a227794ed84f7c9caed20739e7532c,0,0,0,0,0
101011030072,09d4515509cc4692badf3541dd10ed40,0,0,0,0,0
101011030079,45cb275b257944af892c562162b9cba9,0,0,0,0,0
101011030087,18383631de9947df8ba58a686c4bd394,0,0,0,0,0
101011030107,1e677a9563644c1eb012e0c7df9b6410,0,800,0,0,0
101011030122,be90dc04442f43f9b7bf199a362813b1,0,0,0,0,0
101011030148,85990b04acfc4a94b4b8e6d7e27c499e,0,0,0,0,0
101011030155,045e6c0ec46c45ffa1cf157dae6c5941,0,0,0,0,0
101011040025,a29558f1ecd84741941e3aea56675071,0,0,0,0,0
101011040037,19877062f12f464087073252923310dc,0,0,1500,0,0
101011040041,493519f5d58042dd8e21c3967f4e8d5c,0,0,0,0,0
101011040052,7c6f187e305e4df8a7ac937a9fee6dfe,0,0,0,0,0
101011040055,4592359017f74c14964ae417da1c2066,0,0,0,0,0
101011040107,52aa13b89db34794b1a23b05cba7b292,0,0,0,0,0
101011040108,8d7b180c5622498aade520441256fd2b,0,0,0,0,0
101011040171,ba80ea93057b4b60846a718aa75a7867,0,0,3000,0,0
101011050013,1671aa69f4a044ccaf264bcef1391b54,0,0,0,0,0
101011050025,a4f8bd766a0e4b00b9a50f737a04ce8c,0,0,0,0,0
101011050031,9aa4b2841ab44cfe93571a2ed0d6f96a,0,0,0,0,0
101011050038,b70b56b5f5ab4fc5bf9c5b6f19b73fde,0,0,0,0,0
101011050050,a76b485c9a024344a99e402582352763,0,0,0,0,0
101011050056,f60b8992e8354284ada9bfb7defe795f,0,0,0,0,0
101011050070,42011087a5ae4f05a92b6c249e56cf73,0,0,0,0,0
101011050088,9d9fd8fa62ee4173af242fd240315b9f,0,0,0,0,0
101011050094,ad560d97ed49428b99ec125e005e9d80,0,0,0,0,0
101011050100,15629dd5b0604709a224c05ee046ba7b,0,0,0,0,0
101011050106,708655c28dff4cb9a6dde701daf3f90c,0,0,0,0,0
101011050113,8fe866dceb36440cbeb8f3192a70bf3a,0,0,0,0,0
101011050119,e68a4ff4ffc24022926fdfa8786fca77,0,0,0,0,0
101011060024,e2dd9e289b9a4c5c8f37f8cf0e82088a,0,0,0,0,0
101011060046,ecc5b1642f60484b9f6cb9f8002a29e2,0,0,0,0,0
101011060059,6289fda67d28450eb6e516a910bf930c,0,0,0,0,0
101011060079,e7974bc4397b46079a5cfe9502bcfcf0,0,0,4000,0,0
101011060087,330892a48b67444490da543b96a74bd7,0,0,0,0,0
101011060095,dd2bbdf52bb9469b9195e4f0e37e6372,0,0,0,0,0
101011060131,d18ae2ef2087438a9abcf791818c9702,0,0,4000,0,0
101011060135,dd415f871ee34dfeb480dad92255e98a,0,0,0,0,0
101011060147,7b26d513c0144ff199f571721281257d,0,0,0,0,0
101011060155,08241cf6339d4495ab3fe62a061e88cb,0,0,1200,0,0
101011060169,503c7ef920c54f01ae7e10e2d8287748,0,0,300,0,0
101011060175,6380440c471c4a5189c9239723bfb5f3,0,0,0,0,0
101011060195,2b77b25460f042ddb1ca43f9b807c108,0,0,0,0,0
101011060201,f9bf2018851b4a6884043d210c107944,0,0,0,0,0
101011060207,a483b4442e32483997ae2135c48e35dd,0,0,5600,0,0
101021070007,66074e54e83141f3818bf0b8ff8db943,0,0,2000,1800,0
101021070034,e8a66a83c60949c9805d8ba16bd6d37e,0,5000,0,0,0
101021070064,5aaeba40e64e4787bfba0a6d1b412ad2,0,0,0,0,0
101021070077,840e2c34aa99482eae73b3f658bdb6e6,0,0,1500,0,0
101021070114,216e37d2fb3543899dbc939c264b5e29,0,0,0,0,0
101021070127,889214c3f2874c738f2113dfaa624c35,0,0,0,0,0
101021070157,e7c0c392b4de4ba58b5f0fe5d724718c,0,0,0,0,0
101021070170,228f29072fc240dba87be21672c25be9,0,0,0,0,0
101021070182,cbedb68833024df59583648863d783c4,0,0,1700,0,0
101021070222,f3ff9ae893fc42739d0f0a3938583eeb,0,0,0,0,0
101021070248,842f42b716594e44b7d83ff2d1062654,0,0,16,7,0
101021080004,d9c80af12d5048749dc709d507eb3189,0,0,0,0,0
101021080043,6b1baf65cd2f4deda957ac869e241898,0,0,0,0,0
101021080047,587a6543a0694576907752ff50581ef9,0,0,0,0,0
101021080058,4ab5ca6c1cbe4d67b31b20f8667ca8a1,0,0,0,0,0
101021080060,8cb9356dc8dc4c22993ac50bb3c303fb,0,0,0,0,0
101021080085,16b4049444234703ad6191f7b6a349c8,0,0,0,0,0
101021080111,852218ee406747a7afed253996865bdb,0,10000,4000,0,0
101021080112,36fab87a64ae4deabcf7d2ca8ec44e43,0,0,0,0,0
101021080118,6bb3568e835a47fca0ef069682e6d3a8,0,0,1550,0,0
101021080140,fda5c592060242da8a357a41065d46e4,0,0,0,0,0
101021080169,1dccaabcc713401cbbfd0f78c12df8b0,0,0,0,0,0
101021080200,b9035fed06b5444885c8de9d8cf7f11b,0,0,0,0,0
101021080221,fd130b1eccdd4b4981327e4d1c1f456d,0,0,5000,0,0
101021090005,3c0ea31588ef4b77952cdfb6ad24588c,0,0,0,0,0
101021090015,392cc9ccbfa64f58bd97f3da600b6ce6,0,0,0,0,0
101021090034,d37cf73f9f58427ba0187485eb66f495,0,0,0,0,0
101021090043,11faf1b9188e46508a50a3c691585e6c,0,0,0,0,0
101021090052,813e596660ed4689bb58e89d436b9f41,0,0,0,0,0
101021090061,3813554a5e634625be3dbdef5f1cc4cf,0,0,0,0,0
101021090070,5830cb7b073f4587b988d5905b872626,0,0,0,0,0
101021090126,f66b5f34e656498b958672f2de32bbf2,0,0,0,0,0
101021100019,1746088bd11c43c08de90a18f4d4da6e,0,0,0,0,0
101021100041,e9d8bb2881b14b9da28cd828e765cd28,0,0,0,0,0
101021100051,dc73e31b05fb4af0b5f5c9edddd4949b,0,0,0,0,0
101021100058,29835fb66bf64622a64352439f53f8b1,0,0,0,0,0
101021100105,bed07636f639477682b70daddb315e28,0,0,0,0,0
