case_id,HHID,ag_s0a,ag_s01,ag_s02,ag_s03a,ag_s03b,ag_s03b_oth,ag_s04,ag_s05a,ag_s05b,ag_s05b_oth,ag_s06,ag_s07a,ag_s07b,ag_s08,ag_s09a,ag_s09b,ag_s09b_oth,ag_s10a,ag_s10b,ag_s10b_oth,ag_s11a,ag_s11b,ag_s11b_oth,ag_s12,ag_s13
301085020044,000a3b8cf97a44219f2ca739d99669c0,COW MILK,No,,,,,,,,,,,,,,,,,,,,,,,
301085020044,000a3b8cf97a44219f2ca739d99669c0,CHICKEN EGGS,No,,,,,,,,,,,,,,,,,,,,,,,
301085020044,000a3b8cf97a44219f2ca739d99669c0,SKINS AND HIDES,No,,,,,,,,,,,,,,,,,,,,,,,
301085020044,000a3b8cf97a44219f2ca739d99669c0,OTHER (SPECIFY),No,,,,,,,,,,,,,,,,,,,,,,,
301085020044,000a3b8cf97a44219f2ca739d99669c0,MEAT,No,,,,,,,,,,,,,,,,,,,,,,,
301085020044,000a3b8cf97a44219f2ca739d99669c0,GUINEA FOWL EGGS,No,,,,,,,,,,,,,,,,,,,,,,,
301085020044,000a3b8cf97a44219f2ca739d99669c0,MANURE,No,,,,,,,,,,,,,,,,,,,,,,,
312027380110,000db14d4b284f7cb74f0bd5a03a3550,OTHER (SPECIFY),No,,,,,,,,,,,,,,,,,,,,,,,
312027380110,000db14d4b284f7cb74f0bd5a03a3550,MEAT,No,,,,,,,,,,,,,,,,,,,,,,,
312027380110,000db14d4b284f7cb74f0bd5a03a3550,CHICKEN EGGS,Yes,5,50,PIECE,,NO,,,,,,,,15,PIECE,,0,,,0,,,NO,
312027380110,000db14d4b284f7cb74f0bd5a03a3550,GUINEA FOWL EGGS,No,,,,,,,,,,,,,,,,,,,,,,,
312027380110,000db14d4b284f7cb74f0bd5a03a3550,MANURE,Yes,3,2,BUCKET,,NO,,,,,,,,2,BUCKET,,0,,,0,,,NO,
312027380110,000db14d4b284f7cb74f0bd5a03a3550,SKINS AND HIDES,No,,,,,,,,,,,,,,,,,,,,,,,
312027380110,000db14d4b284f7cb74f0bd5a03a3550,COW MILK,No,,,,,,,,,,,,,,,,,,,,,,,
313017550034,002b438e06564a0582c78fd7f61bdfef,COW MILK,No,,,,,,,,,,,,,,,,,,,,,,,
313017550034,002b438e06564a0582c78fd7f61bdfef,OTHER (SPECIFY),No,,,,,,,,,,,,,,,,,,,,,,,
313017550034,002b438e06564a0582c78fd7f61bdfef,MEAT,Yes,7,1,PIECE,,NO,,,,,,,,7,PIECE,,0,,,0,,,NO,
313017550034,002b438e06564a0582c78fd7f61bdfef,GUINEA FOWL EGGS,No,,,,,,,,,,,,,,,,,,,,,,,
313017550034,002b438e06564a0582c78fd7f61bdfef,MANURE,No,,,,,,,,,,,,,,,,,,,,,,,
313017550034,002b438e06564a0582c78fd7f61bdfef,SKINS AND HIDES,No,,,,,,,,,,,,,,,,,,,,,,,
313017550034,002b438e06564a0582c78fd7f61bdfef,CHICKEN EGGS,Yes,4,15,PIECE,,NO,,,,,,,,25,PIECE,,0,,,0,,,NO,
206053600045,003dd83b52a04ea2ba825d3822a6c897,COW MILK,No,,,,,,,,,,,,,,,,,,,,,,,
206053600045,003dd83b52a04ea2ba825d3822a6c897,SKINS AND HIDES,No,,,,,,,,,,,,,,,,,,,,,,,
206053600045,003dd83b52a04ea2ba825d3822a6c897,MANURE,No,,,,,,,,,,,,,,,,,,,,,,,
206053600045,003dd83b52a04ea2ba825d3822a6c897,MEAT,No,,,,,,,,,,,,,,,,,,,,,,,
206053600045,003dd83b52a04ea2ba825d3822a6c897,GUINEA FOWL EGGS,No,,,,,,,,,,,,,,,,,,,,,,,
206053600045,003dd83b52a04ea2ba825d3822a6c897,CHICKEN EGGS,Yes,8,9,PIECE,,NO,,,,,,,,52,PIECE,,20,PIECE,,0,,,NO,
206053600045,003dd83b52a04ea2ba825d3822a6c897,OTHER (SPECIFY),No,,,,,,,,,,,,,,,,,,,,,,,
305065900019,003e5f39855846ea8361f43e37f851bc,CHICKEN EGGS,No,,,,,,,,,,,,,,,,,,,,,,,
305065900019,003e5f39855846ea8361f43e37f851bc,MEAT,No,,,,,,,,,,,,,,,,,,,,,,,
305065900019,003e5f39855846ea8361f43e37f851bc,GUINEA FOWL EGGS,No,,,,,,,,,,,,,,,,,,,,,,,
305065900019,003e5f39855846ea8361f43e37f851bc,SKINS AND HIDES,No,,,,,,,,,,,,,,,,,,,,,,,
305065900019,003e5f39855846ea8361f43e37f851bc,COW MILK,No,,,,,,,,,,,,,,,,,,,,,,,
305065900019,003e5f39855846ea8361f43e37f851bc,MANURE,No,,,,,,,,,,,,,,,,,,,,,,,
305065900019,003e5f39855846ea8361f43e37f851bc,OTHER (SPECIFY),No,,,,,,,,,,,,,,,,,,,,,,,
101051140079,0041636687b345018ae4b46b59292211,COW MILK,No,,,,,,,,,,,,,,,,,,,,,,,
101051140079,0041636687b345018ae4b46b59292211,MEAT,No,,,,,,,,,,,,,,,,,,,,,,,
101051140079,0041636687b345018ae4b46b59292211,CHICKEN EGGS,Yes,1,15,PIECE,,NO,,,,,,,,0,,,0,,,0,,,NO,
101051140079,0041636687b345018ae4b46b59292211,MANURE,No,,,,,,,,,,,,,,,,,,,,,,,
101051140079,0041636687b345018ae4b46b59292211,OTHER (SPECIFY),No,,,,,,,,,,,,,,,,,,,,,,,
101051140079,0041636687b345018ae4b46b59292211,SKINS AND HIDES,No,,,,,,,,,,,,,,,,,,,,,,,
101051140079,0041636687b345018ae4b46b59292211,GUINEA FOWL EGGS,No,,,,,,,,,,,,,,,,,,,,,,,
