ea_id,com_ca01,com_ca02,com_ca06,InterviewDate
10101100,Chitipa,01,75,2019-08-29
10101101,Chitipa,01,75,2020-04-03
10101102,Chitipa,01,75,2019-05-31
10101103,Chitipa,01,75,2020-01-13
10101104,Chitipa,01,75,2019-08-22
10101105,Chitipa,01,75,2020-03-31
10101106,Chitipa,01,75,2019-05-16
10102107,Chitipa,02,75,2019-12-16
10102108,Chitipa,02,75,2019-10-20
10102109,Chitipa,02,75,2020-03-25
10102110,Chitipa,02,75,2019-07-27
10103111,Chitipa,03,75,2020-01-17
10103112,Chitipa,03,75,2019-09-05
10103113,Chitipa,03,75,2020-03-16
10105114,Chitipa,05,75,2019-06-11
10105115,Chitipa,05,75,2020-01-10
10106116,Chitipa,06,75,2019-08-18
10106117,Chitipa,06,75,2020-03-12
10107118,Chitipa,07,75,2019-05-12
10109119,Chitipa,09,75,2019-12-12
10109120,Chitipa,09,75,2019-10-22
10109121,Chitipa,09,75,2020-03-28
10120122,Chitipa,20,75,2019-07-30
10120123,Chitipa,20,75,2020-01-22
10201124,Karonga,01,75,2019-09-10
10201125,Karonga,01,75,2020-03-07
10201126,Karonga,01,75,2019-06-15
10201127,Karonga,01,75,2020-01-06
10201128,Karonga,01,75,2019-08-14
10202129,Karonga,02,75,2020-02-22
10203130,Karonga,03,75,2019-05-07
10203131,Karonga,03,75,2019-12-04
10203132,Karonga,03,75,2019-10-01
10203133,Karonga,03,75,2020-03-05
10203134,Karonga,03,75,2019-07-12
10203135,Karonga,03,75,2020-01-28
10204136,Karonga,04,75,2019-09-24
10204137,Karonga,04,75,2020-03-02
10204138,Karonga,04,75,2019-06-26
10204139,Karonga,04,75,2020-01-03
10204140,Karonga,04,75,2019-09-25
10205141,Karonga,05,75,2020-02-25
10205142,Karonga,05,75,2019-05-02
10220143,Karonga,20,75,2019-12-06
10220144,Karonga,20,75,2019-10-09
10220145,Karonga,20,75,2020-02-28
10220146,Karonga,20,75,2019-07-16
10220147,Karonga,20,75,2020-02-07
10301148,Nkhata Bay,01,15,2019-09-13
10301149,Nkhata Bay,01,76,2020-03-23
10301150,Nkhata Bay,01,15,2019-06-10
10301151,Nkhata Bay,01,76,2020-01-09
10302152,Nkhata Bay,02,15,2019-08-14
10303153,Nkhata Bay,03,76,2020-03-12
10304154,Nkhata Bay,04,25,2019-05-18
10304155,Nkhata Bay,04,76,2019-12-03
10305156,Nkhata Bay,05,15,2019-10-17
10306157,Nkhata Bay,06,15,2019-08-01
10306158,Nkhata Bay,06,76,2020-01-25
10307159,Nkhata Bay,07,15,2019-09-21
10308160,Nkhata Bay,08,76,2020-03-30
10309161,Nkhata Bay,09,15,2019-06-16
10309162,Nkhata Bay,09,76,2020-02-16
10310163,Nkhata Bay,10,15,2019-08-22
10312164,Nkhata Bay,12,76,2020-02-13
10312165,Nkhata Bay,12,59,2019-05-19
10312166,Nkhata Bay,12,76,2019-12-11
10312167,Nkhata Bay,12,15,2019-10-14
10320168,Nkhata Bay,20,76,2020-04-09
10401169,Rumphi,01,15,2019-09-01
10401170,Rumphi,01,15,2019-05-26
10401171,Rumphi,01,15,2019-12-07
10401172,Rumphi,01,28,2019-08-07
10401173,Rumphi,01,15,2019-04-27
10401174,Rumphi,01,15,2019-12-03
10403175,Rumphi,03,15,2019-09-26
10403176,Rumphi,03,75,2020-04-08
10403177,Rumphi,03,15,2019-06-26
10404178,Rumphi,04,75,2020-02-04
10404179,Rumphi,04,15,2019-08-28
10405180,Rumphi,05,75,2020-03-21
10405181,Rumphi,05,28,2019-06-25
10407182,Rumphi,07,75,2019-12-20
10407183,Rumphi,07,75,2019-08-06
10407184,Rumphi,07,75,2020-03-19
10408185,Rumphi,08,70,2019-04-26
10409186,Rumphi,09,75,2019-12-01
10410187,Rumphi,10,15,2019-09-29
10420188,Rumphi,20,15,2019-06-21
10420189,Rumphi,20,75,2020-01-31
