ea_id,com_cd01,com_cd02a,com_cd02b,com_cd03,com_cd04,com_cd05,com_cd06,com_cd07a,com_cd07b,com_cd08a,com_cd08b,com_cd09,com_cd10a,com_cd10b,com_cd11,com_cd12,com_cd13a,com_cd13b,com_cd13c,com_cd14,com_cd15,com_cd16,com_cd16b,com_cd17,com_cd18a,com_cd18b,com_cd19,com_cd20a,com_cd20b,com_cd21,com_cd22a,com_cd22b,com_cd23,com_cd24a,com_cd24b,com_cd25,com_cd26,com_cd_26_1,com_cd27a,com_cd27b,com_cd28,com_cd29,com_cd30,com_cd31,com_cd32,com_cd33,com_cd34,com_cd35,com_cd35_1a,com_cd35_1b,com_cd36a,com_cd36b,com_cd37,com_cd38,com_cd39,com_cd40a,com_cd40b,com_cd41,com_cd42,com_cd43,com_cd43_1,com_cd43_1b,com_cd44,com_cd45,com_cd46,com_cd47,com_cd_47_1,com_cd48,com_cd49a,com_cd49b,com_cd49_1,com_cd49_2,com_cd50,com_cd51a,com_cd51b,com_cd52,com_cd53,com_cd54,com_cd55,com_cd56,com_cd57,com_cd58,com_cd59,com_cd60a,cd60b,com_cd61,com_cd62,com_cd63,com_cd64,com_cd65a,com_cd65b,com_cd65c,com_cd65d,com_cd65e,com_cd65f,com_cd65_oth,com_cd66,com_cd67a,com_cd67b,com_cd68,com_cd69a,com_cd69b,com_cd70,com_cd71
10101100,DIRT ROAD (MAINTAINED),3,KM,YES,12,12,NO,5,KM,5,MINUTE,NO,5,KM,1000,NO,322,KM,MZUZU,9500,YES,,,NO,15,KM,NO,5,KM,NO,5,KM,NO,5,KM,17,0,Yes,2,KM,12,649,YES,,YES,ALMOST ALL,COOKED FOOD,YES,5,KM,6,KM,17,500,YES,3,KM,15,500,YES,6,KM,0,0,0,0,No,YES,,,Yes,Yes,NO,5,KM,,,,YES,YES,FEMALE,YES,NO,5,KM,Government facility,YES,5000,NO,,,,,,,,NO,5,KM,YES,,,NO,NO
10101101,DIRT ROAD (MAINTAINED),4,KM,YES,0,12,NO,4,KM,30,MINUTE,NO,6,KM,1000,NO,329,KM,MZUZU,7000,NO,6,KM,NO,10,KM,NO,6,KM,YES,,,NO,6,KM,9,0,Yes,2,KM,12,697,YES,,YES,ALMOST ALL,COOKED FOOD,NO,6,KM,6,KM,24,480,YES,7,KM,28,600,YES,6,KM,0,0,0,0,Yes,YES,,,Yes,Yes,NO,6,KM,,,,YES,YES,MALE,YES,YES,6,KM,Government facility,YES,0,NO,,,,,,,,NO,6,KM,YES,,,NO,NO
10101102,DIRT ROAD (MAINTAINED),3,KM,YES,12,12,YES,,,1,MINUTE,YES,,,,YES,,,,,YES,,,YES,,,YES,,,YES,,,NO,3,KM,13,0,Yes,0,KM,17,1055,YES,,YES,ALMOST ALL,COOKED FOOD,NO,4,KM,6,KM,22,500,YES,6,KM,18,900,YES,0,,0,0,0,2,No,YES,,,Yes,Yes,NO,7,KM,,,,NO,,,,,7,KM,Government facility,YES,3500,YES,No,No,Yes,Yes,Yes,No,,NO,5,KM,YES,,,NO,NO
10101103,DIRT TRACK,3,KM,YES,12,12,YES,,,5,MINUTE,NO,12,KM,500,NO,309,KM,MZUZU,6000,YES,,,YES,,,YES,,,NO,12,KM,NO,12,KM,5,0,Yes,4,KM,12,560,YES,,YES,ALMOST ALL,COOKED FOOD,NO,12,KM,12,KM,15,600,YES,5,KM,11,200,YES,3,KM,1,0,0,0,Yes,YES,,,Yes,Yes,NO,9,KM,,,,YES,YES,FEMALE,YES,YES,12,KM,Government facility,YES,3500,NO,,,,,,,,NO,12,KM,YES,,,NO,NO
10101104,DIRT TRACK,20,KM,NO,0,0,NO,7,KM,4,HOUR,NO,35,MILE,4000,NO,342,KM,MZUZU,8500,NO,35,KM,YES,,,NO,28,KM,NO,9,KM,NO,35,KM,5,0,No,9,KM,7,500,YES,,NO,,,NO,35,KM,35,KM,20,600,YES,9,KM,12,350,YES,28,KM,3,0,0,0,Yes,YES,,,Yes,Yes,YES,,,Never available,Government facility,YES,YES,NO,,,,35,KM,Government facility,YES,.a,NO,,,,,,,,NO,35,KM,YES,,,NO,NO
10101105,DIRT TRACK,10,KM,YES,3,12,YES,,,4,HOUR,NO,16,KM,1000,NO,340,KM,MZUZU,7000,YES,,,NO,10,KM,NO,10,KM,NO,16,KM,NO,16,KM,15,0,Yes,0,KM,6,303,YES,,NO,,,NO,16,KM,16,KM,28,480,YES,4,KM,11,200,YES,10,KM,2,0,0,0,No,YES,,,Yes,Yes,NO,16,KM,,,,YES,NO,,,,16,KM,Government facility,YES,2500,NO,,,,,,,,NO,16,KM,YES,,,NO,NO
10101106,GRADED GRAVELED,15,KM,YES,12,12,YES,,,0,MINUTE,NO,37,KM,2500,NO,360,KM,MZUZU,6000,NO,37,KM,YES,,,YES,,,NO,37,KM,NO,37,KM,15,0,Yes,2,KM,9,700,YES,,NO,,,YES,0,KM,37,KM,17,600,YES,6,KM,6,500,YES,37,KM,3,0,0,0,Yes,YES,,,Yes,Yes,YES,,,Never available,Government facility,NO,NO,,,,,37,KM,Government facility,YES,2500,YES,Yes,Yes,No,Yes,Yes,No,,NO,376,KM,YES,,,NO,NO
10102107,DIRT TRACK,31,KM,YES,12,12,YES,,,3,HOUR,NO,33,KM,2000,NO,350,KM,MZUZU,9500,YES,,,YES,,,YES,,,NO,33,KM,NO,33,KM,7,0,Yes,5,KM,11,1500,YES,,YES,ALMOST ALL,COOKED FOOD,NO,33,KM,33,KM,30,640,YES,9,KM,6,100,NO,33,KM,1,0,0,0,No,YES,,,Yes,Yes,YES,,,Always available,Government facility,YES,YES,NO,,,,33,KM,Government facility,YES,700,NO,,,,,,,,NO,33,KM,YES,,,YES,
10102108,DIRT TRACK,40,KM,YES,12,12,NO,40,KM,6,HOUR,NO,40,KM,2500,NO,357,KM,MZUZU,11000,NO,40,KM,NO,12,KM,NO,5,KM,NO,40,KM,NO,40,KM,12,0,Yes,4,KM,6,446,YES,,YES,ALMOST ALL,COOKED FOOD,NO,40,KM,40,KM,20,560,YES,6,KM,7,200,YES,40,KM,0,0,0,0,No,YES,,,Yes,Yes,NO,7,KM,,,,NO,,,,,40,KM,Government facility,YES,3500,NO,,,,,,,,NO,40,KM,YES,,,NO,NO
10102109,DIRT TRACK,15,KM,NO,12,1,NO,17,KM,30,MINUTE,NO,17,KM,3000,NO,342,KM,MZUZU,11500,NO,2,KM,NO,17,KM,NO,15000,METER,NO,17,KM,NO,17,KM,8,0,Yes,2,KM,4,612,YES,,YES,ALMOST ALL,COOKED FOOD,NO,17,KM,17,KM,15,600,YES,3,KM,5,300,NO,17,KM,0,0,0,0,No,NO,2,KM,Yes,Yes,NO,5,KM,,,,NO,,,,,17,KM,Government facility,YES,0,NO,,,,,,,,NO,17,KM,YES,,,NO,NO
10102110,DIRT ROAD (MAINTAINED),16,KM,YES,9,12,YES,,,2,DAY,NO,30,KM,5000,YES,,,,,NO,30,KM,YES,,,NO,16,KM,NO,30,KM,NO,30,KM,15,0,Yes,3,KM,8,621,YES,,NO,,,NO,30,KM,30,KM,22,500,YES,7,KM,15,400,YES,16,KM,0,0,0,0,Yes,YES,,,No,Yes,YES,,,Always available,Government facility,NO,YES,YES,MALE,YES,YES,30,KM,Government facility,YES,3500,NO,,,,,,,,NO,30,KM,YES,,,NO,NO
