ea_id,com_ce01a,com_ce01b,com_ce01c,com_ce01a_oth,com_ce01b_oth,com_ce01c_oth,com_ce02,com_ce03,com_ce04,com_ce05a,com_ce05b,com_ce05a_oth,com_ce05b_oth,com_ce06,com_ce07,com_ce08_1,com_ce08_2,com_ce08a,com_ce08b,com_ce08a_oth,com_ce08b_oth,com_ce09,com_ce10,com_ce11a,com_ce11b,com_ce12,com_ce13,com_ce14a,com_ce14b,com_ce15
10101100,FARMING,"BEER BREWING, KACHASU",CIVIL SERVICE,,,,YES,1/4,RURAL AREAS,FARMING,,,,YES,RURAL AREAS,500,300,FARMING,,,,YES,21400,24,DAY,1/4,21400,24,DAY,1/4
10101101,FARMING,"BEER BREWING, KACHASU",SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,1/4,RURAL AREAS,FARMING,,,,YES,RURAL AREAS,2500,1500,FARMING,OTHER (SPECIFY),CATLE HEADING,CATLE HEADING,NO,,,,,,,,
10101102,SMALL-SCALE TRADE & SERVICE PROVISION,FARMING,,,,,YES,1/4,URBAN CENTRES,CIVIL SERVICE,FARMING,,,YES,RURAL AREAS,1500,500,FARMING,OTHER (SPECIFY),CASUAL LABOR(GANYU),CASUAL LABOR(GANYU),NO,,,,,,,,
10101103,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,OTHER (SPECIFY),LIVESTOCK FARMING,LIVESTOCK FARMING,LIVESTOCK FARMING,YES,1/4,URBAN CENTRES,OTHER (SPECIFY),,,,YES,RURAL AREAS,2000,1000,FARMING,"BEER BREWING, KACHASU",,,NO,,,,,,,,
10101104,FARMING,,,,,,NO,,,,,,,NO,,1000,500,,,,,NO,,,,,,,,
10101105,FARMING,"BEER BREWING, KACHASU",SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),SMALL-SCALE TRADE & SERVICE PROVISION,,,YES,RURAL AREAS,2000,2000,FARMING,OTHER (SPECIFY),CATLE HEADING,CATLE HEADING,NO,,,,,,,,
10101106,FARMING,"BEER BREWING, KACHASU",OTHER (SPECIFY),CASUAL LABOUR UNSPECIFIED(GANYU),CASUAL LABOUR UNSPECIFIED(GANYU),CASUAL LABOUR UNSPECIFIED(GANYU),YES,1/4,RURAL AREAS,FARMING,,,,NO,,1500,1500,,,,,YES,900,24,DAY,3/4,900,24,DAY,3/4
10102107,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",,,,YES,1/4,OUTSIDE MALAWI,FARMING,OTHER (SPECIFY),,,NO,,1000,500,,,,,NO,,,,,,,,
10102108,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,,YES,1/4,OUTSIDE MALAWI,FARMING,,,,YES,OUTSIDE MALAWI,2000,2000,FARMING,,,,NO,,,,,,,,
10102109,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",,,,YES,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,CIVIL SERVICE,,,YES,RURAL AREAS,2000,1500,FARMING,CIVIL SERVICE,,,NO,,,,,,,,
