ea_id,com_cf00,com_cf29,com_cf30,com_cf31,com_cf32a,com_cf32b,com_cf33,com_cf34,com_cf35_oth,com_cf35a,com_cf35b,com_cf35c,com_cf35d,com_cf35e
10101101,101,AFIKEPO,INCREASECROP YIELDS,10,SEPTEMBER,2017,EXTERNAL SOURCES ONLY,DIFD,,YES,YES,NO,NO,NO
10101103,101,AFIKEPO,INCREASECROP YIELDS,3,OCTOBER,2018,EXTERNAL SOURCES ONLY,JICCA,,YES,YES,NO,NO,NO
10101106,101,IRRIGATION,INCREASECROP YIELDS,202,JULY,2009,FARMERS ONLY,NORAID,Cement and pipes,NO,NO,NO,NO,YES
10102107,101,AFIKEPO,INCREASECROP YIELDS,100,JUNE,2018,EXTERNAL SOURCES ONLY,UNDP,,YES,YES,NO,NO,NO
10102109,101,CADECOM,AGRO-FORESTRY PRACTICES,2,OCTOBER,2018,EXTERNAL SOURCES ONLY,UNDP,,YES,YES,NO,NO,NO
10102110,101,MWAKASOLE IRRIGATION SCHEME,INCREASECROP YIELDS,600,NOVEMBER,2004,FARMERS ONLY,.a,food and money,YES,NO,NO,NO,YES
10103111,101,AFIKEPO,INCREASECROP YIELDS,38,DECEMBER,2019,EXTERNAL SOURCES ONLY,UNDP,,YES,YES,NO,NO,NO
10103112,101,PASSON,INCREASECROP YIELDS,180,JANUARY,2014,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,,YES,YES,NO,NO,NO
10105114,101,TOTAL LAND  CARE,LIVESTOCK-PRODUCTION,11,DECEMBER,2015,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,,YES,YES,NO,NO,NO
10105115,101,ASWAP,IRRIGATION,95,OCTOBER,2011,EXTERNAL SOURCES ONLY,UNDP,,YES,NO,NO,NO,NO
10106117,101,EVAGERICAL ASSOCIATION OF MALAWI,LIVESTOCK-PRODUCTION,30,JUNE,27,EXTERNAL SOURCES ONLY,CARE INTERNATIONAL,PASSION,YES,NO,NO,NO,YES
10109120,101,AFIKEPO KULIMA,INCREASECROP YIELDS,8,JULY,2018,EXTERNAL SOURCES ONLY,UNDP,,YES,YES,NO,NO,NO
10109121,101,LUSUBILO,INCREASECROP YIELDS,10,OCTOBER,2014,EXTERNAL SOURCES ONLY,NORAID,,YES,YES,NO,NO,NO
10120122,101,LUSUBILO ORPHAN CARE,INCREASECROP YIELDS,30,JULY,2012,EXTERNAL SOURCES ONLY,CARLA,likuni phala,YES,YES,NO,NO,YES
10201125,101,TOTAL LAND,INCREASECROP YIELDS,24,AUGUST,2018,EXTERNAL SOURCES ONLY,UNDP,,YES,YES,NO,NO,NO
10201127,101,AFIKEPO,INCREASECROP YIELDS,1,SEPTEMBER,2019,EXTERNAL SOURCES ONLY,UNDP,,YES,YES,NO,NO,NO
10202129,101,AFIKEPO,AGRO-FORESTRY PRACTICES,35,FEBRUARY,2018,EXTERNAL SOURCES ONLY,UNDP,Supply animals,YES,YES,NO,NO,YES
10202129,102,KULIMA,INCREASECROP YIELDS,30,FEBRUARY,2018,EXTERNAL SOURCES ONLY,UNDP,,YES,NO,YES,NO,NO
10203130,101,NONE,.a,.a,.a,.a,.a,.a,,.a,.a,.a,.a,.a
10203134,101,KULIMA PROJECT,IMPROVE SOIL QUALITY,11,DECEMBER,2018,EXTERNAL SOURCES ONLY,UNDP,,YES,NO,NO,NO,NO
10203135,103,SHA,INCREASECROP YIELDS,30,AUGUST,2018,FARMERS &amp; EXTERNAL SOURCES,DIFD,,NO,YES,NO,NO,NO
10203135,102,FORCUS,INCREASECROP YIELDS,45,JANUARY,2019,FARMERS &amp; EXTERNAL SOURCES,DIFD,,YES,YES,NO,NO,NO
10203135,101,AFIKEPO,INTRODUCE LEGUME COVER CROPS,60,JANUARY,2019,EXTERNAL SOURCES ONLY,DIFD,,YES,YES,NO,NO,NO
10204138,101,CHONANGA IRRIGATION SCHEME,INCREASECROP YIELDS,55,JANUARY,2016,FARMERS ONLY,.a,To help farmers to sustain their living after the sale of the produce since the don't have any external funding,NO,NO,NO,NO,YES
10204139,101,RICE MULTIPLICATION FARMING,INCREASECROP YIELDS,36,JANUARY,2018,FARMERS &amp; EXTERNAL SOURCES,UNDP,,NO,NO,YES,NO,NO
10205141,102,FARMERS WORLD,IMPROVE SOIL QUALITY,11,NOVEMBER,2019,EXTERNAL SOURCES ONLY,UNDP,,NO,YES,NO,NO,NO
10205141,101,LUSUBILO,INCREASECROP YIELDS,125,OCTOBER,2004,EXTERNAL SOURCES ONLY,UNDP,,YES,YES,NO,NO,NO
10205142,101,FARMER FIELD SCHOOL,IMPROVE SOIL QUALITY,900,JANUARY,2018,EXTERNAL SOURCES ONLY,UNDP,,YES,NO,NO,NO,NO
10220145,101,AFIKEPO,INCREASECROP YIELDS,300,JUNE,2019,FARMERS &amp; EXTERNAL SOURCES,UNDP,,YES,YES,NO,NO,NO
10301150,101,AFIKEPO,INCREASECROP YIELDS,35,MARCH,2019,EXTERNAL SOURCES ONLY,UNDP,,YES,NO,NO,NO,NO
10304154,101,BANDEYA RICE SCHEME,INCREASECROP YIELDS,200,AUGUST,2018,FARMERS &amp; EXTERNAL SOURCES,NASFAM,,YES,NO,YES,NO,NO
10306157,101,FIND OUR FEET,IMPROVE SOIL QUALITY,15,JANUARY,2017,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,LIVESTOCK,YES,YES,NO,NO,YES
10306158,101,AFIKEPO,INCREASECROP YIELDS,30,JUNE,2019,FARMERS &amp; EXTERNAL SOURCES,UNDP,,NO,YES,NO,NO,NO
10308160,101,ACTION,LIVESTOCK-PRODUCTION,35,MARCH,2019,FARMERS &amp; EXTERNAL SOURCES,NORAID,providing farmers with pigs,YES,NO,NO,NO,YES
10310163,101,MDF,LIVESTOCK-PRODUCTION,3,JULY,2000,FARMERS &amp; EXTERNAL SOURCES,DIFD,,YES,NO,NO,NO,NO
10312165,101,AFIKEPO,INCREASECROP YIELDS,30,DECEMBER,2018,FARMERS &amp; EXTERNAL SOURCES,UNDP,,YES,YES,YES,NO,NO
10404179,101,PASS ON PROJECT,LIVESTOCK-PRODUCTION,10,APRIL,2011,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,,YES,NO,NO,NO,NO
10408185,101,FIND YOUR FEET,NEW/IMPROVED VARIETIES,200,JULY,2015,EXTERNAL SOURCES ONLY,UNDP,Free Livestock,YES,YES,NO,NO,YES
10409186,101,TOTAL LAND CARE,CONSERVATION AGRICULTURE,40,OCTOBER,2019,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,,YES,YES,NO,NO,NO
10410187,101,GREEN BEIT,INCREASECROP YIELDS,10,NOVEMBER,2010,EXTERNAL SOURCES ONLY,DIFD,,YES,NO,NO,NO,NO
10502193,101,FIND YOUR FEET,IMPROVE SOIL QUALITY,3,OCTOBER,2016,EXTERNAL SOURCES ONLY,NORAID,,YES,NO,NO,NO,NO
10502195,101,MAFA PROJECT,INTRODUCE LEGUME COVER CROPS,20,MARCH,2013,EXTERNAL SOURCES ONLY,CARE INTERNATIONAL,Farmers are given inputs in return they pay back double the input given,NO,NO,NO,NO,YES
10502196,101,AFIKEPO,IMPROVE SOIL QUALITY,84,JULY,2019,EXTERNAL SOURCES ONLY,UNDP,,YES,NO,NO,NO,NO
10505200,101,CCJP,INTRODUCE LEGUME COVER CROPS,76,SEPTEMBER,2019,EXTERNAL SOURCES ONLY,NORAID,,NO,YES,NO,NO,NO
10506202,101,TIYENI PROJECT,INCREASECROP YIELDS,45,APRIL,2019,EXTERNAL SOURCES ONLY,NORAID,,YES,NO,NO,NO,NO
10507205,101,KAPUNTHUKA FFS,INCREASECROP YIELDS,30,DECEMBER,2018,FARMERS &amp; EXTERNAL SOURCES,NORAID,,NO,YES,NO,NO,NO
10508206,101,TOTAL LAND CARE,INTRODUCE LEGUME COVER CROPS,250,JULY,2016,FARMERS ONLY,TOTAL LAND CARE,,YES,YES,NO,NO,NO
10508206,102,ACTION AID,LIVESTOCK-PRODUCTION,250,JUNE,2001,EXTERNAL SOURCES ONLY,CARE INTERNATIONAL,,YES,YES,NO,NO,NO
10508206,103,NASFAM,INCREASECROP YIELDS,40,FEBRUARY,2014,EXTERNAL SOURCES ONLY,NASFAM,,YES,NO,YES,NO,NO
10508206,104,AFIKEPO,INTRODUCE LEGUME COVER CROPS,250,JANUARY,2018,EXTERNAL SOURCES ONLY,UNDP,,YES,YES,NO,NO,NO
10508206,105,SMALL HOLDER FARMERS,INTRODUCE LEGUME COVER CROPS,5,FEBRUARY,1984,EXTERNAL SOURCES ONLY,ICRAF,,YES,YES,YES,NO,NO
