ea_id,com_ci0b,com_ci01,com_ci0b_oth,com_ci02,com_ci03,com_ci04,com_ci05,com_ci06,com_ci07a,com_ci07a_oth,com_ci07b,com_ci07b_oth,com_ci07c,com_ci07c_oth,com_ci08a,com_ci08a_oth,com_ci08b,com_ci08b_oth,com_ci08c,com_ci08c_oth,com_ci09a,com_ci09a_oth,com_ci09b,com_ci09b_oth,com_ci09c,com_ci09c_oth,com_ci010,com_ci011,com_ci012,com_ci12_oth,com_ci013,com_ci014
10101100,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101100,Forest,Yes,,YES,YES,NO,NO,YES,Use guards,,,,,,Time restrictions,,Limitations on number of users at a given time,,,,Use threat of fine,,Confiscation of tools/products,,,,Fully Effective,NO,,,NO,
10101100,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101100,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101100,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101101,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101101,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101101,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101101,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101101,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101102,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101102,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101102,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101102,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101102,Forest,Yes,,YES,NO,YES,NO,NO,,,,,,,Other (Specify),CONFISCATETHEMATERIALS,,,,,Use threat of fine,,Social sanctions,,Use the threat of physical punishment,,Fully Effective,NO,,,NO,
10101103,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101103,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101103,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101103,Pasture,Yes,,YES,YES,YES,YES,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,NO,,,YES,NO
10101103,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101104,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101104,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101104,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101104,Forest,Yes,,YES,NO,NO,NO,YES,Use guards,,,,,,Time restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
10101104,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101105,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101105,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101105,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101105,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101105,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101106,Pasture,Yes,,YES,NO,NO,YES,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,NO,,,NO,
10101106,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101106,Forest,Yes,,YES,YES,YES,NO,NO,,,,,,,Time restrictions,,Limitations on number of users at a given time,,Rotation among groups of families,,Use threat of fine,,Confiscation of tools/products,,,,Fully Effective,NO,,,NO,
10101106,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101106,Unallocated Arable Land,Yes,,YES,YES,NO,NO,YES,Use the threat of Fine,,Use the threat of Physical punishment,,,,Time restrictions,,Rotation among groups of families,,Limitations on number of users at a given time,,Use threat of fine,,Confiscation of tools/products,,,,Fully Effective,NO,,,NO,
10102107,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102107,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102107,Pasture,Yes,,YES,YES,YES,YES,NO,,,,,,,No restrictions,,,,,,Confiscation of tools/products,,Use threat of fine,,,,Fully Effective,NO,,,YES,NO
10102107,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102107,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102108,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102108,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102108,Pasture,Yes,,NO,NO,NO,YES,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Somewhat Effective,NO,,,NO,
10102108,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102108,Forest,Yes,,YES,YES,NO,NO,YES,Use guards,,Use the threat of Fine,,,,Time restrictions,,Limitations on number of users at a given time,,,,Use threat of fine,,Taking away [RESOURCE] use rights,,,,Fully Effective,NO,,,NO,
10102109,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102109,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102109,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102109,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102109,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102110,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102110,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102110,Forest,Yes,,YES,YES,NO,NO,NO,,,,,,,Time restrictions,WESHOULDN'TBURNTHEFOREST,Other (Specify),WESHOULDN'TBURNTHEFOREST,,,Use threat of fine,,Social sanctions,,,,Fully Effective,NO,,,NO,
10102110,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102110,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103111,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103111,Forest,Yes,,YES,YES,NO,NO,YES,Use the threat of Fine,,,,,,Time restrictions,,,,,,Use threat of fine,,Social sanctions,,,,Somewhat Effective,NO,,,NO,
10103111,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
