ea_id,com_cj0b,com_cj01,com_cj01_oth,com_cj02,com_cj03,com_cj03_oth,com_cj04,com_cj05,com_cj06
10101100,Parent-Teacher Assoc,Yes,,1,Monthly,,4,6,0
10101100,Sports Group,Yes,,1,Other(Specify),TWICE A WEEK,33,7,26
10101100,Community Victim Support Unit (C-VSU),No,,,,,,,
10101100,Community Child Protenction Committee (C-CPC),Yes,,1,Monthly,,10,5,5
10101100,Community Police/Watch Group,Yes,,5,Other(Specify),QUARTERLY,50,20,30
10101100,NGO,No,,,,,,,
10101100,Farmers' Group,No,,,,,,,
10101100,School Committee,Yes,,1,Monthly,,9,3,6
10101100,Cultural Group,No,,,,,,,
10101100,Village Development Committee,Yes,,1,Monthly,,10,5,5
10101100,Disabled Assoc,Yes,,1,Monthly,,126,73,53
10101100,Agricultural Coop,No,,,,,,,
10101100,Savings & Credit Coop,No,,,,,,,
10101100,Tobacco Club,No,,,,,,,
10101100,Business Assoc,No,,,,,,,
10101100,Women's Group,Yes,,1,Monthly,,10,10,0
10101100,Political Group,No,,,,,,,
10101100,Other (Specify),No,,,,,,,
10101100,Children's Groups,No,,,,,,,
10101100,Youth Group,Yes,,1,Other(Specify),TWICE A MONTH,10,5,5
10101100,Health Committee,Yes,,1,Monthly,,10,5,5
10101100,Religious Group,Yes,,9,Weekly,,206,171,35
10101101,Other (Specify),No,,,,,,,
10101101,Farmers' Group,No,,,,,,,
10101101,Children's Groups,No,,,,,,,
10101101,Health Committee,Yes,,1,Monthly,,6,3,3
10101101,Religious Group,No,,,,,,,
10101101,Business Assoc,No,,,,,,,
10101101,Agricultural Coop,No,,,,,,,
10101101,Community Victim Support Unit (C-VSU),No,,,,,,,
10101101,Community Police/Watch Group,Yes,,1,Monthly,,15,5,10
10101101,Women's Group,Yes,,2,Weekly,,25,25,0
10101101,Youth Group,Yes,,1,Monthly,,30,10,20
10101101,Sports Group,Yes,,4,Weekly,,300,210,90
10101101,Political Group,No,,,,,,,
10101101,School Committee,Yes,,2,Monthly,,10,4,6
10101101,Parent-Teacher Assoc,Yes,,2,Monthly,,10,3,7
10101101,Tobacco Club,Yes,,5,Monthly,,13,5,8
10101101,Community Child Protenction Committee (C-CPC),No,,,,,,,
10101101,Disabled Assoc,No,,,,,,,
10101101,Village Development Committee,Yes,,1,Monthly,,30,10,20
10101101,Cultural Group,No,,,,,,,
10101101,Savings & Credit Coop,Yes,,3,Weekly,,30,27,3
10101101,NGO,No,,,,,,,
10101102,Youth Group,Yes,,1,Other(Specify),TWICE,35,25,10
10101102,Farmers' Group,Yes,,3,Monthly,,90,30,60
10101102,Disabled Assoc,No,,,,,,,
10101102,Cultural Group,Yes,,1,Monthly,,30,10,20
10101102,Children's Groups,No,,,,,,,
10101102,School Committee,Yes,,3,Weekly,,10,5,5
10101102,Community Child Protenction Committee (C-CPC),No,,,,,,,
10101102,Religious Group,Yes,,13,Weekly,,150,120,30
10101102,Sports Group,Yes,,5,Other(Specify),DAILY,150,60,90
10101102,NGO,No,,,,,,,
10101102,Agricultural Coop,No,,,,,,,
10101102,Parent-Teacher Assoc,Yes,,1,Monthly,,10,5,5
10101102,Women's Group,Yes,,21,Weekly,,25,20,5
10101102,Political Group,Yes,,7,Other(Specify),UNKNOWN,75,50,25
10101102,Village Development Committee,Yes,,1,Monthly,,17,7,10
10101102,Business Assoc,No,,,,,,,
10101102,Savings & Credit Coop,Yes,,10,Monthly,,25,20,5
10101102,Tobacco Club,Yes,,7,Weekly,,17,7,10
10101102,Community Victim Support Unit (C-VSU),No,,,,,,,
10101102,Other (Specify),No,,,,,,,
10101102,Community Police/Watch Group,Yes,,7,Weekly,,10,5,5
10101102,Health Committee,Yes,,1,Monthly,,10,6,4
10101103,Agricultural Coop,Yes,,1,Monthly,,50,30,20
10101103,Community Child Protenction Committee (C-CPC),Yes,,1,Monthly,,11,6,5
10101103,Village Development Committee,Yes,,1,Monthly,,32,16,16
10101103,Children's Groups,No,,,,,,,
10101103,Health Committee,Yes,,10,Monthly,,5,3,2
10101103,Community Victim Support Unit (C-VSU),No,,,,,,,
10101103,NGO,No,,,,,,,
10101103,Savings & Credit Coop,Yes,,20,Weekly,,25,20,5
10101103,Community Police/Watch Group,Yes,,1,Other(Specify),WHEN THERE IS NEED,10,2,8
10101103,Business Assoc,No,,,,,,,
10101103,Religious Group,Yes,,5,Weekly,,200,120,80
10101103,Parent-Teacher Assoc,Yes,,1,Monthly,,5,2,3
10101103,Farmers' Group,Yes,,5,Monthly,,15,7,8
10101103,Cultural Group,No,,,,,,,
10101103,School Committee,Yes,,1,Monthly,,36,15,21
10101103,Other (Specify),No,,,,,,,
10101103,Disabled Assoc,Yes,,1,Monthly,,15,9,6
10101103,Youth Group,No,,,,,,,
10101103,Women's Group,Yes,,1,Other(Specify),TWICE A MONTH,10,10,0
10101103,Sports Group,Yes,,1,Weekly,,22,8,14
10101103,Tobacco Club,Yes,,10,Monthly,,20,5,15
10101103,Political Group,No,,,,,,,
10101104,Farmers' Group,No,,,,,,,
10101104,Health Committee,Yes,,1,Monthly,,12,7,5
10101104,Children's Groups,No,,,,,,,
10101104,Community Police/Watch Group,Yes,,2,Other(Specify),TWICE A MONTH,15,3,12
10101104,Business Assoc,No,,,,,,,
10101104,Community Victim Support Unit (C-VSU),No,,,,,,,
10101104,Parent-Teacher Assoc,.a,,,,,,,
10101104,Religious Group,Yes,,5,Weekly,,60,32,28
10101104,Youth Group,Yes,,1,Other(Specify),TWICE A WEEK,55,25,30
10101104,Agricultural Coop,No,,,,,,,
10101104,Sports Group,Yes,,1,Other(Specify),TWICE A WEEK,60,25,30
10101104,Village Development Committee,Yes,,1,Monthly,,15,7,7
10101104,Other (Specify),No,,,,,,,
10101104,Savings & Credit Coop,Yes,,2,Weekly,,9,7,3
10101104,Political Group,No,,,,,,,
10101104,Community Child Protenction Committee (C-CPC),No,,,,,,,
10101104,Tobacco Club,No,,,,,,,
10101104,Disabled Assoc,No,,,,,,,
10101104,Women's Group,No,,,,,,,
10101104,NGO,No,,,,,,,
10101104,School Committee,Yes,,1,Monthly,,9,5,4
10101104,Cultural Group,No,,,,,,,
10101105,Youth Group,Yes,,1,Monthly,,27,7,20
10101105,Political Group,No,,,,,,,
10101105,Community Victim Support Unit (C-VSU),No,,,,,,,
10101105,Tobacco Club,Yes,,10,Monthly,,10,4,6
10101105,Business Assoc,No,,,,,,,
10101105,Community Child Protenction Committee (C-CPC),No,,,,,,,
10101105,Community Police/Watch Group,Yes,,2,Monthly,,10,3,7
10101105,Children's Groups,No,,,,,,,
10101105,Farmers' Group,Yes,,5,Other(Specify),TWICE A MONTH,15,6,9
10101105,Cultural Group,No,,,,,,,
10101105,Sports Group,Yes,,1,Weekly,,30,15,15
10101105,Agricultural Coop,No,,,,,,,
10101105,Savings & Credit Coop,Yes,,15,Weekly,,25,20,5
10101105,Disabled Assoc,Yes,,1,Weekly,,10,5,5
10101105,Religious Group,Yes,,15,Weekly,,300,200,100
10101105,School Committee,Yes,,2,Weekly,,10,4,6
10101105,Other (Specify),No,,,,,,,
10101105,Women's Group,Yes,,1,Monthly,,10,10,0
10101105,NGO,No,,,,,,,
10101105,Health Committee,Yes,,1,Monthly,,10,4,6
10101105,Parent-Teacher Assoc,Yes,,2,Monthly,,9,5,4
10101105,Village Development Committee,Yes,,1,Monthly,,29,10,19
10101106,Community Police/Watch Group,Yes,,2,Weekly,,20,10,10
10101106,Agricultural Coop,Yes,,1,Monthly,,80,65,15
10101106,Cultural Group,Yes,,2,Annually,,80,30,50
10101106,Children's Groups,No,,,,,,,
10101106,Other (Specify),No,,,,,,,
10101106,Community Victim Support Unit (C-VSU),Yes,,1,Monthly,,10,5,5
10101106,Village Development Committee,Yes,,1,Monthly,,17,7,10
10101106,School Committee,Yes,,3,Monthly,,10,6,4
10101106,Youth Group,No,,,,,,,
10101106,Disabled Assoc,Yes,,1,Monthly,,8,2,6
10101106,Health Committee,Yes,,2,Quarterly,,10,5,5
10101106,Savings & Credit Coop,Yes,,20,Weekly,,30,17,13
10101106,Women's Group,Yes,,3,Quarterly,,18,18,0
10101106,Community Child Protenction Committee (C-CPC),Yes,,1,Monthly,,10,6,4
10101106,NGO,Yes,,10,Monthly,,10,4,6
10101106,Political Group,Yes,,6,Weekly,,50,5,35
10101106,Parent-Teacher Assoc,Yes,,10,Monthly,,10,5,5
10101106,Business Assoc,Yes,,1,Monthly,,10,3,7
10101106,Religious Group,Yes,,7,Weekly,,200,150,50
10101106,Farmers' Group,Yes,,150,Monthly,,20,10,10
10101106,Sports Group,Yes,,6,Weekly,,30,14,16
10101106,Tobacco Club,Yes,,50,Annually,,2000,20,1800
10102107,Sports Group,Yes,,3,Other(Specify),TWICE A WEEK,100,25,75
10102107,Community Police/Watch Group,Yes,,3,Monthly,,30,4,26
10102107,Women's Group,Yes,,5,Monthly,,80,50,30
10102107,Political Group,Yes,,3,Other(Specify),WHEN THERE IS NEED,300,230,70
10102107,Youth Group,No,,,,,,,
10102107,Children's Groups,No,,,,,,,
10102107,School Committee,Yes,,2,Monthly,,9,3,6
10102107,Religious Group,Yes,,5,Weekly,,500,350,150
10102107,Savings & Credit Coop,Yes,,5,Weekly,,150,100,50
