ea_id,com_ck00a,cka,ckb,ckc,ckd
10101100,Pesticides/Insecticides (mkt value),Yes,1800,1,SATCHET/TUBE
10101100,Firewood,Yes,500,1,OTHER (SPECIFY)
10101100,Paraffin,No,,,
10101100,"Watch, digital (simple), plastic",Yes,600,,
10101100,Trousers (kaunjika),Yes,2000,,
10101100,"Maize flour (Gramil, Rab, or locally milled)",No,,,
10101100,Tea leaves,Yes,100,25,GRAM
10101100,Chitenje cloth,Yes,3500,1,OTHER (SPECIFY)
10101100,Axe,Yes,3000,,
10101100,"Sugar, white",Yes,950,1,KILOGRAMME
10101100,"Ganyu wage, 1 day, adult male",No,,,
10101100,Toothbrush,Yes,150,1,OTHER (SPECIFY)
10101100,Sickle,Yes,1500,,
10101100,Maize grain,Yes,100,1,OTHER (SPECIFY)
10101100,Dried fish (usipa),Yes,200,1,HEAP
10101100,"Hand hoe, without handle",Yes,500,,
10101100,Cost to grind 50 kg bag of maize,Yes,9000,,
10101100,"Mosquito net (white, not treated with insecticide, single)",No,,,
10101100,Herbicides/Fungicides (mkt value),No,,,
10101100,Charcoal,Yes,100,1,SATCHET/TUBE
10101100,Hybrid maize seed (mkt value),Yes,8500,5,KILOGRAMME
10101100,Carlsberg beer (bottle),Yes,700,,
10101100,Egg,Yes,100,1,OTHER (SPECIFY)
10101100,Fansidar (3 tablet packet),No,,,
10101100,Chemical fertilizer (mkt value),Yes,25000,1,50 KG. BAG
10101100,Scone / Mandazi,Yes,50,1,OTHER (SPECIFY)
10101100,Fresh milk (liquid),Yes,300,1,LITRE
10101100,"Coca-Cola, Fanta (bottle)",Yes,300,,
10101100,Tomatoes,Yes,100,1,HEAP
10101100,Vaseline/glycerin,Yes,120,25,GRAM
10101100,Banana,Yes,20,1,OTHER (SPECIFY)
10101100,Toothpaste (50 g tube),Yes,200,1,GRAM
10101100,White bread loaf (unsliced),No,,,
10101100,"Cigarettes, Embassy (packet)",Yes,50,,
10101100,"Foam mattress (10 cm, single)",Yes,17000,,
10101100,Motorized transport of crop output (per 50kg per kilometer),Yes,500,,
10101100,Beans,Yes,250,1,OTHER (SPECIFY)
10101100,"Cooking oil (Kazinga, Kukoma)",Yes,1000,1,LITRE
10101100,Cost to grind 50 kg bag of rice,No,,,
10101100,Panga,Yes,4000,,
10101100,Chicken (live),Yes,3000,1,OTHER (SPECIFY)
10101100,Beef,Yes,1700,1,KILOGRAMME
10101100,Bicycle,Yes,65000,,
10101100,Bar soap (Maluwa),Yes,150,1,OTHER (SPECIFY)
10101100,"Clothes soap (Omo, Surf)",Yes,200,1,SATCHET/TUBE
10101100,"Chips, potato (street vendor)",Yes,300,1,No. 10 PLATE
10101100,Aspirin or Panadol,Yes,40,1,SATCHET/TUBE
10101100,Rice,Yes,300,1,No. 10 PLATE
10101100,Salt,Yes,150,500,GRAM
10101100,Cabbage,Yes,200,1,OTHER (SPECIFY)
10101100,Battery (dry cell) for radio,Yes,180,,
10101101,Beef,Yes,1700,1,KILOGRAMME
10101101,Tomatoes,Yes,50,1,OTHER (SPECIFY)
10101101,"Ganyu wage, 1 day, adult male",Yes,2500,,
10101101,Cabbage,Yes,150,1,OTHER (SPECIFY)
10101101,Egg,Yes,100,1,OTHER (SPECIFY)
10101101,Carlsberg beer (bottle),Yes,700,,
10101101,Paraffin,No,,,
10101101,Cost to grind 50 kg bag of maize,Yes,1500,,
10101101,Toothpaste (50 g tube),Yes,150,1,OTHER (SPECIFY)
10101101,Fresh milk (liquid),Yes,200,1,CUP
10101101,Tea leaves,Yes,100,50,GRAM
10101101,Battery (dry cell) for radio,Yes,170,,
10101101,Scone / Mandazi,Yes,50,1/,OTHER (SPECIFY)
10101101,Salt,Yes,150,200,GRAM
10101101,Chicken (live),Yes,3500,1,OTHER (SPECIFY)
10101101,"Coca-Cola, Fanta (bottle)",Yes,250,,
10101101,Herbicides/Fungicides (mkt value),Yes,2000,100,MILLILITRE
10101101,Rice,Yes,250,1,CUP
10101101,White bread loaf (unsliced),Yes,420,1,OTHER (SPECIFY)
10101101,Chitenje cloth,Yes,3500,1,OTHER (SPECIFY)
10101101,"Chips, potato (street vendor)",Yes,500,1,No. 10 PLATE
10101101,Hybrid maize seed (mkt value),Yes,11600,5,KILOGRAMME
10101101,"Clothes soap (Omo, Surf)",Yes,1000,1,KILOGRAMME
10101101,Beans,Yes,250,1,CUP
10101101,"Maize flour (Gramil, Rab, or locally milled)",Yes,500,1,CUP
10101101,"Mosquito net (white, not treated with insecticide, single)",No,,,
10101101,Charcoal,No,,,
10101101,"Sugar, white",Yes,800,1,KILOGRAMME
10101101,Fansidar (3 tablet packet),No,,,
10101101,Bar soap (Maluwa),Yes,100,1,OTHER (SPECIFY)
10101101,"Cigarettes, Embassy (packet)",Yes,800,,
10101101,Dried fish (usipa),Yes,200,1,HEAP
10101101,"Foam mattress (10 cm, single)",Yes,12000,,
10101101,Maize grain,Yes,4000,20,KILOGRAMME
10101101,Toothbrush,Yes,150,1,OTHER (SPECIFY)
10101101,"Hand hoe, without handle",Yes,200,,
10101101,Bicycle,Yes,60000,,
10101101,Vaseline/glycerin,Yes,200,1,OTHER (SPECIFY)
10101101,Sickle,Yes,1000,,
10101101,Trousers (kaunjika),Yes,2500,,
10101101,Pesticides/Insecticides (mkt value),Yes,1500,250,GRAM
10101101,Cost to grind 50 kg bag of rice,No,,,
10101101,Panga,Yes,2500,,
10101101,"Cooking oil (Kazinga, Kukoma)",Yes,1000,1,LITRE
10101101,"Watch, digital (simple), plastic",Yes,2000,,
10101101,Axe,Yes,3500,,
10101101,Aspirin or Panadol,Yes,50,1,SATCHET/TUBE
10101101,Banana,Yes,50,2,OTHER (SPECIFY)
10101101,Chemical fertilizer (mkt value),Yes,22500,1,50 KG. BAG
10101101,Motorized transport of crop output (per 50kg per kilometer),Yes,500,,
10101101,Firewood,No,,,
10101102,Herbicides/Fungicides (mkt value),No,,,
10101102,Hybrid maize seed (mkt value),No,,,
10101102,Rice,No,,,
