ea_id,module_cb_startdate,module_cb_startHr,module_cb_startMin,module_cb_endHr,module_cb_endMin,module_cc_startdate,module_cc_startHr,module_cc_startMin,module_cc_endHr,module_cc_endMin,module_ce_startdate,module_ce_startHr,module_ce_startMin,module_ce_endHr,module_ce_endMin,module_cf_startdate,module_cf_startHr,module_cf_startMin,module_cf_endHr,module_cf_endMin,module_cg_startdate,module_cg_startHr,module_cg_startMin,module_cg_endHr,module_cg_endMin,module_ch_startdate,module_ch_startHr,module_ch_startMin,module_ch_endHr,module_ch_endMin,module_ci_startdate,module_ci_startHr,module_ci_startMin,module_ci_endHr,module_ci_endMin,module_cj_startdate,module_cj_startHr,module_cj_startMin,module_cj_endHr,module_cj_endMin
10101100,2019-08-29,8,43,8,59,2019-08-29,9,31,10,2,2019-08-29,10,51,10,59,2019-08-29,11,0,11,23,2019-08-29,11,23,11,38,2019-08-29,11,40,12,52,2019-08-29,12,52,12,58,2019-08-29,12,58,13,19
10101101,2020-04-03,7,56,8,43,2020-04-03,8,44,8,59,2020-04-03,9,33,9,45,2020-04-03,9,45,10,2,2020-04-03,10,4,10,13,2020-04-03,10,13,11,13,2020-04-03,11,13,11,14,2020-04-03,11,14,11,27
10101102,2019-05-31,8,36,8,48,2019-05-31,8,52,9,19,2019-05-31,9,43,9,49,2019-05-31,9,49,10,0,2019-05-31,10,0,10,12,2019-05-31,10,12,10,41,2019-05-31,10,41,10,46,2019-05-31,10,46,11,7
10101103,2020-01-13,8,9,8,34,2020-01-13,8,34,8,49,2020-01-13,9,10,9,13,2020-01-13,9,14,9,27,2020-01-13,9,27,9,34,2020-01-13,9,34,9,57,2020-01-13,9,57,10,1,2020-01-13,10,2,10,16
10101104,2019-08-22,8,59,9,20,2019-08-22,9,27,9,46,2019-08-22,10,16,10,25,2019-08-22,10,26,10,43,2019-08-22,10,43,10,56,2019-08-22,10,56,11,44,2019-08-22,11,45,11,48,2019-08-22,11,49,11,59
10101105,2020-03-31,7,25,8,0,2020-03-31,8,1,8,15,2020-03-31,8,44,8,59,2020-03-31,8,59,9,11,2020-03-31,9,13,9,22,2020-03-31,9,22,10,11,2020-03-31,10,11,10,12,2020-03-31,10,12,10,29
10101106,2019-05-16,7,51,8,20,2019-05-16,8,37,9,0,2019-05-16,9,28,9,36,2019-05-16,9,36,9,57,2019-05-16,9,58,10,15,2019-05-16,10,15,14,27,2019-05-16,14,28,14,37,2019-05-16,14,37,15,7
10102107,2019-12-16,9,29,9,40,2019-12-16,9,43,9,56,2019-12-16,10,22,10,26,2019-12-16,10,26,10,44,2019-12-16,10,44,10,54,2019-12-16,10,54,11,36,2019-12-16,11,36,11,41,2019-12-16,11,41,12,6
10102108,2019-10-20,7,33,8,10,2019-10-20,8,12,8,26,2019-10-20,8,33,8,57,2019-10-20,8,58,9,11,2019-10-20,9,12,9,21,2019-10-20,9,21,9,58,2019-10-20,9,58,10,4,2019-10-20,10,5,10,15
10102109,2020-03-25,9,17,10,2,2020-03-25,10,2,10,16,2020-03-25,10,56,11,8,2020-03-25,11,8,11,33,2020-03-25,11,35,11,41,2020-03-25,11,42,12,36,2020-03-25,12,36,12,37,2020-03-25,12,37,12,59
10102110,2019-07-27,8,16,8,35,2019-07-27,8,41,8,57,2019-07-27,9,22,9,27,2019-07-27,9,28,9,45,2019-07-27,9,45,9,56,2019-07-27,9,56,10,26,2019-07-27,10,27,10,32,2019-07-27,10,32,10,45
10103111,2020-01-17,8,9,8,47,2020-01-17,8,48,9,4,2020-01-17,9,41,9,46,2020-01-17,9,46,10,5,2020-01-17,10,5,10,15,2020-01-17,10,16,11,0,2020-01-17,11,0,11,8,2020-01-17,11,8,11,26
10103112,2019-09-05,7,37,8,10,2019-09-05,14,10,14,27,2019-09-05,14,53,14,57,2019-09-05,14,57,15,20,2019-09-05,15,20,15,33,2019-09-05,15,34,16,17,2019-09-05,16,17,16,22,2019-09-05,16,22,16,30
10103113,2020-03-16,8,6,8,34,2020-03-16,8,34,8,52,2020-03-16,8,39,9,47,2020-03-16,9,47,10,1,2020-03-16,10,10,10,15,2020-03-16,10,15,10,51,2020-03-16,10,52,11,3,2020-03-16,11,4,11,13
10105114,2019-06-11,8,8,8,43,2019-06-11,8,59,9,18,2019-06-11,9,53,9,57,2019-06-11,9,58,10,21,2019-06-11,10,21,10,31,2019-06-11,10,31,11,12,2019-06-11,11,12,11,22,2019-06-11,11,22,11,28
10105115,2020-01-10,7,56,8,20,2020-01-10,8,55,9,11,2020-01-10,9,51,9,56,2020-01-10,9,56,10,10,2020-01-10,10,12,10,27,2020-01-10,10,27,11,10,2020-01-10,11,10,11,14,2020-01-10,11,15,11,27
10106116,2019-08-18,7,51,8,10,2019-08-18,8,17,8,31,2019-08-18,8,53,8,55,2019-08-18,8,55,9,7,2019-08-18,9,9,9,15,2019-08-18,9,15,9,42,2019-08-18,9,42,9,43,2019-08-18,9,43,9,52
10106117,2020-03-12,7,53,8,20,2020-03-12,8,20,8,32,2020-03-12,9,10,9,14,2020-03-12,9,15,9,34,2020-03-12,9,36,9,45,2020-03-12,9,45,10,41,2020-03-12,10,41,10,42,2020-03-12,10,42,10,55
10107118,2019-05-12,7,55,8,9,2019-05-12,8,12,8,27,2019-05-12,8,56,9,1,2019-05-12,9,1,9,18,2019-05-12,9,18,9,26,2019-05-12,9,26,10,25,2019-05-12,10,26,10,45,2019-05-12,10,46,11,5
10109119,2019-12-12,8,37,9,7,2019-12-12,9,9,9,39,2019-12-12,10,18,10,22,2019-12-12,10,24,10,37,2019-12-12,10,33,10,48,2019-12-12,10,48,11,57,2019-12-12,11,57,8,2,2019-12-12,12,2,12,16
10109120,2019-10-22,8,17,8,20,2019-10-22,8,48,9,2,2019-10-22,9,30,9,39,2019-10-22,9,39,10,1,2019-10-22,10,1,10,12,2019-10-22,10,12,10,42,2019-10-22,10,42,10,48,2019-10-22,10,48,11,5
