case_id,HHID,PID,fs_c00,fs_c00f,fs_c01a,fs_c01b,fs_c01c,fs_c00f1,fs_c02a,fs_c02b,fs_c02c,fs_c00f2,fs_c03a,fs_c03b,fs_c03c,fs_c00f3,fs_c04a,fs_c04b,fs_c04c
101201230097,2270b653f44c4f5dbe4a62d0f32f5813,4,NO,,,,,,,,,,,,,,,,
101201230097,2270b653f44c4f5dbe4a62d0f32f5813,3,NO,,,,,,,,,,,,,,,,
101201230097,2270b653f44c4f5dbe4a62d0f32f5813,1,YES,NO,,,,NO,,,,NO,,,,YES,4,3,27
101201230097,2270b653f44c4f5dbe4a62d0f32f5813,5,NO,,,,,,,,,,,,,,,,
101201230097,2270b653f44c4f5dbe4a62d0f32f5813,2,NO,,,,,,,,,,,,,,,,
102011240015,57e2c166f1fe4b028513be992b377f45,1,YES,YES,24,6,11,NO,,,,NO,,,,NO,,,
102011240055,73dde2e9798343728bb0a59b77323d16,7,NO,,,,,,,,,,,,,,,,
102011240055,73dde2e9798343728bb0a59b77323d16,2,YES,NO,,,,NO,,,,NO,,,,YES,24,4,5
102011240055,73dde2e9798343728bb0a59b77323d16,1,YES,NO,,,,NO,,,,NO,,,,YES,24,4,5
102011240055,73dde2e9798343728bb0a59b77323d16,5,NO,,,,,,,,,,,,,,,,
102011240055,73dde2e9798343728bb0a59b77323d16,6,NO,,,,,,,,,,,,,,,,
102011240076,1449dd2a736f4260b3a5c00c48c01665,1,YES,NO,,,,YES,8,4,16,NO,,,,NO,,,
102011240076,1449dd2a736f4260b3a5c00c48c01665,6,NO,,,,,,,,,,,,,,,,
102011240076,1449dd2a736f4260b3a5c00c48c01665,4,NO,,,,,,,,,,,,,,,,
102011240076,1449dd2a736f4260b3a5c00c48c01665,2,YES,NO,,,,NO,,,,NO,,,,YES,6,5,9
102011240076,1449dd2a736f4260b3a5c00c48c01665,3,NO,,,,,,,,,,,,,,,,
102011240076,1449dd2a736f4260b3a5c00c48c01665,7,NO,,,,,,,,,,,,,,,,
102011240076,1449dd2a736f4260b3a5c00c48c01665,5,NO,,,,,,,,,,,,,,,,
102011240095,53b2e4bb42c541f6964ab14b6c917d95,1,NO,,,,,,,,,,,,,,,,
102011240095,53b2e4bb42c541f6964ab14b6c917d95,4,NO,,,,,,,,,,,,,,,,
102011240095,53b2e4bb42c541f6964ab14b6c917d95,5,NO,,,,,,,,,,,,,,,,
102011240095,53b2e4bb42c541f6964ab14b6c917d95,6,NO,,,,,,,,,,,,,,,,
102011240095,53b2e4bb42c541f6964ab14b6c917d95,3,NO,,,,,,,,,,,,,,,,
102011240095,53b2e4bb42c541f6964ab14b6c917d95,2,YES,NO,,,,NO,,,,YES,3,3,8,YES,3,3,8
102011240127,4ed4eac64a2144b4b1eac7e946cebd36,2,NO,,,,,,,,,,,,,,,,
102011240127,4ed4eac64a2144b4b1eac7e946cebd36,1,YES,YES,12,3,12,NO,,,,NO,,,,NO,,,
102011240127,4ed4eac64a2144b4b1eac7e946cebd36,3,NO,,,,,,,,,,,,,,,,
102011240157,d31225b52319469d945b0fb99de742d0,1,NO,,,,,,,,,,,,,,,,
102011240157,d31225b52319469d945b0fb99de742d0,3,NO,,,,,,,,,,,,,,,,
102011240157,d31225b52319469d945b0fb99de742d0,8,NO,,,,,,,,,,,,,,,,
102011240157,d31225b52319469d945b0fb99de742d0,5,NO,,,,,,,,,,,,,,,,
102011240157,d31225b52319469d945b0fb99de742d0,4,NO,,,,,,,,,,,,,,,,
102011240157,d31225b52319469d945b0fb99de742d0,6,NO,,,,,,,,,,,,,,,,
102011240157,d31225b52319469d945b0fb99de742d0,7,NO,,,,,,,,,,,,,,,,
102011240157,d31225b52319469d945b0fb99de742d0,9,NO,,,,,,,,,,,,,,,,
102011240157,d31225b52319469d945b0fb99de742d0,2,YES,NO,,,,NO,,,,NO,,,,YES,8,5,8
102011240191,ff1c536c23f74272b538ba40cb8a017c,3,NO,,,,,,,,,,,,,,,,
102011240191,ff1c536c23f74272b538ba40cb8a017c,2,NO,,,,,,,,,,,,,,,,
102011240191,ff1c536c23f74272b538ba40cb8a017c,5,NO,,,,,,,,,,,,,,,,
102011240191,ff1c536c23f74272b538ba40cb8a017c,1,YES,NO,,,,NO,,,,NO,,,,YES,20,7,4
102011240191,ff1c536c23f74272b538ba40cb8a017c,4,NO,,,,,,,,,,,,,,,,
102011240191,ff1c536c23f74272b538ba40cb8a017c,7,NO,,,,,,,,,,,,,,,,
102011240191,ff1c536c23f74272b538ba40cb8a017c,6,NO,,,,,,,,,,,,,,,,
102011240230,39389dfff68249caab22583818a8e325,6,NO,,,,,,,,,,,,,,,,
102011240230,39389dfff68249caab22583818a8e325,1,YES,NO,,,,NO,,,,NO,,,,YES,16,5,5
102011240230,39389dfff68249caab22583818a8e325,5,NO,,,,,,,,,,,,,,,,
102011240230,39389dfff68249caab22583818a8e325,2,YES,NO,,,,NO,,,,NO,,,,YES,16,5,6
102011240230,39389dfff68249caab22583818a8e325,3,NO,,,,,,,,,,,,,,,,
102011240230,39389dfff68249caab22583818a8e325,4,NO,,,,,,,,,,,,,,,,
102011240234,9d0ee37f03cd4e94a15a4f7d2b2bc218,1,YES,NO,,,,NO,,,,NO,,,,YES,20,5,6
102011240234,9d0ee37f03cd4e94a15a4f7d2b2bc218,3,NO,,,,,,,,,,,,,,,,
102011240234,9d0ee37f03cd4e94a15a4f7d2b2bc218,2,NO,,,,,,,,,,,,,,,,
102011250035,e28eae3004dc4ac3b73b01a90e63460a,8,NO,,,,,,,,,,,,,,,,
102011250035,e28eae3004dc4ac3b73b01a90e63460a,1,NO,,,,,,,,,,,,,,,,
102011250035,e28eae3004dc4ac3b73b01a90e63460a,4,NO,,,,,,,,,,,,,,,,
102011250035,e28eae3004dc4ac3b73b01a90e63460a,2,NO,,,,,,,,,,,,,,,,
102011250035,e28eae3004dc4ac3b73b01a90e63460a,5,NO,,,,,,,,,,,,,,,,
102011250035,e28eae3004dc4ac3b73b01a90e63460a,9,NO,,,,,,,,,,,,,,,,
102011250035,e28eae3004dc4ac3b73b01a90e63460a,6,NO,,,,,,,,,,,,,,,,
102011250035,e28eae3004dc4ac3b73b01a90e63460a,7,NO,,,,,,,,,,,,,,,,
102011250035,e28eae3004dc4ac3b73b01a90e63460a,3,YES,NO,,,,NO,,,,NO,,,,YES,24,5,6
102011270158,56504e358a454e228f77dab5602f635e,2,YES,NO,,,,NO,,,,NO,,,,YES,8,6,6
102011270158,56504e358a454e228f77dab5602f635e,4,NO,,,,,,,,,,,,,,,,
102011270158,56504e358a454e228f77dab5602f635e,5,NO,,,,,,,,,,,,,,,,
102011270158,56504e358a454e228f77dab5602f635e,3,NO,,,,,,,,,,,,,,,,
102011270158,56504e358a454e228f77dab5602f635e,1,NO,,,,,,,,,,,,,,,,
102011270158,56504e358a454e228f77dab5602f635e,6,NO,,,,,,,,,,,,,,,,
102011280005,77304548243442a1a80d6f0aca549184,3,NO,,,,,,,,,,,,,,,,
102011280005,77304548243442a1a80d6f0aca549184,1,YES,NO,,,,NO,,,,NO,,,,YES,12,5,4
