case_id,HHID,Fishing_GearID,fs_d01a,fs_d01b,fs_d02,fs_d03,fs_d04,fs_d05_filter,fs_d05,fs_d06_filter,fs_d06
102011240015,57e2c166f1fe4b028513be992b377f45,Chimilira,yes,,1,0,300000,NO,,NO,
102011240076,1449dd2a736f4260b3a5c00c48c01665,Usipa (seine) net,yes,,2,0,35000,NO,,NO,
102011240127,4ed4eac64a2144b4b1eac7e946cebd36,Usipa (seine) net,yes,,6,0,10000,NO,,NO,
102031310144,bd08c9d072c74aa483eebcbf185de1cc,Usipa (seine) net,yes,,1,1,60000,NO,,NO,
102031310144,bd08c9d072c74aa483eebcbf185de1cc,Mbuka/ntaya/ukonde (gillnet),yes,,1,0,250000,NO,,YES,10000
102031310209,26598eb9e853402b86c1264b470a8af5,Kambuzi (beach) seine,yes,,1,1,10000,NO,,NO,
102031340149,fd3fde4884b849f88371920162c589a6,Chimilira,yes,,2,1,40000,NO,,YES,5000
102041360174,e4f7cfdc75d844a3b86abf1a518e0104,Chimilira,yes,,2,2,280000,NO,,NO,
102041390006,899b06a1598e42308e88166a1b3b66d8,Chimilira,yes,,3,3,400000,NO,,NO,
102051410136,f1ce8161e4004670a8edf9f48ae59ed1,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,45000,NO,,NO,
102051410186,13bfa8ac242f4ce3b8f823be3e7daf9d,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,85000,NO,,NO,
103021520043,4a615fd4975e43baad72dbf120a5a3b4,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,120000,YES,1,NO,
103021520121,ca477b192b344b6da709672368794576,Other Specify,yes,CHIKWITI,1,0,70000,NO,,NO,
103041540194,789e0c9e34634b5e994240f549bf2e57,Mbedza (long /hand line),yes,,36,36,30,NO,,NO,
103051560008,826f18cfb28f46b38a961caee38658c8,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,50000,YES,4,NO,
103051560014,c65b0436b3c74579a404d06664b6a048,Mbuka/ntaya/ukonde (gillnet),yes,,1,0,5000,NO,,NO,
103051560029,9e2b74583ee74f159721f71160ae0cf3,Other Specify,yes,MAGOES WIRE,2,2,14000,NO,,NO,
103051560034,9f6ed8b2a26547da9e9864b87f12c00f,Other Specify,yes,VILEPA,1,1,45000,NO,,NO,
103051560121,dade4852b38646408924eabdff8e9155,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,85000,NO,,NO,
103051560124,ab73a5cba3ea4c39b51a134a3995c356,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,200000,NO,,NO,
103051560127,f986187c2e5e460fb5e1a6e0637c8ea5,Chimilira,yes,,1,0,200000,NO,,NO,
103061570005,c683ba6225d24cbebdb0b6dc1e8881e4,Mbedza (long /hand line),yes,,2,2,500,NO,,NO,
103061570012,13908448d36c494db21d0ddfa12cac1e,Mbedza (long /hand line),yes,,1000,1000,1200,YES,15,NO,
103061570012,13908448d36c494db21d0ddfa12cac1e,Other Specify,yes,UKOSI,6,6,18000,NO,,NO,
103061570040,6e7ecbbd6d7443399057e2e66f7889b3,Mbedza (long /hand line),yes,,500,500,1500,YES,250,NO,
103061570040,6e7ecbbd6d7443399057e2e66f7889b3,Usipa (seine) net,yes,,1,0,300000,NO,,YES,700000
103061570199,95621fcb6a2e4500a79a407436ef8146,Other Specify,yes,KHOKHA,1,0,500000,NO,,NO,
103061570203,3a350102d7ec42edadeec08e1f8555e9,Mbedza (long /hand line),yes,,1000,1000,20,NO,,NO,
103071590131,311fdbae1e814acaa952ab564c9f8460,Mbuka/ntaya/ukonde (gillnet),yes,,500,0,55000,NO,,YES,25000
103071590137,2ce10fc6386840e6855ee3010a428ec2,Mbuka/ntaya/ukonde (gillnet),yes,,1000,1000,50000,YES,10,NO,
103071590145,ba5dcfc6f42e46f987ec987db024fd16,Other Specify,yes,VILEPA,1,0,20000,NO,,NO,
103071590169,56f929979a924f0dbf18f8b87bdf1cbd,Mbuka/ntaya/ukonde (gillnet),yes,,1,0,10000,NO,,NO,
