case_id,HHID,Boats_EnginesID,fs_d07a,fs_d07b,fs_d08,fs_d09,fs_d10,fs_d11,fs_d12,fs_d13
102011240015,57e2c166f1fe4b028513be992b377f45,Outboard engine,yes,,1,0,2200000,0,0,40000
102011240076,1449dd2a736f4260b3a5c00c48c01665,Outboard engine,yes,,2,0,2000000,0,0,60000
102011240127,4ed4eac64a2144b4b1eac7e946cebd36,Outboard engine,yes,,1,0,1800000,0,0,67500
102031310144,bd08c9d072c74aa483eebcbf185de1cc,Bwato (dugout),yes,,3,0,270000,0,60000,0
102031310209,26598eb9e853402b86c1264b470a8af5,Bwato (dugout),yes,,1,0,30000,0,0,0
102031340149,fd3fde4884b849f88371920162c589a6,Bwato (dugout),yes,,1,1,30000,0,0,0
102041360174,e4f7cfdc75d844a3b86abf1a518e0104,Plankboat,yes,,1,1,150000,0,0,0
102041360174,e4f7cfdc75d844a3b86abf1a518e0104,Bwato (dugout),yes,,4,4,50000,1,50000,0
102041390006,899b06a1598e42308e88166a1b3b66d8,Plankboat,yes,,1,1,100000,0,0,0
102041390006,899b06a1598e42308e88166a1b3b66d8,Outboard engine,yes,,2,2,2000000,0,0,140000
102041390006,899b06a1598e42308e88166a1b3b66d8,Bwato (dugout),yes,,6,6,70000,3,0,0
102051410136,f1ce8161e4004670a8edf9f48ae59ed1,Bwato (dugout),yes,,1,1,50000,0,0,0
102051410186,13bfa8ac242f4ce3b8f823be3e7daf9d,Outboard engine,yes,,1,1,3000000,0,0,84000
103021520043,4a615fd4975e43baad72dbf120a5a3b4,Bwato (dugout),yes,,1,1,90000,90000,0,0
103021520121,ca477b192b344b6da709672368794576,Plankboat,yes,,1,0,250000,0,0,0
103041540194,789e0c9e34634b5e994240f549bf2e57,Bwato (dugout),yes,,1,0,40000,0,0,0
103051560008,826f18cfb28f46b38a961caee38658c8,Bwato (dugout),yes,,2,2,70000,0,0,0
103051560014,c65b0436b3c74579a404d06664b6a048,Bwato (dugout),yes,,1,0,0,0,0,0
103051560029,9e2b74583ee74f159721f71160ae0cf3,Bwato (dugout),yes,,1,0,100000,0,10000,0
103051560034,9f6ed8b2a26547da9e9864b87f12c00f,Bwato (dugout),yes,,1,0,30000,0,4000,0
