case_id,HHID,fs_d14a,fs_d14b,fs_d14c,fs_d14d,fs_d15,fs_d16a,fs_d16b,fs_d17,fs_d18a,fs_d18b,fs_d18c,fs_18d,fs_d18e,fs_d18f,fs_d19,fs_d20a,fs_d20b,fs_d21a,fs_d21b,fs_d22,fs_d23,fs_d24a,fs_d24b
101201230097,2270b653f44c4f5dbe4a62d0f32f5813,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
102011240015,57e2c166f1fe4b028513be992b377f45,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
102011240055,73dde2e9798343728bb0a59b77323d16,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
102011240076,1449dd2a736f4260b3a5c00c48c01665,14,3,0,0,NO,,,YES,1,OTHER (SPECIFY),5 LITRE CHIGOBA,1,OTHER (SPECIFY),5LITRE CHIGOBA,YES,20000,0,0,0,NO,,,
102011240095,53b2e4bb42c541f6964ab14b6c917d95,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
102011240127,4ed4eac64a2144b4b1eac7e946cebd36,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
102011240157,d31225b52319469d945b0fb99de742d0,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
102011240191,ff1c536c23f74272b538ba40cb8a017c,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
102011240230,39389dfff68249caab22583818a8e325,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
102011240234,9d0ee37f03cd4e94a15a4f7d2b2bc218,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
102011250035,e28eae3004dc4ac3b73b01a90e63460a,0,0,0,6,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
102011270158,56504e358a454e228f77dab5602f635e,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
102011280005,77304548243442a1a80d6f0aca549184,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
102011280030,6680c605758841ddbe900ef0d8f78cbe,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
102011280108,ffd5c8f049f14814af1112b4cba8a886,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
102031310144,bd08c9d072c74aa483eebcbf185de1cc,4,8,0,0,NO,,,YES,7,DOZEN / BUNDLE,,7,DOZEN / BUNDLE,,NO,,,0,0,NO,,,
102031310209,26598eb9e853402b86c1264b470a8af5,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
102031340149,fd3fde4884b849f88371920162c589a6,2,4,0,0,NO,,,NO,,,,,,,YES,5000,0,0,0,NO,,,
102031340186,b16818be1135482e9e3da5ee403698f0,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
