case_id,HHID,fs_e01,fs_e02,fs_e02_oth,fs_e03,fs_e04a,fs_e04b,fs_e04c,fs_e04d,fs_e04e,fs_e04f,fs_e04g,fs_e04h,fs_e04i,fs_e04j,fs_e04k,fs_e05a,fs_e05b,fs_e06a,fs_e06b,fs_e06c,fs_e06d,fs_e06e,fs_e06f,fs_e06g,fs_e06h,fs_e06i,fs_e06j,fs_e07a,fs_e07b,fs_e08a,fs_e08b,fs_e08c,fs_e08d,fs_e08e,fs_e08f,fs_e08g,fs_e08h,fs_e08i,fs_e08j,fs_e08k,fs_e08l,fs_e09,fs_e10,fs_e11a,fs_e11b,fs_e11c,fs_e11d,fs_e11e,fs_e11f,fs_e11g,fs_e11h,fs_e11i,fs_e11j,fs_e12,fs_e13a,fs_e13b
102011240015,57e2c166f1fe4b028513be992b377f45,YES,AGGREGATED,,24,20,OTHER (SPECIFY),LARGE PAIL,FRESH,,NO,,,,,,480,,480,OTHER (SPECIFY),LARGE PAIL,FRESH,,480,OTHER (SPECIFY),LARGE PAIL,FRESH,,"YES, THE FIGURES MATCHED",,80000,OTHER (SPECIFY),LARGE PAIL,FRESH,,4000,0,LARGE BASKET,,FRESH,,3000,0,NO,1,SMALL BASKET,,FRESH,,1,SMALL BASKET,,FRESH,,ALMOST NONE,"YES, THE FIGURES MATCHED",
102011240076,1449dd2a736f4260b3a5c00c48c01665,YES,USIPA,,8,120,LARGE BASKET,,FRESH,,NO,,,,,,960,,960,LARGE BASKET,,FRESH,,960,LARGE BASKET,,FRESH,,"YES, THE FIGURES MATCHED",,960,LARGE BASKET,,FRESH,,9000,80,LARGE BASKET,,FRESH,,15000,6,YES,1,LARGE BASKET,,FRESH,,1,LARGE BASKET,,FRESH,,1/4,"YES, THE FIGURES MATCHED",
102011240127,4ed4eac64a2144b4b1eac7e946cebd36,YES,USIPA,,12,90,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,NO,,,,,,1080,,1080,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,1080,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,"YES, THE FIGURES MATCHED",,87,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,3000,1044,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,3000,12,NO,1,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,1,OTHER (SPECIFY),,FRESH,,ALMOST NONE,"YES, THE FIGURES MATCHED",
102031310144,bd08c9d072c74aa483eebcbf185de1cc,YES,MLAMBA,,8,10,SMALL BASKET,,FRESH,,NO,,,,,,80,,80,SMALL BASKET,,FRESH,,80,SMALL BASKET,,FRESH,,"YES, THE FIGURES MATCHED",,10,SMALL BASKET,,FRESH,,10000,5,SMALL BASKET,,FRESH,,1000,8,NO,0,SMALL BASKET,,FRESH,,0,SMALL BASKET,,FRESH,,ALMOST NONE,"YES, THE FIGURES MATCHED",
102031310144,bd08c9d072c74aa483eebcbf185de1cc,YES,CHAMBO,,8,7,LARGE BASKET,,FRESH,,NO,,,,,,56,,56,LARGE BASKET,,FRESH,,56,LARGE BASKET,,FRESH,,"YES, THE FIGURES MATCHED",,6,LARGE BASKET,,FRESH,,30000,28,LARGE BASKET,,FRESH,,30000,8,NO,3,DOZEN / BUNDLE,,FRESH,,3,DOZEN / BUNDLE,,FRESH,,1/4,"YES, THE FIGURES MATCHED",
102031310144,bd08c9d072c74aa483eebcbf185de1cc,YES,USIPA,,8,70,SMALL BASKET,,FRESH,,NO,,,,,,560,,560,SMALL BASKET,,FRESH,,560,SMALL BASKET,,FRESH,,"YES, THE FIGURES MATCHED",,9,SMALL BASKET,,FRESH,,3000,280,SMALL BASKET,,FRESH,,3000,8,NO,1,SMALL BASKET,,FRESH,,1,SMALL BASKET,,FRESH,,ALMOST NONE,"YES, THE FIGURES MATCHED",
102031310209,26598eb9e853402b86c1264b470a8af5,YES,OTHER,KABWIRI,12,2,LARGE BASKET,,FRESH,,NO,,,,,,24,,24,LARGE BASKET,,FRESH,,24,LARGE BASKET,,FRESH,,"YES, THE FIGURES MATCHED",,2,LARGE BASKET,,FRESH,,6500,0,LARGE BASKET,,FRESH,,6500,12,NO,2,DOZEN / BUNDLE,,FRESH,,24,DOZEN / BUNDLE,,FRESH,,ALMOST NONE,"YES, THE FIGURES MATCHED",
102031340149,fd3fde4884b849f88371920162c589a6,YES,AGGREGATED,,4,4,SMALL BASKET,,FRESH,,NO,,,,,,16,,16,SMALL BASKET,,FRESH,,16,SMALL BASKET,,FRESH,,"YES, THE FIGURES MATCHED",,10,SMALL BASKET,,FRESH,,25000,2,SMALL BASKET,,FRESH,,5000,4,NO,1,SMALL BASKET,,FRESH,,1,SMALL BASKET,,FRESH,,ALMOST NONE,"YES, THE FIGURES MATCHED",
102041360005,548671a98bbc444ebd442b6ca03df8a8,YES,USIPA,,4,0,PIECE,,FRESH,,NO,,,,,,0,,0,PIECE,,FRESH,,0,PIECE,,FRESH,,"YES, THE FIGURES MATCHED",,0,PIECE,,FRESH,,0,0,PIECE,,FRESH,,0,0,NO,0,PIECE,,FRESH,,0,PIECE,,FRESH,,ALMOST NONE,"YES, THE FIGURES MATCHED",
102041360174,e4f7cfdc75d844a3b86abf1a518e0104,YES,AGGREGATED,,3,3,OTHER (SPECIFY),BWATO LARGE,FRESH,,NO,,,,,,1200000,,5,OTHER (SPECIFY),BWATO,FRESH,,5,OTHER (SPECIFY),BWATO,FRESH,,"YES, THE FIGURES MATCHED",,5,OTHER (SPECIFY),BWATO,FRESH,,110000,3,OTHER (SPECIFY),BWATO,FRESH,,150000,4,YES,3,LARGE BASKET,,FRESH,,3,LARGE BASKET,,FRESH,,1/4,"YES, THE FIGURES MATCHED",
