case_id,HHID,Rented_Out_GearID,fs_e14,fs_e15,fs_e16
102031350113,aa64297c5a144e4cb978a10ba2317e93,Mbuka /ntaya/ ukonde (gillnet),yes,1,60000
103061570203,3a350102d7ec42edadeec08e1f8555e9,Mbedza(long /hand line),yes,1000,2000
103121640016,e4547af32128495991bf03d03a57f8db,Usipa (mosquito) net,no,0,0
105041980029,2e0b88f7cb60435a8d92895d33ac50c4,Usipa (mosquito) net,no,0,0
106012110035,555df629fecb46188e9ac0d9c6604c15,Mbedza(long /hand line),yes,1,3000
202012640155,bd7f18d847f8471c91dbe306fce4555e,Mbuka /ntaya/ ukonde (gillnet),yes,1,2000
202042700038,ad2716ee75784ef79a82fbeaa12d796c,Mbedza(long /hand line),yes,2,0
205053370039,8b81dd0a679948b880b66a1f598c45a0,Mbuka /ntaya/ ukonde (gillnet),yes,50,0
205063380157,1f52142bf553415ebfeddd7d91bb2675,Kambuzi (beach) seine,yes,1,2000
205093460230,ac8cf2f98f404b9ea4440c61531926ce,Mbuka /ntaya/ ukonde (gillnet),no,0,0
206083670380,391c5b87d7f74b2b8aca27813d684aa1,Mbedza(long /hand line),yes,1,500
302055150053,a0d7c31e66624891b0882a43b362bcb3,Mono(fish traps),yes,30,50000
303025350064,101f79de544f4e4cb88663fb64e0a353,Mbedza(long /hand line),yes,200,5000
308076630116,c710a1912d394efe8e869618d2593691,Mono(fish traps),no,0,0
