case_id,HHID,fs_f01,fs_f01_oth,fs_f02a,fs_f02b,fs_f02c,fs_f02d,fs_f02e,fs_f02f,fs_f02g,fs_f02h,fs_f02i,fs_f02j,fs_f02k,fs_f02l,fs_f02m,fs_f03a,fs_f03b,fs_f03c,fs_f03d,fs_f03e,fs_f03f,fs_f03g,fs_f03h,fs_f03i,fs_f03j,fs_f03k,fs_f03l,fs_f03m
101201230097,2270b653f44c4f5dbe4a62d0f32f5813,NCHENI,,3,LARGE BASKET,,SMOKED,,90000,NO,,,,,,,3,LARGE BASKET,,SMOKED,,180000,NO,,,,,,
102011240055,73dde2e9798343728bb0a59b77323d16,USIPA,,24,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,2000,NO,,,,,,,48,OTHER (SPECIFY),5 LITRE PAIL,SUN-DRIED,,2000,NO,,,,,,
102011240076,1449dd2a736f4260b3a5c00c48c01665,USIPA,,0,,,,,,NO,,,,,,,10,LARGE BASKET,,FRESH,,9000,NO,,,,,,
102011240095,53b2e4bb42c541f6964ab14b6c917d95,USIPA,,9,SMALL BASKET,,SUN-DRIED,,3000,NO,,,,,,,9,SMALL BASKET,,SUN-DRIED,,12000,NO,,,,,,
102011240157,d31225b52319469d945b0fb99de742d0,AGGREGATED,,20,SMALL BASKET,,FRESH,,3000,NO,,,,,,,10,SMALL BASKET,,FRESH,,3000,NO,,,,,,
102011240191,ff1c536c23f74272b538ba40cb8a017c,AGGREGATED,,18,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,5000,YES,18,OTHER (SPECIFY),10 LITRE PAIL,SUN-DRIED,,5000,108,OTHER (SPECIFY),10 LITRE PAIL,SUN-DRIED,,7000,NO,,,,,,
102011240230,39389dfff68249caab22583818a8e325,USIPA,,30,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,1500,NO,,,,,,,600,OTHER (SPECIFY),HEAPS,SUN-DRIED,,200,NO,,,,,,
102011240234,9d0ee37f03cd4e94a15a4f7d2b2bc218,USIPA,,20,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,1000,NO,,,,,,,20,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,2000,NO,,,,,,
102011250035,e28eae3004dc4ac3b73b01a90e63460a,USIPA,,5,SMALL BASKET,,FRESH,,7000,NO,,,,,,,5,SMALL BASKET,,FRESH,,10000,NO,,,,,,
102011270158,56504e358a454e228f77dab5602f635e,USIPA,,16,SMALL BASKET,,FRESH,,2000,NO,,,,,,,6,SMALL BASKET,,FRESH,,3000,NO,,,,,,
102011280005,77304548243442a1a80d6f0aca549184,USIPA,,10,SMALL BASKET,,FRESH,,1000,NO,,,,,,,10,SMALL BASKET,,FRESH,,2000,NO,,,,,,
102011280005,77304548243442a1a80d6f0aca549184,NCHENI,,20,LARGE BASKET,,FRESH,,10000,NO,,,,,,,20,LARGE BASKET,,FRESH,,15000,NO,,,,,,
102011280030,6680c605758841ddbe900ef0d8f78cbe,USIPA,,20,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,2500,NO,,,,,,,40,OTHER (SPECIFY),5 LITRE PAIL,SUN-DRIED,,2000,NO,,,,,,
102011280108,ffd5c8f049f14814af1112b4cba8a886,NCHENI,,3,SMALL BASKET,,FRESH,,6000,NO,,,,,,,3,SMALL BASKET,,FRESH,,8000,NO,,,,,,
102031310144,bd08c9d072c74aa483eebcbf185de1cc,CHAMBO,,0,,,,,,NO,,,,,,,7,LARGE BASKET,,FRESH,,30000,NO,,,,,,
102031310144,bd08c9d072c74aa483eebcbf185de1cc,MLAMBA,,0,,,,,,NO,,,,,,,10,SMALL BASKET,,FRESH,,10000,NO,,,,,,
102031310144,bd08c9d072c74aa483eebcbf185de1cc,USIPA,,0,,,,,,NO,,,,,,,69,SMALL BASKET,,FRESH,,3000,NO,,,,,,
102031340149,fd3fde4884b849f88371920162c589a6,AGGREGATED,,0,,,,,,NO,,,,,,,25,LARGE BASKET,,FRESH,,25000,NO,,,,,,
102031340186,b16818be1135482e9e3da5ee403698f0,AGGREGATED,,7,LARGE BASKET,,FRESH,,20000,NO,,,,,,,7,LARGE BASKET,,FRESH,,30000,NO,,,,,,
102031350113,aa64297c5a144e4cb978a10ba2317e93,USIPA,,240,OTHER (SPECIFY),5L BUCKET,SUN-DRIED,,625,NO,,,,,,,720,OTHER (SPECIFY),5 LITRE PAIL,SUN-DRIED,,1000,NO,,,,,,
102041360005,548671a98bbc444ebd442b6ca03df8a8,NCHENI,,10,LARGE BASKET,,SUN-DRIED,,20000,NO,,,,,,,10,LARGE BASKET,,SUN-DRIED,,35000,NO,,,,,,
102041360030,92c84f1ce8c54a3783edccfb56b0a081,USIPA,,40,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,3000,NO,,,,,,,80,OTHER (SPECIFY),5 LITRE PAIL,SUN-DRIED,,2500,NO,,,,,,
102041360136,eae3f62eed2940a0a5bbe2a495410803,OTHER,MASKUHUNJU,28,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,5000,NO,,,,,,,336,OTHER (SPECIFY),10 LITRE PAIL,SMOKED,,8000,NO,,,,,,
102041360162,7c2fe5a29b1b4351a4c347dde9f16f5c,CHAMBO,,300,PIECE,,FRESH,,1000,NO,,,,,,,6000,PIECE,,FRESH,,1500,NO,,,,,,
102041360172,e6ac4fab7d95444ea0f6da2a4942b2bf,USIPA,,70,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,3000,NO,,,,,,,140,OTHER (SPECIFY),5 LITRE PAIL,SUN-DRIED,,3000,NO,,,,,,
102041360174,e4f7cfdc75d844a3b86abf1a518e0104,USIPA,,0,,,,,,NO,,,,,,,0,,,,,,NO,,,,,,
102041360188,6568506810014f82bebe97eb14691591,USIPA,,30,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,2000,NO,,,,,,,60,OTHER (SPECIFY),5 LITRE PAIL,SUN-DRIED,,2000,NO,,,,,,
102041360190,918832af615e47c88b9ddc52dbde8314,AGGREGATED,,5,OTHER (SPECIFY),10 LITRE PAIL,SUN-DRIED,,8000,NO,,,,,,,60,OTHER (SPECIFY),10 LITRE PAIL,SUN-DRIED,,9600,NO,,,,,,
102041360193,213f1a85e1b84ac4903f704a13b195b6,USIPA,,20,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,2000,NO,,,,,,,40,OTHER (SPECIFY),5 LITRE PAIL,SUN-DRIED,,1500,NO,,,,,,
102041360205,9497ad3d50874b6e80a1ef28b6148e15,USIPA,,10,LARGE BASKET,,SUN-DRIED,,3500,NO,,,,,,,10,LARGE BASKET,,SUN-DRIED,,6500,NO,,,,,,
102041370048,5ce81c46158047c9ab84d9bb4d4afc7b,OTHER,MASUKUWUNJU,2,SMALL BASKET,,FRESH,,50000,NO,,,,,,,2,SMALL BASKET,,FRESH,,10000,NO,,,,,,
102041380207,0742aa43ddcb4f36a7289331d93a24ad,NCHENI,,12,LARGE BASKET,,SMOKED,,10000,NO,,,,,,,2,LARGE BASKET,,SMOKED,,16000,NO,,,,,,
102041390006,899b06a1598e42308e88166a1b3b66d8,AGGREGATED,,30,LARGE BASKET,,FRESH,,15,NO,,,,,,,30,LARGE BASKET,,FRESH,,10000,NO,,,,,,
102041400254,fb6b0358fdfa462cbe7059842f18055c,USIPA,,15,OTHER (SPECIFY),5L BUCKET,SUN-DRIED,,2000,NO,,,,,,,375,OTHER (SPECIFY),HEAP,SUN-DRIED,,200,NO,,,,,,
102051410106,17bceed3525a4ea59d90db5a75a7fa9d,USIPA,,2,LARGE BASKET,,SMOKED,,5000,NO,,,,,,,24,LARGE BASKET,,SMOKED,,8000,NO,,,,,,
102051410136,f1ce8161e4004670a8edf9f48ae59ed1,CHAMBO,,0,,,,,,NO,,,,,,,3,SMALL BASKET,,FRESH,,5500,NO,,,,,,
102051410136,f1ce8161e4004670a8edf9f48ae59ed1,NCHENI,,0,,,,,,NO,,,,,,,10,LARGE BASKET,,FRESH,,10000,NO,,,,,,
102051410186,13bfa8ac242f4ce3b8f823be3e7daf9d,NCHENI,,0,,,,,,NO,,,,,,,0,,,,,,NO,,,,,,
102051420214,6b6344882dac43dea8388f8d1d962368,NCHENI,,4,SMALL BASKET,,FRESH,,16000,NO,,,,,,,4,SMALL BASKET,,FRESH,,28000,NO,,,,,,
102201430307,e9e09d1f25f045a2977e121c85cd8299,AGGREGATED,,10,LARGE BASKET,,ICED,,25000,NO,,,,,,,10,LARGE BASKET,,ICED,,35000,NO,,,,,,
102201460042,165210a5cec9462990d6f144094ceb9d,OTHER,SANJIKA,500,PIECE,,SMOKED,,500,NO,,,,,,,500,PIECE,,SMOKED,,500,NO,,,,,,
102201460103,c9d941818fb345438335e3c8a73347f0,AGGREGATED,,6,OTHER (SPECIFY),10 LITRE PAIL,SMOKED,,8000,NO,,,,,,,6,OTHER (SPECIFY),10 LITRE PAIL,SMOKED,,15000,NO,,,,,,
102201460206,4e417471acac4e86953bec6695c5aa55,USIPA,,30,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,2000,NO,,,,,,,60,OTHER (SPECIFY),5 LITRE PAIL,SUN-DRIED,,1400,NO,,,,,,
102201460261,70010aa27e9b49e8b844f52a8fc6ee7d,USIPA,,25,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,2000,NO,,,,,,,25,OTHER (SPECIFY),10 LITRE,FRESH,,3500,NO,,,,,,
102201460330,14651bc65d6f4bdf86aaea33c334ab1e,USIPA,,100,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,2500,NO,,,,,,,200,OTHER (SPECIFY),5 LITRE PAIL,SUN-DRIED,,2000,NO,,,,,,
102201470009,7beb3da18c044ad39125c5cb2b5af5f7,USIPA,,4,SMALL BASKET,,FRESH,,6000,NO,,,,,,,4,SMALL BASKET,,FRESH,,8000,NO,,,,,,
103021520043,4a615fd4975e43baad72dbf120a5a3b4,UTAKA,,0,,,,,,NO,,,,,,,0,,,,,,NO,,,,,,
103021520121,ca477b192b344b6da709672368794576,USIPA,,0,,,,,,NO,,,,,,,6,LARGE BASKET,,FRESH,,6000,NO,,,,,,
