case_id,HHID,Fishing_GearID,fs_h01a,fs_h01b,fs_h02,fs_h03,fs_h04,fs_hfilter,fs_h05,fs_hfilter6,fs_h06
102011240076,1449dd2a736f4260b3a5c00c48c01665,Usipa (mosquito) net,yes,,1,0,35000,YES,1,NO,
102011240127,4ed4eac64a2144b4b1eac7e946cebd36,Usipa (mosquito) net,yes,,6,0,60000,NO,,NO,
102031310144,bd08c9d072c74aa483eebcbf185de1cc,Mbuka/ntaya/ukonde (gillnet),yes,,1,0,250000,NO,,YES,10000
102031310144,bd08c9d072c74aa483eebcbf185de1cc,Usipa (mosquito) net,yes,,1,1,70000,NO,,NO,
102031340149,fd3fde4884b849f88371920162c589a6,Chimilira,yes,,1,1,40000,NO,,NO,
102041360174,e4f7cfdc75d844a3b86abf1a518e0104,Usipa (mosquito) net,yes,,1,1,180000,NO,,NO,
102041390006,899b06a1598e42308e88166a1b3b66d8,Chimilira,yes,,3,3,400000,NO,,NO,
102051410136,f1ce8161e4004670a8edf9f48ae59ed1,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,50000,NO,,NO,
102051410186,13bfa8ac242f4ce3b8f823be3e7daf9d,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,85000,NO,,NO,
103021520043,4a615fd4975e43baad72dbf120a5a3b4,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,120000,NO,,NO,
103021520121,ca477b192b344b6da709672368794576,"Other, specify",yes,CHIKWITU,1,0,70000,NO,,NO,
103041540194,789e0c9e34634b5e994240f549bf2e57,Mbedza (long /hand line),yes,,14,14,30,NO,,NO,
103051560008,826f18cfb28f46b38a961caee38658c8,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,50000,NO,,NO,
103051560029,9e2b74583ee74f159721f71160ae0cf3,"Other, specify",yes,MARGOES WIRE,2,2,14000,NO,,NO,
103051560034,9f6ed8b2a26547da9e9864b87f12c00f,"Other, specify",yes,VILEPA,1,1,30000,NO,,NO,
103051560121,dade4852b38646408924eabdff8e9155,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,85000,NO,,NO,
103051560124,ab73a5cba3ea4c39b51a134a3995c356,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,200000,NO,,NO,
103051560127,f986187c2e5e460fb5e1a6e0637c8ea5,Chimilira,yes,,1,0,200000,NO,,NO,
103061570012,13908448d36c494db21d0ddfa12cac1e,Mbedza (long /hand line),yes,,1000,1000,1200,NO,,NO,
103061570040,6e7ecbbd6d7443399057e2e66f7889b3,Mbedza (long /hand line),yes,,5000,500,1500,NO,,NO,
103061570199,95621fcb6a2e4500a79a407436ef8146,"Other, specify",yes,KHOKHA,1,0,400000,NO,,NO,
103061570203,3a350102d7ec42edadeec08e1f8555e9,Mbedza (long /hand line),yes,,1000,1000,20,NO,,NO,
103071590131,311fdbae1e814acaa952ab564c9f8460,"Other, specify",no,NO FISHING DONE,0,0,0,NO,,NO,
103071590137,2ce10fc6386840e6855ee3010a428ec2,Mbuka/ntaya/ukonde (gillnet),yes,,800,1200,9500,NO,,NO,
103071590145,ba5dcfc6f42e46f987ec987db024fd16,"Other, specify",yes,VILEPA,1,0,10000,NO,,NO,
103071590169,56f929979a924f0dbf18f8b87bdf1cbd,Mbuka/ntaya/ukonde (gillnet),yes,,1,0,10000,NO,,NO,
103071590172,dc6bcfce915647c9bed0e4ccd5e21a23,Mbuka/ntaya/ukonde (gillnet),yes,,1,0,100000,NO,,NO,
103091620009,8b22280141cf4613b3d2e9ef9da33d90,Chimilira,yes,,1,1,400000,NO,,NO,
103091620014,e5ef30cd32f842f99e81b66256283285,Usipa (mosquito) net,yes,,1,1,550000,YES,1,NO,
103091620017,7bdeb0713a3a4be3adbd57b9d856c8ae,Mbedza (long /hand line),yes,,2,0,10000,NO,,YES,10000
103091620022,441a7583bdfa46bab21f95056eb32d95,Mbedza (long /hand line),yes,,4,4,2000,YES,1500,NO,
103121640016,e4547af32128495991bf03d03a57f8db,Usipa (mosquito) net,yes,,1,0,250000,NO,,YES,20000
103121640031,cdbb743f058e44b7b07d5ca1fd259661,Mbedza (long /hand line),yes,,1,1,15000,NO,,NO,
103121640062,4e809b335b844db28d06a96d374f87f2,Mbuka/ntaya/ukonde (gillnet),no,,0,0,0,NO,,NO,
103121640062,4e809b335b844db28d06a96d374f87f2,Usipa (mosquito) net,yes,,1,1,500000,NO,,NO,
103121650179,cba0fa54bfa74ada8d6382d8aab3fae7,Usipa (mosquito) net,yes,,1,1,0,NO,,NO,
103121660089,ce97d4fe0ebb4eee8c921539ed3c178d,Mbedza (long /hand line),yes,,3,3,500,YES,3,NO,
104011730202,74ee239e031a4bf3932eba77bbe05473,Usipa (mosquito) net,yes,,1,1,0,NO,,NO,
104041780004,c9ab0b29b74e40bc93bbe4d1f541192a,Usipa (mosquito) net,yes,,1,1,500000,NO,,NO,
104041780137,c99c252d0f00467aa85701cf5642b95a,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,1500000,NO,,NO,
106012110004,d44fc041d3cf42928b460ca5e04ead07,"Other, specify",yes,CHIKWITO,1,0,600000,NO,,NO,
