case_id,HHID,fs_i02,fs_i01,fs_i02_Oth,fs_i03,fs_i04a,fs_i04b,fs_i_04c,fs_i04d,fs_i04e,fs_i04f,fs_i04g,fs_i04h,fs_i04i,fs_i04j,fs_i04k,fs_i05a,fs_i05b,fs_i06a,fs_i06b,fs_i06c,fs_i06d,fs_i06e,fs_i06f,fs_i06g,fs_i06h,fs_i06i,fs_i06j,fs_i07a,fs_i07b,fs_i08a,fs_i08b,fs_i08c,fs_i08d,fs_i08e,fs_i08f,fs_i08g,fs_i08h,fs_i08i,fs_i08j,fs_i08k,fs_i08l,fs_i09,fs_i10a,fs_i10b,fs_i11a,fs_i11b,fs_i11c,fs_i11d,fs_i11e,fs_i11f,fs_i11g,fs_i11h,fs_i11i,fs_i11j,fs_i12,fs_i13a,fs_i13b
106012110398,0eb1bca745c64cf0b7c6a3f44598e6de,NCHENI,YES,,12,6,10 KG BAG,,FRESH,,NO,,,,,,60,,720,KILOGRAM,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,0,KILOGRAM,,FRESH,,0,,,,,,,0,YES,,0,KILOGRAM,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
106012110398,0eb1bca745c64cf0b7c6a3f44598e6de,UTAKA,YES,,12,12,10 KG BAG,,FRESH,,NO,,,,,,72,,216,10 KG BAG,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,0,KILOGRAM,,FRESH,,0,,,,,,,0,YES,,0,KILOGRAM,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
303025350064,101f79de544f4e4cb88663fb64e0a353,MLAMBA,YES,,2,5,DOZEN / BUNDLE,,FRESH,,NO,,,,,,60,,5,DOZEN / BUNDLE,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,4,DOZEN / BUNDLE,,FRESH,,2000,,,,,,,2,YES,,1,DOZEN / BUNDLE,,FRESH,,,,,,,1/4,"YES, THE FIGURES MATCHED",
303025350064,101f79de544f4e4cb88663fb64e0a353,MATEMBA,YES,,2,1,KILOGRAM,,FRESH,,NO,,,,,,2,,2,KILOGRAM,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,1,KILOGRAM,,FRESH,,1500,,,,,,,2,YES,,0,OTHER (SPECIFY),KILOGRAM,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
103061570012,13908448d36c494db21d0ddfa12cac1e,NCHENI,YES,,8,50,PIECE,,FRESH,,NO,,,,,,4,,1600,PIECE,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,50,PIECE,,FRESH,,1500,,,,,,,4,YES,,10,PIECE,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
102051410186,13bfa8ac242f4ce3b8f823be3e7daf9d,NCHENI,YES,,16,3,LARGE BASKET,,FRESH,,NO,,,,,,48,,48,LARGE BASKET,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,3,LARGE BASKET,,FRESH,,8000,,,,,,,48,YES,,2,SMALL BASKET,,FRESH,,,,,,,3/4,"YES, THE FIGURES MATCHED",
102011240076,1449dd2a736f4260b3a5c00c48c01665,USIPA,YES,,2,10,LARGE BASKET,,FRESH,,NO,,,,,,20,,20,LARGE BASKET,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,5,LARGE BASKET,,FRESH,,15000,,,,,,,2,YES,,1,SMALL BASKET,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
210854780182,16fda3533fea49ca95e32bb02d73263d,MATEMBA,YES,,4,0,OTHER (SPECIFY),heap,OTHER (SPECIFY),heap,NO,,,,,,no,,0,OTHER (SPECIFY),HEAP,OTHER (SPECIFY),heap,,,,,,"YES, THE FIGURES MATCHED",,1500,OTHER (SPECIFY),HEAP,OTHER (SPECIFY),heap,1500,,,,,,,4,YES,,2,KILOGRAM,,SUN-DRIED,,,,,,,1/2,"YES, THE FIGURES MATCHED",
302125260035,17c2899a18474e2695741dcb6eeb569f,MATEMBA,YES,,2,1,SMALL BASKET,,FRESH,,NO,,,,,,2,,2,SMALL BASKET,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,1,SMALL BASKET,,FRESH,,2500,,,,,,,1,YES,,1,OTHER (SPECIFY),NO 10 PLATE,FRESH,,,,,,,1/4,"YES, THE FIGURES MATCHED",
202012610034,1a66dc2cc2f443e9bf44d36163d02efe,MATEMBA,YES,,12,1,SMALL BASKET,,FRESH,,NO,,,,,,12,,12,SMALL BASKET,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,12,SMALL BASKET,,FRESH,,25000,,,,,,,12,YES,,0,SMALL BASKET,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
