case_id,HHID,fs_j01,fs_j01_oth,fs_j02a,fs_j02b,fs_j02c,fs_j02d,fs_j02e,fs_j02f,fs_02filter,fs_j02h,fs_j02i,fs_j02j,fs_j02k,fs_j02l,fs_j02m,fs_j03a,fs_j03b,fs_j03c,fs_j03d,fs_j03e,fs_j03f,fs_j03filter,fs_j03g,fs_j03h,fs_j03i,fs_j03j,fs_j03k,fs_j03l
101201230097,2270b653f44c4f5dbe4a62d0f32f5813,NCHENI,,1,LARGE BASKET,,SMOKED,,60000,NO,,,,,,,1,LARGE BASKET,,SMOKED,,90000,NO,,,,,,
102011240055,73dde2e9798343728bb0a59b77323d16,USIPA,,6,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,8000,NO,,,,,,,12,OTHER (SPECIFY),5L BUCKET,SUN-DRIED,,6000,NO,,,,,,
102011240076,1449dd2a736f4260b3a5c00c48c01665,USIPA,,0,,,,,,,,,,,,,20,LARGE BASKET,,FRESH,,15000,NO,,,,,,
102011240157,d31225b52319469d945b0fb99de742d0,AGGREGATED,,10,SMALL BASKET,,FRESH,,7000,NO,,,,,,,5,SMALL BASKET,,FRESH,,8000,NO,,,,,,
102011240191,ff1c536c23f74272b538ba40cb8a017c,AGGREGATED,,12,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,10000,NO,,,,,,,72,OTHER (SPECIFY),10 LITRE PAIL,SUN-DRIED,,15000,NO,,,,,,
102011240230,39389dfff68249caab22583818a8e325,USIPA,,3,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,10000,NO,,,,,,,126,OTHER (SPECIFY),HEAPS,SUN-DRIED,,500,NO,,,,,,
102011240234,9d0ee37f03cd4e94a15a4f7d2b2bc218,USIPA,,10,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,7000,NO,,,,,,,10,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,10000,NO,,,,,,
102011250035,e28eae3004dc4ac3b73b01a90e63460a,USIPA,,0,,,,,,,,,,,,,0,,,,,,NO,,,,,,
102011270158,56504e358a454e228f77dab5602f635e,USIPA,,6,SMALL BASKET,,FRESH,,3000,NO,,,,,,,4,SMALL BASKET,,FRESH,,3500,NO,,,,,,
102011280005,77304548243442a1a80d6f0aca549184,USIPA,,5,SMALL BASKET,,FRESH,,2000,NO,,,,,,,5,SMALL BASKET,,FRESH,,5000,NO,,,,,,
102011280030,6680c605758841ddbe900ef0d8f78cbe,USIPA,,7,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,12000,NO,,,,,,,560,OTHER (SPECIFY),HEAP,SUN-DRIED,,200,NO,,,,,,
102011280108,ffd5c8f049f14814af1112b4cba8a886,NCHENI,,0,,,,,,,,,,,,,0,,,,,,NO,,,,,,
102031310144,bd08c9d072c74aa483eebcbf185de1cc,USIPA,,0,,,,,,,,,,,,,5,SMALL BASKET,,FRESH,,3000,NO,,,,,,
102031310144,bd08c9d072c74aa483eebcbf185de1cc,CHAMBO,,0,,,,,,,,,,,,,4,LARGE BASKET,,FRESH,,30000,NO,,,,,,
102031310144,bd08c9d072c74aa483eebcbf185de1cc,MLAMBA,,0,,,,,,,,,,,,,16,SMALL BASKET,,FRESH,,10000,NO,,,,,,
102031340149,fd3fde4884b849f88371920162c589a6,AGGREGATED,,0,,,,,,,,,,,,,2,SMALL BASKET,,FRESH,,10000,NO,,,,,,
102031340186,b16818be1135482e9e3da5ee403698f0,AGGREGATED,,6,SMALL BASKET,,FRESH,,10000,NO,,,,,,,6,SMALL BASKET,,FRESH,,15000,NO,,,,,,
102031350113,aa64297c5a144e4cb978a10ba2317e93,USIPA,,120,OTHER (SPECIFY),5L BUCKET,SUN-DRIED,,1250,NO,,,,,,,360,OTHER (SPECIFY),5L BUCKET,SUN-DRIED,,3000,NO,,,,,,
102041360030,92c84f1ce8c54a3783edccfb56b0a081,USIPA,,8,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,6000,NO,,,,,,,16,OTHER (SPECIFY),5L BUCKET,SUN-DRIED,,4500,NO,,,,,,
