case_id,HHID,fs_b_start_date,fs_b_respondent,fs_b_endHr,fs_c_start_date,fs_c_respondent,fs_c_endHr,fs_d_start_date,fs_d_respondent,fs_d_endHr,fs_e_start_date,fs_e_endHr,fs_f_respondent,fs_f_endHr,fs_f_endMin,fs_g_start_date,fs_g_respondent,fs_g_endHr,fs_h_start_date,fs_h_respondent,fs_h_end_date,fs_i_start_date,fs_i_respondent,fs_i_endHr,fs_j_respondent,fs_j_endHr,fs_j_endMin
101201230097,2270b653f44c4f5dbe4a62d0f32f5813,2020-01-23,1,8,2020-01-23,1,8,2020-01-23,1,8,2020-01-23,8,1,8,45,2020-01-23,1,8,2020-01-23,1,2020-01-23,2020-01-23,1,8,1,8,50
102011240015,57e2c166f1fe4b028513be992b377f45,2019-09-09,1,10,2019-09-09,1,10,2019-09-09,1,10,2019-09-09,10,1,10,21,2019-09-09,1,10,2019-09-09,1,2019-09-09,2019-09-09,1,10,1,10,24
102011240055,73dde2e9798343728bb0a59b77323d16,2019-09-09,1,15,2019-09-09,1,15,2019-09-09,1,15,2019-09-09,15,1,15,42,2019-09-09,1,15,2019-09-09,1,2019-09-09,2019-09-09,1,15,1,15,52
102011240076,1449dd2a736f4260b3a5c00c48c01665,2019-09-09,1,10,2019-09-09,1,10,2019-09-09,1,11,2019-09-09,11,1,11,19,2019-09-09,1,11,2019-09-09,1,2019-09-09,2019-09-09,1,11,1,11,29
102011240095,53b2e4bb42c541f6964ab14b6c917d95,2019-09-09,1,12,2019-09-09,2,12,2019-09-09,2,12,2019-09-09,12,2,12,26,2019-09-10,1,17,2019-09-10,1,2019-09-10,2019-09-10,1,17,1,17,38
102011240127,4ed4eac64a2144b4b1eac7e946cebd36,2019-09-10,1,14,2019-09-10,1,14,2019-09-10,1,14,2019-09-10,14,1,14,40,2019-09-10,1,14,2019-09-10,1,2019-09-10,2019-09-10,1,14,1,14,53
102011240157,d31225b52319469d945b0fb99de742d0,2019-09-09,2,14,2019-09-09,2,15,2019-09-09,2,15,2019-09-09,15,2,15,8,2019-09-09,2,15,2019-09-09,2,2019-09-09,2019-09-09,2,15,2,15,16
102011240191,ff1c536c23f74272b538ba40cb8a017c,2019-09-09,1,15,2019-09-09,1,15,2019-09-09,1,15,2019-09-09,15,1,15,30,2019-09-09,1,15,2019-09-09,1,2019-09-09,2019-09-09,1,15,1,15,42
102011240230,39389dfff68249caab22583818a8e325,2019-09-10,1,14,2019-09-10,1,14,2019-09-10,1,14,2019-09-10,14,1,14,52,2019-09-10,1,14,2019-09-10,1,2019-09-10,2019-09-10,1,14,1,15,1
102011240234,9d0ee37f03cd4e94a15a4f7d2b2bc218,2019-09-09,1,10,2019-09-09,1,10,2019-09-09,1,10,2019-09-09,10,1,10,41,2019-09-09,1,10,2019-09-09,1,2019-09-09,2019-09-09,1,10,1,10,49
102011250035,e28eae3004dc4ac3b73b01a90e63460a,2020-03-06,3,14,2020-03-06,3,14,2020-03-06,3,14,2020-03-06,14,3,14,59,2020-03-06,3,15,2020-03-06,3,2020-03-06,2020-03-06,3,15,3,15,3
102011270158,56504e358a454e228f77dab5602f635e,2020-01-06,2,14,2020-01-06,2,14,2020-01-06,2,14,2020-01-06,14,2,14,15,2020-01-06,2,14,2020-01-06,2,2020-01-06,2020-01-06,2,14,2,14,20
102011280005,77304548243442a1a80d6f0aca549184,2019-08-13,1,16,2019-08-13,1,16,2019-08-13,1,16,2019-08-13,16,1,16,23,2019-08-13,1,16,2019-08-13,1,2019-08-13,2019-08-13,1,16,1,16,32
102011280030,6680c605758841ddbe900ef0d8f78cbe,2019-08-14,2,14,2019-08-14,2,14,2019-08-14,2,14,2019-08-14,15,2,15,8,2019-08-14,2,15,2019-08-14,2,2019-08-14,2019-08-14,2,15,2,15,17
102011280108,ffd5c8f049f14814af1112b4cba8a886,2019-08-15,2,14,2019-08-15,2,14,2019-08-15,2,14,2019-08-15,14,2,14,30,2019-08-15,2,14,2019-08-15,2,2019-08-15,2019-08-15,2,14,2,14,35
102031310144,bd08c9d072c74aa483eebcbf185de1cc,2019-12-03,1,15,2019-12-03,1,15,2019-12-03,1,15,2019-12-03,16,1,16,25,2019-12-03,1,16,2019-12-03,1,2019-12-03,2019-12-03,1,16,1,17,37
102031310209,26598eb9e853402b86c1264b470a8af5,2019-12-04,1,11,2019-12-04,1,12,2019-12-04,1,12,2019-12-04,12,1,12,16,2019-12-04,1,12,2019-12-04,1,2019-12-04,2019-12-04,1,12,1,12,21
102031340149,fd3fde4884b849f88371920162c589a6,2019-07-11,1,13,2019-07-11,1,14,2019-07-11,1,14,2019-07-11,14,1,14,44,2019-07-11,1,14,2019-07-11,1,2019-07-11,2019-07-11,1,14,1,14,59
102031340186,b16818be1135482e9e3da5ee403698f0,2019-07-12,2,13,2019-07-12,2,13,2019-07-12,2,14,2019-07-12,14,2,14,6,2019-07-12,2,14,2019-07-12,2,2019-07-12,2019-07-12,2,14,2,14,16
102031350113,aa64297c5a144e4cb978a10ba2317e93,2020-01-28,2,11,2020-01-28,2,11,2020-01-28,2,11,2020-01-28,11,2,11,43,2020-01-28,2,11,2020-01-28,2,2020-01-28,2020-01-28,2,11,2,11,53
102041360005,548671a98bbc444ebd442b6ca03df8a8,2019-09-24,1,13,2019-09-24,1,14,2019-09-24,1,14,2019-09-24,14,1,14,7,2019-09-24,1,14,2019-09-24,1,2019-09-24,2019-09-24,1,14,1,14,27
102041360030,92c84f1ce8c54a3783edccfb56b0a081,2019-09-23,2,16,2019-09-23,2,16,2019-09-23,2,16,2019-09-23,16,1,16,45,2019-09-23,1,16,2019-09-23,1,2019-09-23,2019-09-23,1,16,1,16,53
102041360136,eae3f62eed2940a0a5bbe2a495410803,2019-09-24,2,15,2019-09-24,2,15,2019-09-24,2,15,2019-09-24,15,2,15,45,2019-09-24,2,15,2019-09-24,2,2019-09-24,2019-09-24,2,15,2,15,47
102041360162,7c2fe5a29b1b4351a4c347dde9f16f5c,2019-09-23,1,14,2019-09-23,1,14,2019-09-23,1,14,2019-09-23,14,1,14,48,2019-09-23,1,14,2019-09-23,1,2019-09-23,2019-09-23,1,14,1,14,55
102041360172,e6ac4fab7d95444ea0f6da2a4942b2bf,2019-09-23,2,12,2019-09-23,2,12,2019-09-23,2,12,2019-09-23,12,2,13,5,2019-09-23,2,13,2019-09-23,2,2019-09-23,2019-09-23,2,13,2,13,13
102041360174,e4f7cfdc75d844a3b86abf1a518e0104,2019-09-23,2,9,2019-09-23,2,9,2019-09-23,2,9,2019-09-23,9,2,9,30,2019-09-23,2,9,2019-09-23,2,2019-09-23,2019-09-23,2,9,2,9,39
102041360188,6568506810014f82bebe97eb14691591,2019-09-24,1,10,2019-09-24,1,10,2019-09-24,1,10,2019-09-24,11,1,11,9,2019-09-24,1,11,2019-09-24,1,2019-09-24,2019-09-24,1,11,1,11,17
