case_id,HHID,ea_id,region,district,reside,interviewDate,hh_wgt,hh_a02a,hh_a03,hh_a06,hh_a11,hh_a13,hh_a22,hh_a23,hh_g09,hh_m00,hh_o0a,hh_s01,hh_w01,hhsize
101011000014,7d78f2c5da59436d9bde9b09ea8a8aaf,10101100,North,Chitipa,RURAL,2019-08-29,93.71939961,10101,100,0014,NO,,14,58,NO,Yes,YES,YES,NO,4
101011000023,7144cc6d29b3485d9e6d6188b255c756,10101100,North,Chitipa,RURAL,2019-08-29,93.71939961,10101,100,0023,NO,,14,64,YES,Yes,YES,YES,NO,4
101011000040,9936d103bf974a93afbc63d477b8b3f2,10101100,North,Chitipa,RURAL,2019-08-28,93.71939961,10101,100,0040,NO,,14,30,NO,Yes,NO,NO,NO,4
101011000071,cc8f211413cd493e83e01a96aba95bbb,10101100,North,Chitipa,RURAL,2019-08-29,93.71939961,10101,100,0071,NO,,14,30,NO,Yes,YES,YES,NO,5
101011000095,e50cfa8d11b44d56891e0fad015b07c7,10101100,North,Chitipa,RURAL,2019-08-28,93.71939961,10101,100,0095,NO,,14,58,NO,Yes,NO,YES,NO,5
101011000115,4c60971913ca49b4beb6def01a0b133f,10101100,North,Chitipa,RURAL,2019-08-29,93.71939961,10101,100,0115,NO,,14,70,YES,Yes,YES,NO,NO,2
101011000126,2fcb31f5f05349fca327dd2fa965b43a,10101100,North,Chitipa,RURAL,2019-08-28,93.71939961,10101,100,0126,NO,,14,30,NO,Yes,NO,NO,NO,3
101011000135,e676d3715e4340b4a4185fca13f23fba,10101100,North,Chitipa,RURAL,2019-08-29,93.71939961,10101,100,0135,NO,,14,64,NO,Yes,NO,NO,NO,7
101011000183,fd4b0adb712045789c7725af9d50301d,10101100,North,Chitipa,RURAL,2019-08-28,93.71939961,10101,100,0183,NO,,14,64,YES,Yes,NO,YES,NO,5
101011000190,cc43ef9ad8aa45c28c6b1ec1daf1effc,10101100,North,Chitipa,RURAL,2019-08-28,93.71939961,10101,100,0190,NO,,14,64,YES,Yes,YES,YES,NO,6
101011000199,09aa9c15d78e449ea768d2b546d7630f,10101100,North,Chitipa,RURAL,2019-08-29,93.71939961,10101,100,0199,NO,,14,30,NO,Yes,YES,NO,NO,3
101011000229,588862e09b294c19806cb1cea206b93f,10101100,North,Chitipa,RURAL,2019-08-28,93.71939961,10101,100,0229,NO,,14,70,YES,Yes,YES,NO,NO,4
101011000253,18895b09d1aa4f2fb29731eff2be86f6,10101100,North,Chitipa,RURAL,2019-08-28,93.71939961,10101,100,0253,NO,,14,70,NO,Yes,NO,NO,NO,6
101011000254,9d7546eefc334970b492a20ce6887403,10101100,North,Chitipa,RURAL,2019-08-29,93.71939961,10101,100,0254,NO,,14,70,NO,Yes,NO,NO,NO,3
101011000258,0e43e65824744e4e9d3399f674d95538,10101100,North,Chitipa,RURAL,2019-08-28,93.71939961,10101,100,0258,NO,,14,58,NO,Yes,YES,NO,NO,5
101011000260,f5624915b2ea42698c93f09e51d55660,10101100,North,Chitipa,RURAL,2019-08-28,93.71939961,10101,100,0260,NO,,14,58,NO,Yes,NO,YES,NO,4
101011010006,5845d8877c264a639aada480e64df344,10101101,North,Chitipa,RURAL,2020-04-02,113.32593032,10101,101,0006,NO,,14,70,NO,Yes,YES,NO,NO,7
101011010016,a32b7bf3a92240689cd1a5d1f522a140,10101101,North,Chitipa,RURAL,2020-04-02,113.32593032,10101,101,0016,NO,,14,70,NO,Yes,NO,NO,NO,5
101011010026,2d61398388e54acd9a37b9e331fa9ccd,10101101,North,Chitipa,RURAL,2020-04-02,113.32593032,10101,101,0026,NO,,14,70,NO,Yes,NO,NO,NO,8
101011010037,273878d185624e4aa08fbf10c88efa82,10101101,North,Chitipa,RURAL,2020-04-02,113.32593032,10101,101,0037,NO,,14,58,NO,Yes,YES,NO,NO,4
101011010046,6237f49f5a174df7884c1693808cbea3,10101101,North,Chitipa,RURAL,2020-04-02,113.32593032,10101,101,0046,NO,,14,58,YES,Yes,NO,NO,NO,3
101011010055,018388a980ac4a1e95269d79f85b0e7c,10101101,North,Chitipa,RURAL,2020-04-02,113.32593032,10101,101,0055,NO,,14,58,NO,Yes,YES,NO,NO,6
101011010064,ce16a1e2640047e3bf515d4bfc7b06f5,10101101,North,Chitipa,RURAL,2020-04-02,113.32593032,10101,101,0064,NO,,14,30,NO,Yes,NO,NO,NO,3
101011010074,a81c6b7867e148acab7667039d5256ad,10101101,North,Chitipa,RURAL,2020-04-02,113.32593032,10101,101,0074,NO,,14,30,NO,Yes,NO,NO,NO,3
101011010083,158e0fe582ac4aac9a7e3c8bca5e5ddf,10101101,North,Chitipa,RURAL,2020-04-03,113.32593032,10101,101,0083,NO,,14,30,YES,Yes,NO,NO,NO,6
