HHID,hh_n09a,hh_n09b,hh_n09c,hh_n10a,hh_n10b,hh_n10_1,hh_n10_2,hh_n10_2_oth,hh_n11,hh_n12a,hh_n12b,hh_n13a,hh_n13b,hh_n14,hh_n14_oth,hh_n15a,hh_n15b,hh_n16a,hh_n16b,hh_n16_oth,hh_n17,hh_n18,hh_n19,hh_n19_oth,hh_n20a,hh_n20b,hh_n20_oth,hh_n21a,hh_n21b,hh_n21c,hh_n22,hh_n23,hh_n24,hh_n24_oth,hh_n25a,hh_n25b,hh_n25c,hh_n25d,hh_n25e,hh_n25f,hh_n25g,hh_n25h,hh_n25i,hh_n25j,hh_n25k,hh_n25l,hh_n25m,hh_n25n,hh_n25o,hh_n25p,hh_n25q,hh_n25r,hh_n25s,hh_n25t,hh_n25u,hh_n25v,hh_n25w,hh_n25x,hh_n25y,hh_n26a,hh_n26b,hh_n26_oth,hh_n27,hh_n28,hh_n29a,hh_n29b,hh_n29_oth,hh_n30a1,hh_n30b1,hh_n30c1,hh_n30d1,hh_n30a2,hh_n30b2,hh_n30c2,hh_n30d2,hh_n30a3,hh_n30b3,hh_n30c3,hh_n30d3,hh_n30a4,hh_n30b4,hh_n30c4,hh_n30d4,hh_n30a5,hh_n30b5,hh_n30c5,hh_n30d5,hh_n30a6,hh_n30b6,hh_n30c6,hh_n30d6,hh_n30a7,hh_n30b7,hh_n30c7,hh_n30d7,hh_n30a8,hh_n30b8,hh_n30c8,hh_n30d8,hh_n31a1,hh_n31b1,hh_n31c1,hh_n31d1,hh_n31a2,hh_n31b2,hh_n31c2,hh_n31d2,hh_n31a3,hh_n31b3,hh_n31c3,hh_n31d3,hh_n32,hh_n34,hh_n35,hh_n36,hh_n37,hh_n38,hh_n39,hh_n40,hh_n41a,hh_n41b,hh_n41c,hh_n41d,hh_n41e,hh_n41f,hh_n41g,hh_n41h,hh_n41h_oth
0004806a172546e99ae07674de291ed7,1,SELLING SAND,8,2,,Yes,,,2,2,,0,0,,,August,2010,No start-up capital,,,Other fixed place,No,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,AVERAGE,AVERAGE,LOW,,,,LOW,,2,2,,,,,,,,,,Bad weather,,,No,YES,,,,2,20,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,25000,,,15000,32000,,,25000,0,0,0,0,0,0,0,0,
0004806a172546e99ae07674de291ed7,2,SALON,95,3,,Yes,,,3,3,,0,0,,,October,2017,Own-savings from non-agriculture,,,Home (outside residence),,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,AVERAGE,1,1,1,,,,,,,,,,Seasonal work,Not profitable,,Yes,,,,,3,18,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,15000,,,,,10000,12000,3500,11000,0,1500,0,0,0,0,0,
000db14d4b284f7cb74f0bd5a03a3550,1,SELLING HONEY,46,1,2,Yes,,,1,1,2,0,0,,,October,2016,Own-savings from agriculture,,,Home (inside residence),,,,Traders,,,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,3,2,2,,,,,,,,,,Seasonal work,,,Yes,,,,,1,10,5,3,2,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,92000,,,,,25000,45000,20000,0,40000,0,0,0,0,0,0,
002b438e06564a0582c78fd7f61bdfef,1,KACHASU BREWERY,11,2,,Yes,,,2,2,,0,0,,,June,2015,Own-savings from agriculture,,,Home (outside residence),,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,LOW,AVERAGE,AVERAGE,HIGH,,,,,,,,1,,,,,,,,,,,Other (Specify),,LACKOFRAWMATERIALS.EGSUGARCANE,Yes,,,,,1,1,4,4,2,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,15000,20000,30000,,,,,10000,5000,0,0,0,0,0,0,0,
003cc90a927c4247b0c40c406cfd8579,1,KACHASU BREWERY,11,1,,Yes,,,1,1,,0,0,,,June,2018,Other (specify),,Worked ganyu labour,Home (outside residence),,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,AVERAGE,AVERAGE,LOW,LOW,LOW,LOW,1,1,1,3,3,,,,,,,,Lack of cash,,,No,YES,,,,1,5,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,10700,,,4000,12000,,,2300,5100,0,0,1200,0,0,0,0,
003e5f39855846ea8361f43e37f851bc,1,CHARCOAL BURNER & SELLER,2,2,,No,Not Available During Time in the EA,,1,2,,0,0,,,July,2014,No start-up capital,,,Home (outside residence),,,,Final consumers,,,NO,NO,NO,NO,YES,Forest/wild park reserve,,,,,,,,,,,,,,,,,3,,,,,,,,,,Other (Specify),,BUSYWITHWORK,No,YES,,,,2,7,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,25000,,,,,0,0,25000,0,0,0,0,0,0,0,0,
004371af0be14f8dbd7db9417472985f,1,BUYING AND SELLING OF BLUEGUM TREES,49,1,,Yes,,,1,1,,1,0,Almost all,,January,2010,Inherited,,,Roadside,,,,Final consumers,Traders,,NO,NO,NO,NO,YES,Forest/wild park reserve,,,AVERAGE,HIGH,HIGH,HIGH,HIGH,LOW,LOW,AVERAGE,HIGH,,,AVERAGE,,,,,,,,,,,,,Bad weather,Seasonal work,,Yes,,,,,1,30,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,12,20000,0,,,,0,,,,400000,,,100000,400000,,,70000,0,20000,220000,0,0,0,0,0,
005061e197a949a599ddf701880f2f99,1,MOULDING AND SELLING BRICKS,47,1,,No,Not Available During Time in the EA,,2,2,,0,0,,,September,2019,No start-up capital,,,Home (outside residence),,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,Seasonal work,,,No,NO,Not profitable,,,1,20,4,2,2,15,4,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,90000,,,0,0,,,50000,40000,0,0,0,0,0,0,0,
005061e197a949a599ddf701880f2f99,2,COOKING AND SELLING MANDASI,47,2,,Yes,,,2,2,,0,0,,,May,2019,Own-savings from non-agriculture,,,Mobile,,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,2,1,2,1,,,,,,,,,Lack of cash,Not profitable,,No,NO,Lack of cash,,,2,14,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,10000,,,10000,15000,,,3000,7000,0,0,0,0,0,0,0,
00614104b33549d396a082c46449461f,1,COOKED FOODS,47,2,,Yes,,,2,2,,0,0,,,September,2018,Own-savings from agriculture,,,Roadside,,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,LOW,,,,,,,,,1,2,2,,,,,,,Seasonal work,,,Yes,,,,,2,14,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,10000,12000,30000,,,,,5000,7000,0,0,0,0,0,0,0,
