region,item_name,item_code,unit_name,Otherunit,unit_code,factor,source
North,MAIZE UFA MGAIWA (NORMAL FLOUR),101,OTHER (SPECIFY),BASIN,23,3.400000095367432,"Collected from the field, Few Observations Not in All Regions"
Central,MAIZE UFA MGAIWA (NORMAL FLOUR),101,OTHER (SPECIFY),BASIN,23,3.400000095367432,"Collected from the field, Few Observations Not in All Regions"
South,MAIZE UFA MGAIWA (NORMAL FLOUR),101,OTHER (SPECIFY),BASIN,23,3.400000095367432,"Collected from the field, Few Observations Not in All Regions"
South,MAIZE UFA MGAIWA (NORMAL FLOUR),101,OTHER (SPECIFY),CUP,23,.4449999928474426,Collected from the Field
South,MAIZE UFA MGAIWA (NORMAL FLOUR),101,OTHER (SPECIFY),3LITRE BUCKET,23,2.328000068664551,Imputed Factor Based on Other Item-Units
North,MAIZE UFA MGAIWA (NORMAL FLOUR),101,TINA ,,25,.3230000138282776,Collected from the Field
Central,MAIZE UFA MGAIWA (NORMAL FLOUR),101,TINA ,,25,.2450000047683716,Collected from the Field
South,MAIZE UFA MGAIWA (NORMAL FLOUR),101,TINA ,,25,.300000011920929,Collected from the Field
North,MAIZE UFA MGAIWA (NORMAL FLOUR),101,5 LITRE BUCKET(Chigoba),,26,3.880000114440918,Imputed Factor Based on Other Item-Units
Central,MAIZE UFA MGAIWA (NORMAL FLOUR),101,5 LITRE BUCKET(Chigoba),,26,3.880000114440918,Imputed Factor Based on Other Item-Units
South,MAIZE UFA MGAIWA (NORMAL FLOUR),101,5 LITRE BUCKET(Chigoba),,26,3.880000114440918,Imputed Factor Based on Other Item-Units
North,MAIZE UFA MGAIWA (NORMAL FLOUR),101,PAIL,,4,1.933333277702332,Collected from the Field
Central,MAIZE UFA MGAIWA (NORMAL FLOUR),101,PAIL,,4,5.13224983215332,Collected from the Field
South,MAIZE UFA MGAIWA (NORMAL FLOUR),101,PAIL,,4,5.14900016784668,Collected from the Field
North,MAIZE UFA MGAIWA (NORMAL FLOUR),101,PAIL SMALL,,4A,3.661499977111816,Collected from the Field
Central,MAIZE UFA MGAIWA (NORMAL FLOUR),101,PAIL SMALL,,4A,3.940000057220459,Collected from the Field
South,MAIZE UFA MGAIWA (NORMAL FLOUR),101,PAIL SMALL,,4A,4,Collected from the Field
North,MAIZE UFA MGAIWA (NORMAL FLOUR),101,PAIL MEDIUM,,4B,6.360499858856201,Collected from the Field
Central,MAIZE UFA MGAIWA (NORMAL FLOUR),101,PAIL MEDIUM,,4B,5.985000133514404,Collected from the Field
South,MAIZE UFA MGAIWA (NORMAL FLOUR),101,PAIL MEDIUM,,4B,6.616999626159668,Collected from the Field
North,MAIZE UFA MGAIWA (NORMAL FLOUR),101,PAIL LARGE,,4C,12.89999961853027,Collected from the Field
Central,MAIZE UFA MGAIWA (NORMAL FLOUR),101,PAIL LARGE,,4C,12.91499996185303,Collected from the Field
South,MAIZE UFA MGAIWA (NORMAL FLOUR),101,PAIL LARGE,,4C,13.5,Collected from the Field
North,MAIZE UFA MGAIWA (NORMAL FLOUR),101,NO. 10 PLATE ,,6,.0799999982118607,Collected from the Field
Central,MAIZE UFA MGAIWA (NORMAL FLOUR),101,NO. 10 PLATE ,,6,.135000005364418,Collected from the Field
South,MAIZE UFA MGAIWA (NORMAL FLOUR),101,NO. 10 PLATE ,,6,.1274999976158142,Collected from the Field
North,MAIZE UFA MGAIWA (NORMAL FLOUR),101,NO. 12 PLATE ,,7,.1449999958276749,Collected from the Field
Central,MAIZE UFA MGAIWA (NORMAL FLOUR),101,NO. 12 PLATE ,,7,.2150000035762787,Collected from the Field
South,MAIZE UFA MGAIWA (NORMAL FLOUR),101,NO. 12 PLATE ,,7,.2314999997615814,Collected from the Field
North,MAIZE UFA REFINED (FINE FLOUR),102,OTHER (SPECIFY),BASIN,23,3.404999971389771,"Collected from the field, Few Observations Not in All Regions"
Central,MAIZE UFA REFINED (FINE FLOUR),102,OTHER (SPECIFY),BASIN,23,3.404999971389771,"Collected from the field, Few Observations Not in All Regions"
South,MAIZE UFA REFINED (FINE FLOUR),102,OTHER (SPECIFY),PIECE,23,.1299999952316284,Collected from the Field
South,MAIZE UFA REFINED (FINE FLOUR),102,OTHER (SPECIFY),CUP,23,.4900000095367432,Collected from the Field
South,MAIZE UFA REFINED (FINE FLOUR),102,OTHER (SPECIFY),BASIN,23,3.404999971389771,"Collected from the field, Few Observations Not in All Regions"
North,MAIZE UFA REFINED (FINE FLOUR),102,TINA ,,25,.2879999876022339,Collected from the Field
Central,MAIZE UFA REFINED (FINE FLOUR),102,TINA ,,25,.2175000011920929,Collected from the Field
South,MAIZE UFA REFINED (FINE FLOUR),102,TINA ,,25,.3240000009536743,Collected from the Field
North,MAIZE UFA REFINED (FINE FLOUR),102,5 LITRE BUCKET(Chigoba),,26,3.065999984741211,"Collected from the field, Few Observations Not in All Regions"
Central,MAIZE UFA REFINED (FINE FLOUR),102,5 LITRE BUCKET(Chigoba),,26,3.065999984741211,"Collected from the field, Few Observations Not in All Regions"
South,MAIZE UFA REFINED (FINE FLOUR),102,5 LITRE BUCKET(Chigoba),,26,3.065999984741211,"Collected from the field, Few Observations Not in All Regions"
North,MAIZE UFA REFINED (FINE FLOUR),102,PAIL,,4,1.833333373069763,Collected from the Field
Central,MAIZE UFA REFINED (FINE FLOUR),102,PAIL,,4,5.015500068664551,Collected from the Field
South,MAIZE UFA REFINED (FINE FLOUR),102,PAIL,,4,3.106199979782104,Collected from the Field
North,MAIZE UFA REFINED (FINE FLOUR),102,PAIL SMALL,,4A,3.461999893188477,Collected from the Field
Central,MAIZE UFA REFINED (FINE FLOUR),102,PAIL SMALL,,4A,3.505000114440918,Collected from the Field
South,MAIZE UFA REFINED (FINE FLOUR),102,PAIL SMALL,,4A,4.308000087738037,Collected from the Field
North,MAIZE UFA REFINED (FINE FLOUR),102,PAIL MEDIUM,,4B,7.717000007629395,Collected from the Field
Central,MAIZE UFA REFINED (FINE FLOUR),102,PAIL MEDIUM,,4B,5.224999904632568,Collected from the Field
South,MAIZE UFA REFINED (FINE FLOUR),102,PAIL MEDIUM,,4B,7.116499900817871,Collected from the Field
North,MAIZE UFA REFINED (FINE FLOUR),102,PAIL LARGE,,4C,12.98200035095215,Collected from the Field
Central,MAIZE UFA REFINED (FINE FLOUR),102,PAIL LARGE,,4C,10.83099937438965,Collected from the Field
South,MAIZE UFA REFINED (FINE FLOUR),102,PAIL LARGE,,4C,15,Collected from the Field
North,MAIZE UFA REFINED (FINE FLOUR),102,No 10 PLATE,,6,.2138157933950424,Collected from the Field
Central,MAIZE UFA REFINED (FINE FLOUR),102,NO. 10 PLATE ,,6,.1049999967217445,Collected from the Field
South,MAIZE UFA REFINED (FINE FLOUR),102,No 10 PLATE,,6,.1679999977350235,Collected from the Field
North,MAIZE UFA REFINED (FINE FLOUR),102,NO. 12 PLATE ,,7,.125,Collected from the Field
Central,MAIZE UFA REFINED (FINE FLOUR),102,NO. 12 PLATE ,,7,.1439999938011169,Collected from the Field
South,MAIZE UFA REFINED (FINE FLOUR),102,No 12 PLATE,,7,.2661785781383514,Collected from the Field
