region,crop_code,unit_name,unit_code,condition,conversion,collectionround
North,MAIZE LOCAL,OX-CART,12,S: Shelled,468,Collected in Only 2016
Central,MAIZE LOCAL,OX-CART,12,S: Shelled,468,Collected in Only 2016
South,MAIZE LOCAL,OX-CART,12,S: Shelled,468,Collected in Only 2016
North,MAIZE LOCAL,OX-CART,12,U: Unshelled,388.44,Collected in Only 2016
Central,MAIZE LOCAL,OX-CART,12,U: Unshelled,682,Collected In Both 2016 and 2019
South,MAIZE LOCAL,OX-CART,12,U: Unshelled,388.44,Collected in Only 2016
North,MAIZE LOCAL,PAIL (MEDIUM),14,S: Shelled,10,Collected in Only 2019
Central,MAIZE LOCAL,PAIL (MEDIUM),14,S: Shelled,8.0450001,Collected in Only 2019
South,MAIZE LOCAL,PAIL (MEDIUM),14,S: Shelled,8.9379997,Collected in Only 2019
North,MAIZE LOCAL,50 KG BAG,2,S: Shelled,51.599998,Collected In Both 2016 and 2019
Central,MAIZE LOCAL,50 KG BAG,2,S: Shelled,50,Collected In Both 2016 and 2019
South,MAIZE LOCAL,50 KG BAG,2,S: Shelled,51,Collected In Both 2016 and 2019
North,MAIZE LOCAL,50 KG BAG,2,U: Unshelled,46.064999,Collected in Only 2016
Central,MAIZE LOCAL,50 KG BAG,2,U: Unshelled,44.232082,Collected in Only 2016
South,MAIZE LOCAL,50 KG BAG,2,U: Unshelled,44.274353,Collected in Only 2016
North,MAIZE LOCAL,90 KG BAG,3,S: Shelled,99.900002,Collected in Only 2016
Central,MAIZE LOCAL,90 KG BAG,3,S: Shelled,95.925003,Collected in Only 2016
South,MAIZE LOCAL,90 KG BAG,3,S: Shelled,96.01667,Collected in Only 2016
North,MAIZE LOCAL,90 KG BAG,3,U: Unshelled,82.917,Collected in Only 2016
Central,MAIZE LOCAL,90 KG BAG,3,U: Unshelled,79.617752,Collected in Only 2016
South,MAIZE LOCAL,90 KG BAG,3,U: Unshelled,79.693832,Collected in Only 2016
North,MAIZE LOCAL,PAIL (SMALL),4,S: Shelled,4.4449997,Collected In Both 2016 and 2019
Central,MAIZE LOCAL,PAIL (SMALL),4,S: Shelled,5.29,Collected In Both 2016 and 2019
South,MAIZE LOCAL,PAIL (SMALL),4,S: Shelled,5.25,Collected In Both 2016 and 2019
Central,MAIZE LOCAL,PAIL (SMALL),4,U: Unshelled,3.8301039,Collected in Only 2016
North,MAIZE LOCAL,PAIL (LARGE),5,S: Shelled,18.700001,Collected In Both 2016 and 2019
Central,MAIZE LOCAL,PAIL (LARGE),5,S: Shelled,16.684999,Collected In Both 2016 and 2019
South,MAIZE LOCAL,PAIL (LARGE),5,S: Shelled,18,Collected In Both 2016 and 2019
North,MAIZE LOCAL,PAIL (LARGE),5,U: Unshelled,14.981501,Collected in Only 2016
Central,MAIZE LOCAL,PAIL (LARGE),5,U: Unshelled,14.386667,Collected in Only 2016
South,MAIZE LOCAL,PAIL (LARGE),5,U: Unshelled,14.7325,Collected in Only 2016
North,MAIZE COMPOSITE/OPV,OX-CART,12,S: Shelled,468,Collected in Only 2016
Central,MAIZE COMPOSITE/OPV,OX-CART,12,S: Shelled,468,Collected in Only 2016
South,MAIZE COMPOSITE/OPV,OX-CART,12,S: Shelled,468,Collected in Only 2016
North,MAIZE COMPOSITE/OPV,OX-CART,12,U: Unshelled,388.44,Collected in Only 2016
Central,MAIZE COMPOSITE/OPV,OX-CART,12,U: Unshelled,682,Collected In Both 2016 and 2019
South,MAIZE COMPOSITE/OPV,OX-CART,12,U: Unshelled,388.44,Collected in Only 2016
North,MAIZE COMPOSITE/OPV,PAIL (MEDIUM),14,S: Shelled,10,Collected in Only 2019
Central,MAIZE COMPOSITE/OPV,PAIL (MEDIUM),14,S: Shelled,8.0450001,Collected in Only 2019
South,MAIZE COMPOSITE/OPV,PAIL (MEDIUM),14,S: Shelled,8.9379997,Collected in Only 2019
North,MAIZE COMPOSITE/OPV,50 KG BAG,2,S: Shelled,51.599998,Collected In Both 2016 and 2019
Central,MAIZE COMPOSITE/OPV,50 KG BAG,2,S: Shelled,50,Collected In Both 2016 and 2019
South,MAIZE COMPOSITE/OPV,50 KG BAG,2,S: Shelled,51,Collected In Both 2016 and 2019
North,MAIZE COMPOSITE/OPV,50 KG BAG,2,U: Unshelled,46.064999,Collected in Only 2016
Central,MAIZE COMPOSITE/OPV,50 KG BAG,2,U: Unshelled,44.232082,Collected in Only 2016
South,MAIZE COMPOSITE/OPV,50 KG BAG,2,U: Unshelled,44.274353,Collected in Only 2016
North,MAIZE COMPOSITE/OPV,90 KG BAG,3,S: Shelled,99.900002,Collected in Only 2016
Central,MAIZE COMPOSITE/OPV,90 KG BAG,3,S: Shelled,95.925003,Collected in Only 2016
South,MAIZE COMPOSITE/OPV,90 KG BAG,3,S: Shelled,96.01667,Collected in Only 2016
North,MAIZE COMPOSITE/OPV,90 KG BAG,3,U: Unshelled,82.917,Collected in Only 2016
Central,MAIZE COMPOSITE/OPV,90 KG BAG,3,U: Unshelled,79.617752,Collected in Only 2016
South,MAIZE COMPOSITE/OPV,90 KG BAG,3,U: Unshelled,79.693832,Collected in Only 2016
North,MAIZE COMPOSITE/OPV,PAIL (SMALL),4,S: Shelled,4.4449997,Collected In Both 2016 and 2019
Central,MAIZE COMPOSITE/OPV,PAIL (SMALL),4,S: Shelled,5.29,Collected In Both 2016 and 2019
South,MAIZE COMPOSITE/OPV,PAIL (SMALL),4,S: Shelled,5.25,Collected In Both 2016 and 2019
Central,MAIZE COMPOSITE/OPV,PAIL (SMALL),4,U: Unshelled,3.8301039,Collected in Only 2016
North,MAIZE COMPOSITE/OPV,PAIL (LARGE),5,S: Shelled,18.700001,Collected In Both 2016 and 2019
Central,MAIZE COMPOSITE/OPV,PAIL (LARGE),5,S: Shelled,16.684999,Collected In Both 2016 and 2019
South,MAIZE COMPOSITE/OPV,PAIL (LARGE),5,S: Shelled,18,Collected In Both 2016 and 2019
North,MAIZE COMPOSITE/OPV,PAIL (LARGE),5,U: Unshelled,14.981501,Collected in Only 2016
Central,MAIZE COMPOSITE/OPV,PAIL (LARGE),5,U: Unshelled,14.386667,Collected in Only 2016
South,MAIZE COMPOSITE/OPV,PAIL (LARGE),5,U: Unshelled,14.7325,Collected in Only 2016
North,MAIZE HYBRID,OX-CART,12,S: Shelled,468,Collected in Only 2016
Central,MAIZE HYBRID,OX-CART,12,S: Shelled,468,Collected in Only 2016
South,MAIZE HYBRID,OX-CART,12,S: Shelled,468,Collected in Only 2016
North,MAIZE HYBRID,OX-CART,12,U: Unshelled,388.44,Collected in Only 2016
Central,MAIZE HYBRID,OX-CART,12,U: Unshelled,682,Collected In Both 2016 and 2019
South,MAIZE HYBRID,OX-CART,12,U: Unshelled,388.44,Collected in Only 2016
North,MAIZE HYBRID,PAIL (MEDIUM),14,S: Shelled,10,Collected in Only 2019
Central,MAIZE HYBRID,PAIL (MEDIUM),14,S: Shelled,8.0450001,Collected in Only 2019
South,MAIZE HYBRID,PAIL (MEDIUM),14,S: Shelled,8.9379997,Collected in Only 2019
North,MAIZE HYBRID,50 KG BAG,2,S: Shelled,51.599998,Collected In Both 2016 and 2019
Central,MAIZE HYBRID,50 KG BAG,2,S: Shelled,50,Collected In Both 2016 and 2019
South,MAIZE HYBRID,50 KG BAG,2,S: Shelled,51,Collected In Both 2016 and 2019
North,MAIZE HYBRID,50 KG BAG,2,U: Unshelled,46.064999,Collected in Only 2016
Central,MAIZE HYBRID,50 KG BAG,2,U: Unshelled,44.232082,Collected in Only 2016
