region,crop_code,unit_name,unit_code,conversion,collectionround
North,CASSAVA,PAIL MEDIUM,14,10.316,Collected In Both 2016 and 2019
Central,CASSAVA,PAIL MEDIUM,14,7.4000001,Collected In Both 2016 and 2019
South,CASSAVA,PAIL MEDIUM,14,7.5250001,Collected In Both 2016 and 2019
North,CASSAVA,50 KG BAG,2,54.799999,Collected In Both 2016 and 2019
Central,CASSAVA,50 KG BAG,2,53.700001,Collected In Both 2016 and 2019
South,CASSAVA,50 KG BAG,2,66,Collected In Both 2016 and 2019
North,CASSAVA,PAIL LARGE,5,20.1,Collected In Both 2016 and 2019
Central,CASSAVA,PAIL LARGE,5,15.2875,Collected In Both 2016 and 2019
South,CASSAVA,PAIL LARGE,5,14.655,Collected In Both 2016 and 2019
North,CASSAVA,PIECE,9,.49599999,Collected In Both 2016 and 2019
Central,CASSAVA,PIECE,9,.35499999,Collected In Both 2016 and 2019
South,CASSAVA,PIECE,9,.34999999,Collected In Both 2016 and 2019
Central,TEA,50 KG BAG,2,42.75,Collected in Only 2016
South,TEA,50 KG BAG,2,25.25,Collected in Only 2016
North,MANGO,PAIL MEDIUM,14,10.228001,Collected In Both 2016 and 2019
Central,MANGO,PAIL MEDIUM,14,7.895,Collected in Only 2019
South,MANGO,PAIL MEDIUM,14,8.2129993,Collected In Both 2016 and 2019
North,MANGO,50 KG BAG,2,52.900002,Collected in Only 2019
Central,MANGO,50 KG BAG,2,48.5,Collected In Both 2016 and 2019
South,MANGO,50 KG BAG,2,48,Collected In Both 2016 and 2019
North,MANGO,PAIL SMALL,4,4.552,Collected In Both 2016 and 2019
Central,MANGO,PAIL SMALL,4,5.1224999,Collected in Only 2019
South,MANGO,PAIL SMALL,4,4.967,Collected In Both 2016 and 2019
North,MANGO,PAIL LARGE,5,19.6,Collected In Both 2016 and 2019
Central,MANGO,PAIL LARGE,5,15.700001,Collected In Both 2016 and 2019
South,MANGO,PAIL LARGE,5,17,Collected In Both 2016 and 2019
North,MANGO,PIECE,9,.28,Collected In Both 2016 and 2019
Central,MANGO,PIECE,9,.24125001,Collected In Both 2016 and 2019
South,MANGO,PIECE,9,.245,Collected In Both 2016 and 2019
North,ORANGE,PAIL MEDIUM,14,8.3059998,Collected in Only 2019
Central,ORANGE,PAIL MEDIUM,14,6.3829999,Collected in Only 2019
South,ORANGE,PAIL MEDIUM,14,7.2489996,Collected in Only 2019
North,ORANGE,50 KG BAG,2,45.299999,Collected In Both 2016 and 2019
