position,name,type,isnumeric,format,vallab,varlab
1,HHID,str32,0,%9s,,Survey Solutions Unique HH Identifier
2,gardenid,str4,0,%9s,,Garden ID
3,plotid,str3,0,%9s,,Plot ID
4,case_id,str12,0,%12s,,Unique Household Identifier
5,ag_d01,byte,1,%6.0f,,Decision Maker in Household Concerning Crops
6,ag_d01_1,byte,1,%6.0f,ag_d01_1,Another Household Member who makes decisions?
7,ag_d01_2a,byte,1,%6.0f,,Second Household Member who makes decisions
8,ag_d01_2b,byte,1,%10.0g,,Third Household Member who makes decisions
9,ag_d02,byte,1,%6.0f,,ID of Respondent
10,ag_d14,byte,1,%6.0f,ag_d14,Garden Usage Status in Reference Rainy Season
11,ag_d20a,byte,1,%25.0g,crops,1st Crop
12,ag_d20b,byte,1,%25.0g,crops,2nd Crop
13,ag_d20c,byte,1,%25.0g,crops,3rd Crop
14,ag_d20d,byte,1,%25.0g,crops,4th Crop
15,ag_d20e,byte,1,%25.0g,crops,5th Crop
16,ag_d20_oth,str26,0,%26s,,Other Crop
17,ag_d20b_oth,str18,0,%18s,,Other Crop 2
18,ag_d21,byte,1,%6.0f,ag_d21,Predominant Soil Type on Plot
19,ag_d21_oth,str42,0,%42s,,Other Specified Predominant Soil Type
20,ag_d22,byte,1,%6.0f,ag_d22,Soil quality of Plot
21,ag_d23,byte,1,%6.0f,ag_d23,Respondent self reported rate of erosion on Plot
22,ag_d24a,byte,1,%15.0g,erosion,First cause of soil erosion
23,ag_d24b,byte,1,%15.0g,erosion,Second cause of soil erosion
24,ag_d24_oth,str35,0,%35s,,Other Specified cause of soil erosion
25,ag_d25a,byte,1,%21.0g,control,First type of erosion control/water harvesting facilities are on this plot
26,ag_d25b,byte,1,%21.0g,control,Second type of erosion control/water harvesting facilities are on this plot
27,ag_d25_oth,str48,0,%48s,,Other specified erosion control/water harvesting facility
28,ag_d25_1a,byte,1,%6.0f,ag_d25_1a,When Investment in First Structure was made
29,ag_d25_1b,byte,1,%6.0f,ag_d25_1b,When Investment in Second Structure was made
30,ag_d25_2a,byte,1,%46.0g,reasons,First main reason for not investing in erosion control/water harvesting facility
31,ag_d25_2b,byte,1,%46.0g,reasons,Second main reason for not investing in erosion control/water harvesting facilit
32,ag_d25_2_oth,str153,0,%153s,,Other Specified reason for not investing in erosion control/water harvesting fac
33,ag_d26,byte,1,%6.0f,ag_d26,What is the slope of this plot [PLOT]?
34,ag_d27,byte,1,%6.0f,ag_d27,Is this plot ([PLOT]) swamp/ wetland?
35,ag_d28a,byte,1,%21.0g,irrigation,"What systems of irrigation, if any, are on this plot [PLOT](1ST)?"
36,ag_d28b,byte,1,%21.0g,irrigation,"What systems of irrigation, if any, are on this plot [PLOT](2ND)?"
37,ag_d28_oth,str25,0,%9s,,Specify the systems of irrigation that are on this[PLOT]
38,ag_d29,byte,1,%6.0f,ag_d29,What is the method of irrigating plants/puring water on plants on th
39,ag_d29_oth,str60,0,%60s,,Specify the method of obtaining water for this [PLOT].
40,ag_d30,byte,1,%6.0f,ag_d30,What is the source of water on this[PLOT]?
41,ag_d30_oth,str13,0,%9s,,Specify what is the source of water on this[PLOT]
42,ag_d32,int,1,%6.0f,ag_d32,What was the most recent year in which this [PLOT] was left fallow?
