position,name,type,isnumeric,format,vallab,varlab
1,case_id,str12,0,%12s,,Unique Household Identifier
2,HHID,str32,0,%9s,,Survey Solutions Unique HH Identifier
3,gardenid,str4,0,%9s,,Garden ID
4,plotid,str3,0,%9s,,Plot ID
5,crop_code,byte,1,%25.0f,ag_G_crop_roster__id,Crop ID
6,ag_g0a,byte,1,%6.0f,ag_ga,Did you or anyone in your HH plant any crops during the [RS]
7,ag_g0e_1,int,1,%6.0f,ag_g0a,What is the primary variety of [CROP] being cultivated on this [PLOT]?
8,ag_g0e_1_oth,str16,0,%16s,,Please specify other variety
9,ag_g0f,byte,1,%6.0f,ag_g0b,Is the primary variety of [CROP] local or improved?
10,ag_g0g,byte,1,%6.0f,ag_g0c,Is this variety recyclable?
11,ag_g0h,long,1,%6.0f,,"When, [which year] did you last buy the seed you planted on this plot?"
12,ag_g01,byte,1,%6.0f,ag_g01,What type of crop stand was on the [PLOT]?
13,ag_g02,byte,1,%6.0f,ag_g02,Was the crop planted in the entire area of the plot?
14,ag_g03,byte,1,%6.0f,ag_g03,"Approximately, how much of the [PLOT] is under [CROP]?"
15,ag_g04a,double,1,%6.2f,,How much seed did you plant for the [CROP] on this [PLOT] during the[RS]?(QUANT)
16,ag_g04b,byte,1,%6.0f,ag_g04b,How much seed did you plant for the [CROP] on this [PLOT] during the[RS]?(UNIT)
17,ag_g04b_oth,str24,0,%24s,,Specify Unit
18,ag_g05a,byte,1,%6.0f,ag_g05a,When did you plant the seeds for the [CROP] on this [PLOT]during the[RS]?(MONTH)
19,ag_g05b,int,1,%6.0f,,When did you plant the seeds for the [CROP] on this [PLOT]during the[RS]?(YEAR)
20,ag_g10,byte,1,%6.0f,ag_g10,Was the area harvested less than the area planted?
21,ag_g11a,byte,1,%19.0g,ag_g11,Why was the area harvested less than the area planted? (1ST)
22,ag_g11b,byte,1,%19.0g,ag_g11,Why was the area harvested less than the area planted? (2ND)
23,ag_g11_oth,str151,0,%151s,,Specify the other reason why the area harvested was less than the area...
24,ag_g11_1,byte,1,%6.0f,ag_g11_1,What was the main disease affecting the plants in the plot?
25,ag_g11_1oth,str10,0,%10s,,Please specify the main disease affecting the plants in the plot...
26,ag_g11_2,long,1,%6.0f,,Approximately what percentage of [PLOT] was planted with [CROP]?
27,ag_g12a,byte,1,%6.0f,ag_g12a,What months did the harvest start?
28,ag_g12b,byte,1,%6.0f,ag_g12b,What months did the harvest end?
29,ag_g13a,double,1,%6.2f,,How much [CROP] did you harvest from this [PLOT] during the [RS]? (QUANT)
30,ag_g13b,byte,1,%6.0f,ag_g13b,How much [CROP] did you harvest from this [PLOT] during the [RS]? (UNIT)
31,ag_g13b_oth,str38,0,%38s,,Specify Unit
32,ag_g13c,byte,1,%6.0f,ag_g13c,How much [CROP] did you harvest from this [PLOT] during the [RS]? (S/U)
33,ag_g13_1,long,1,%6.0f,,What is the estimated value of [CROP] harvested?
34,ag_g14a,byte,1,%10.0g,,Who in the HH makes decision concerning the use of output from this plot(#ID1)?
35,ag_g14b,byte,1,%10.0g,,Who in the HH makes decision concerning the use of output from this plot(#ID2)?
