position,name,type,isnumeric,format,vallab,varlab
1,case_id,str12,0,%12s,,Unique Household Identifier
2,HHID,str32,0,%9s,,Survey Solutions Unique HH Identifier
3,ag_l0c,float,1,%35.0g,input_type,Input Type
4,ag_l0c_oth,str34,0,%34s,,Input Type Other (Specify)
5,ag_l0a,byte,1,%6.0f,ag_l0a,Did youor anyone in your household cultivate any plots during the reference [DS]
6,ag_l01a,int,1,%6.0f,,"ENUMERATOR: FOR ORGANIC FERTILIZER (MANURE), ENTER THE TOTAL QUANTITY, AS"
7,ag_l01b,byte,1,%6.0f,ag_l01b,UNIT
8,ag_l01b_oth,str24,0,%24s,,SPECIFY UNIT
9,ag_l02,byte,1,%6.0f,ag_l02,ENUMERATOR: ASK THE FARMER WHETHER THE FIGURES FROM QUESTION 1 CORRESPONDS TO...
10,ag_l03,byte,1,%6.0f,ag_l03,"During reference season, did all of this [INPUT] come from purchases using coupo"
11,ag_l04,byte,1,%6.0f,ag_l04,Did you purchase any [INPUT] w/out coupons/vouchers/purchase any [INPUT] on cred
12,ag_l06a,byte,1,%6.0f,,Source of [INPUT] was purchased w/out coupons/vouchers/purchased credit? (ID 1)
13,ag_l06b,byte,1,%6.0f,,Source of [INPUT] was purchased w/out coupons/vouchers/purchased credit? (ID 2)
14,ag_l07a,int,1,%6.0f,,How much of [INPUT] was purchased w/out coupons/vouchers/purchased credit? (Q)
15,ag_l07b,byte,1,%6.0f,ag_l07b,How much of [INPUT] was purchased w/out coupons/vouchers/purchased credit? (U)
16,ag_l07b_oth,str18,0,%18s,,Please specify other unit.
17,ag_l08,byte,1,%6.0f,ag_l08,Main mode used to tranport [INPUT] purchased on credit w/out coupons/vouchers/pu
18,ag_l08_oth,str23,0,%23s,,Other specify.
19,ag_l09,long,1,%6.0f,,How much did you pay for transportation to acquire all of the input (ORGANI
20,ag_l10,long,1,%6.0f,,What was the value of all of the input (ORGANIC FERTILIZER) that you purcha
21,ag_l11,byte,1,%6.0f,ag_l11,How did you finance this input (ORGANIC FERTILIZER) purchase?
22,ag_l12,int,1,%6.0f,,How much did you pay up-front for this input (ORGANIC FERTILIZER) pu
23,ag_l13,long,1,%6.0f,,How much did you repay/will you repay?MK
24,ag_l14a,byte,1,%6.0f,,What was the source of credit for this [INPUT] purchased? (ID CODE #1)
25,ag_l14b,byte,1,%6.0f,,What was the source of credit for this [INPUT] purchased? (ID CODE #2)
26,ag_l37,byte,1,%6.0f,ag_l37,Did you receive any of the[INPUT]for free during the[RS]?
27,ag_l38a,int,1,%6.0f,,How much of[INPUT]did you receive in total for free during[RS](QUANT)?
28,ag_l38b,byte,1,%6.0f,ag_l38b,How much of[INPUT]did you receive in total for free during[RS](UNIT)?
29,ag_l38b_oth,str23,0,%23s,,How much of[INPUT]did you receive ....(Other Unit)?
30,ag_l39a,byte,1,%6.0f,,"During[RS],from whom did you receive most of the[INPUT]for free(1st)?"
31,ag_l39b,byte,1,%6.0f,,"During[RS],from whom did you receive most of the[INPUT]for free(2nd)?"
32,ag_l40,int,1,%6.0f,,Total payment for transportation to acquire all of[INPUT]received for free?
33,ag_l41,byte,1,%6.0f,ag_l41,Was any of the[INPUT]used during the[RS]left over from a previous season?
34,ag_l42a,int,1,%6.0f,,How much of[INPUT]used during[RS]was left over from a previous season(QUANT)?
35,ag_l42b,byte,1,%6.0f,ag_l42b,How much of[INPUT]used during[RS]was left over from a previous season(UNIT)?
36,ag_l42b_oth,str10,0,%10s,,How much of[INPUT]used during[RS]was left over from a previous season(O/S)?
37,ag_l43,byte,1,%6.0f,ag_l43,Use any ORGANIC FERTILIZER out of own-production or own animals during [RS]?
38,ag_l44a,int,1,%6.0f,,How much ORG FERT was used out of own-production or own animals during[RS]?QUANT
39,ag_l44b,byte,1,%6.0f,ag_l44b,How much ORG FERT was used out of own-production or own animals during[RS]?UNIT
40,ag_l44b_oth,str12,0,%12s,,How much ORG FERT was used out of own-production or own animals during[RS]?O/S
