position,name,type,isnumeric,format,vallab,varlab
1,HHID,str32,0,%9s,,Survey Solutions Unique HH Identifier
2,ag_moduleB_2_start_date,str10,0,%9s,,ENUMERATOR: RECORD START DATE &amp; TIME FOR MODULE B-2:
3,ag_moduleC_start_date,str10,0,%9s,,ENUMERATOR: RECORD START DATE &amp; TIME FOR MODULE C:
4,ag_moduleC_startHr,byte,1,%6.0f,,HOUR
5,ag_moduleC_startMin,byte,1,%6.0f,,MINUTES
6,ag_moduleC_respondent,byte,1,%6.0f,,ENUMERATOR: RECORD PRIMARY RESPONDENT ID FOR MODULE C:
7,ag_moduleC_endHr,byte,1,%6.0f,,ENUMERATOR: RECORD END TIME FOR MODULE C:HOUR
8,ag_moduleC_endMin,byte,1,%6.0f,,MINUTES
9,ag_moduleD_start_date,str10,0,%9s,,ENUMERATOR: RECORD START DATE &amp; TIME FOR MODULE D:
10,ag_moduleD_startHr,byte,1,%6.0f,,HOUR
11,ag_moduleD_startMin,byte,1,%6.0f,,MINUTES
12,ag_moduleD_respondent,byte,1,%6.0f,,ENUMERATOR: RECORD PRIMARY RESPONDENT ID FOR MODULE D:
13,ag_moduleD_endHr,byte,1,%6.0f,,ENUMERATOR: RECORD END TIME FOR MODULE D: HOUR
14,ag_moduleD_endMin,byte,1,%6.0f,,MINUTES
15,ag_moduleE_start_date,str10,0,%9s,,ENUMERATOR: RECORD START DATE &amp; TIME FOR MODULE E:
16,ag_moduleE_startHr,byte,1,%6.0f,,HOUR:
17,ag_moduleE_startMin,byte,1,%6.0f,,MINUTES:
18,ag_moduleE_respondent,byte,1,%6.0f,,ENUMERATOR: RECORD PRIMARY RESPONDENT ID FOR MODULE E:
19,ag_moduleE_endHr,byte,1,%6.0f,,ENUMERATOR: RECORD END TIME FOR MODULE E:HOUR
20,ag_moduleE_endMin,byte,1,%6.0f,,MINUTES
21,ag_moduleF_start_date,str10,0,%9s,,ENUMERATOR: RECORD START DATE &amp; TIME FOR MODULE F:
22,ag_moduleF_startHr,byte,1,%6.0f,,HOUR
23,ag_moduleF_startMin,byte,1,%6.0f,,MINUTES
24,ag_moduleF_respondent,byte,1,%6.0f,,ENUMERATOR: RECORD PRIMARY RESPONDENT ID FOR MODULE F:
25,ag_moduleF_endHr,byte,1,%6.0f,,ENUMERATOR: RECORD END TIME FOR MODULE F:HOUR
26,ag_moduleF_endMin,byte,1,%6.0f,,MINUTES
27,ag_moduleG_start_date,str10,0,%9s,,ENUMERATOR: RECORD START DATE &amp; TIME FOR MODULE G:
28,ag_moduleG_startHr,byte,1,%6.0f,,HOUR
29,ag_moduleG_startMin,byte,1,%6.0f,,MINUTES
30,ag_moduleG_endHr,byte,1,%6.0f,,ENUMERATOR: RECORD END TIME FOR MODULE G:HOUR
31,ag_moduleG_endMin,byte,1,%6.0f,,MINUTES
32,ag_moduleH_startDate,str10,0,%9s,,ENUMERATOR: RECORD START DATE &amp; TIME FOR MODULE H:
33,ag_moduleH_startHr,byte,1,%6.0f,,HOUR:
34,ag_moduleH_startMin,byte,1,%6.0f,,MINITUES:
35,ag_moduleH_respondent,byte,1,%6.0f,,ENUMERATOR: RECORD PRIMARY RESPONDENT ID FOR MODULE H:
36,ag_moduleH_endHr,byte,1,%6.0f,,ENUMERATOR: RECORD END TIME FOR MODULE H:HOUR
37,ag_moduleH_endMin,byte,1,%6.0f,,MINUTES:
38,ag_moduleH_start_date,str10,0,%9s,,ENUMERATOR: RECORD START DATE &amp; TIME FOR MODULE I:
39,ag_moduleI_startHr,int,1,%6.0f,,HOUR
40,ag_moduleI_startMin,byte,1,%6.0f,,MINUTES
