position,name,type,isnumeric,format,vallab,varlab
1,case_id,str12,0,%12s,,Unique Household Identifier
2,HHID,str32,0,%9s,,Survey Solutions Unique HH Identifier
3,crop_code,byte,1,%6.0f,ag_Q_storage_roster__id,TREE/PERMANENT CROP CODE
4,ag_q01,byte,1,%6.0f,ag_q01,Did you sell any of the harvested [TREE/PERM CROP]during the last 12 months?
5,ag_q02a,int,1,%6.0f,,How much of the harvested[TREE/PERM CROP]was sold in total(12Mon)?(QUANTITY)
6,ag_q02b,byte,1,%6.0f,ag_q02b,UNIT
7,ag_q02b_oth,str15,0,%15s,,SPECIFY UNIT
8,ag_q02c,byte,1,%6.0f,ag_q02c,S/U
9,ag_q03,long,1,%6.0f,,What was the total value of all[TREE/PERM CROP]sales during the last 12 months?
10,ag_q05a,byte,1,%6.0f,,Who/What were the main buyers/outlets for your[TREE/PERM CROP]sales?(ID CODE #1)
11,ag_q05b,byte,1,%6.0f,,Who/What were the main buyers/outlets for your[TREE/PERM CROP]sales?(ID CODE #2)
12,ag_q06a,byte,1,%6.0f,,Who in your HH kept/decided what to do with these earning?(ID CODE #1)
13,ag_q06b,byte,1,%6.0f,,Who in your HH kept/decided what to do with these earning?(ID CODE #2)
14,ag_q07a,byte,1,%6.0f,ag_q07a,When was most of the [TREE/PERM CROP] sold during the last 12 months?
15,ag_q07b,int,1,%6.0f,,YEAR
16,ag_q08,int,1,%6.0f,,Approximately how many transactions took place while seeling[TREE/PERM CROP]?
17,ag_q09,byte,1,%6.0f,ag_q09,Main mode of transportation associated w/all[TREE/PERM CROP]sales?
18,ag_q09_oth,str47,0,%47s,,Specify the main mode of transportation.
19,ag_q10,long,1,%6.0f,,Total cost of transportation associated w/all[TREE/PERM CROP]sales?
20,ag_q31a,int,1,%6.0f,,Amt of harvested[T/PC]given as gifts/reimbursements for land/labor?(Q)
21,ag_q31b,byte,1,%6.0f,ag_q31b,UNIT
22,ag_q31b_oth,str16,0,%16s,,SPECIFY UNIT
23,ag_q31c,byte,1,%6.0f,ag_q31c,S/U
24,ag_q32a,int,1,%6.0f,,Amt of[T/PC]given as reimbursements for inputs borrowed/acquired on credit?(Q)
25,ag_q32b,byte,1,%6.0f,ag_q32b,UNIT
26,ag_q32b_oth,str14,0,%14s,,SPECIFY UNIT
27,ag_q32c,byte,1,%6.0f,ag_q32c,S/U
28,ag_q33a,int,1,%6.0f,,Amt[T/PC]used as input for[T/PC]by-products that HH sold in market(Q)
29,ag_q33b,byte,1,%6.0f,ag_q33b,UNIT
30,ag_q33b_oth,str14,0,%14s,,SPECIFY UNIT
31,ag_q33c,byte,1,%6.0f,ag_q33c,S/U
32,ag_q34a,int,1,%6.0f,,Amt of harvested[T/PC]saved for seed?(QUANT)
33,ag_q34b,byte,1,%6.0f,ag_q34b,UNIT
34,ag_q34b_oth,str16,0,%16s,,SPECIFY UNIT
35,ag_q34c,byte,1,%6.0f,ag_q34c,S/U
36,ag_q35a,int,1,%6.0f,,"Amt of[TREE/PC]lost to rotting,insects,rodents,theft in post-harvest period?(Q)"
37,ag_q35b,byte,1,%6.0f,ag_q35b, OPTION 1 UNIT
38,ag_q35b_oth,str20,0,%20s,,SPECIFY UNIT
39,ag_q35c,byte,1,%6.0f,ag_q35c,OPTION 1 S/U
40,ag_q35d,byte,1,%6.0f,,OPTION 2PERCENTAGE
41,ag_q36a,float,1,%9.0g,,What was the reason for loss?(1ST)
42,ag_q36b,float,1,%9.0g,,What was the reason for loss?(2nd)
43,ag_q36_oth,str65,0,%65s,,Specify the reason for loss.
44,ag_q37,byte,1,%6.0f,ag_q37,Do you have any of the harvested[TREE/PERM CROP]in storage now?
45,ag_q38,byte,1,%6.0f,ag_q38,What is your main method
46,ag_q38_oth,str26,0,%26s,, Specify your main method of storage for this [TREE/PERM CROP].
47,ag_q39a,int,1,%6.0f,,Amt of harvested[TREE/PERM CROP]being stored by HH?(QUANT)
48,ag_q39b,byte,1,%6.0f,ag_q39b,UNIT
49,ag_q39b_oth,str13,0,%13s,,SPECIFY UNIT
50,ag_q39c,byte,1,%6.0f,ag_q39c,S/U
51,ag_q40a,float,1,%9.0g,,What did you do to protect the stored [TREE/PERM CROP]?(1ST)
52,ag_q40b,float,1,%9.0g,,What did you do to protect the stored [TREE/PERM CROP]?(2ND)
53,ag_q40_oth,str19,0,%19s,,Specify what you do to protect the stored [TREE/PERM CROP].
54,ag_q41a,float,1,%9.0g,,"When you store[TREE/PERM CROP],what is the main purpose for storing it?(1ST)"
55,ag_q41b,float,1,%9.0g,,"When you store[TREE/PERM CROP],what is the main purpose for storing it?(2ND)"
56,ag_q41_oth,str39,0,%39s,,Specify what is usually the main purpose for storing the [TREE/PERM CROP].
