position,name,type,isnumeric,format,vallab,varlab
1,case_id,str12,0,%12s,,Unique Household Identifier
2,HHID,str32,0,%36s,,Survey Solutions Unique HH Identifier
3,PID,byte,1,%6.0f,,Person Identifier in HH Roster
4,hh_e03,byte,1,%6.0f,hh_e03,IS THE INFORMATION SELF-REPORTED OR IS IT BEING PROVIDED BY ANOTHER HH MEMBER
5,hh_e04,byte,1,%6.0f,,WHO IS RESPONDING ON BEHALF OF [NAME]?
6,hh_e05,double,1,%6.2f,,How many hours did [NAME] spend yesterday collecting water?
7,hh_e06,double,1,%6.2f,,..hours did [NAME]spend yesterday collecting firewood(or other fuel materials)?
8,hh_e06_1a,byte,1,%6.0f,hh_e06_1a,..12 months did you work on HH farming activities even if only for 1 hour?
9,hh_e06_1b,byte,1,%6.0f,hh_e06_1b,..12 months did [NAME] work on HH livestock activities even if only for 1 hour?
10,hh_e06_1c,byte,1,%6.0f,hh_e06_1c,..12 months did [NAME] work on HH fishing activities even if only for 1 hour?
11,hh_e06_2,byte,1,%6.0f,hh_e06_2,"In the last 12 months, did [NAME] run a non-farm business of anysort"
12,hh_e06_3,byte,1,%6.0f,hh_e06_3,..12 months did [NAME] help in..non-farm business run by this HH..?
13,hh_e06_4,byte,1,%6.0f,hh_e06_4,"..last 12 months, did [NAME] work as an employee for a wage,salary or commission"
14,hh_e06_5,byte,1,%6.0f,hh_e06_5,"..12 months,did [NAME] engage in an unpaid apprenticeship.."
15,hh_e06_6,byte,1,%6.0f,hh_e06_6,"..12 months, did [NAME] engage in casual,part-time/ganyu labour..?"
16,hh_e06_8a,float,1,%31.0g,economic_activity,..economic activity did [NAME]spent most time in the last 12 months (ACT 1)
17,hh_e06_8b,float,1,%31.0g,economic_activity,..economic activity did [NAME]spent most time in the last 12 months (ACT 2)
18,hh_e07a,double,1,%6.2f,,Amt hours in the last7 days did [NAME] spend on HH agric activities?
19,hh_e07a_1,byte,1,%6.0f,hh_e07a_1,Thinking about the products obtained from your family farming...
20,hh_e07b,long,1,%6.2f,,Amt hours in the last 7 days did you spend on household livestock activ
21,hh_e07c,int,1,%6.2f,,How many hours in the last seven days did [NAME] spend on housedold fishing...
22,hh_e08,double,1,%6.2f,,Amt hours in last 7 days [NAME]ran or do any kind of non-agric/non-fishing HH bu
23,hh_e09,double,1,%6.2f,,Amt hours in last 7 days [NAME]helped in any of the HH's non-agric/ non-fishing
24,hh_e10,double,1,%6.2f,,"Amt hours in the last 7 days [NAME]engaged in casual, part-time/ganyu labour?"
25,hh_e11,double,1,%6.2f,,Amt hours in last 7 days [NAME]worked for a wage/salary/commission excluding gan
26,hh_e12,double,1,%6.2f,,Amt hours in the last 7 days [NAME]..unpaid apprenticeship for anyone not a memb
27,hh_e13_1a,float,1,%31.0g,economic_activity,..economic activity did [NAME] spent most time in the last7 days (Econ 1)
