position,name,type,isnumeric,format,vallab,varlab
1,case_id,str12,0,%12s,,Unique Household Identifier
2,HHID,str32,0,%9s,,Survey Solutions Unique HH Identifier
3,hh_m00,byte,1,%6.0f,hh_m0,Does your household currently own?
4,hh_m0b,int,1,%15.0g,farm_equip_roster__id,Item Code
5,hh_m0b_oth,str35,0,%35s,,"Please, specify what Other Machinery/Structure"
6,hh_m0c,byte,1,%6.0f,hh_m0,Purchased Item?
7,hh_m01,byte,1,%6.0f,,M01. How many [ITEM] does your household currently own?
8,hh_m02,double,1,%6.2f,,M02. What is the age of the [ITEM]?
9,hh_m03,long,1,%6.0f,,"M03. If you wanted to sell one of this [ITEM] today, how much would you recieve"
10,hh_m04,byte,1,%6.0f,hh_m04,M04. Did your household buy any [ITEM] during the last 12 months?
11,hh_m05,long,1,%6.0f,,M05. How many [ITEM] did your household buy?
12,hh_m06,long,1,%6.0f,,What was the value of these?
13,hh_m08,byte,1,%6.0f,,M08. How many [ITEM] did your household build during the last 12 months?
14,hh_m09,long,1,%6.0f,,M09. How much did it cost to build [ITEM]?
15,hh_m10,byte,1,%6.0f,hh_m10,M10. Did your household use the [ITEM] during the last 12 months?
16,hh_m11,byte,1,%6.0f,hh_m11,M11. What was the main reason for not using the [ITEM]?
17,hh_m11_oth,str92,0,%92s,,"Please, specify the main reason for not using [ITEM]."
18,hh_m12,byte,1,%6.0f,hh_m12,M12. Did your household rent or borrow any [ITEM] during the last 12 months
19,hh_m13,byte,1,%6.0f,,How many [ITEM] did your household rent or borrow during the last 12 months
20,hh_m14,long,1,%6.0f,,How much did your HH pay to rent or borrow [ITEM] during the last 12 months
