case_id,gardenid,plotid,plot_twi,plot_srtm,plot_srtmslp,dist_household
101011000014,RG02,R01,13,1293,3,.2
101011000023,RG02,R01,14,1299,2,.1
101011000040,RG02,R01,15,1293,1,0
101011000071,RG01,T01,14,1279,2,0
101011000095,RG02,R01,13,1280,2,0
101011000115,RG01,R01,15,1288,2,.1
101011000126,RG02,R01,14,1283,3,.2
101011000135,RG02,R01,12,1287,3,0
101011000190,RG02,R01,15,1311,4,.1
101011000199,RG01,R01,14,1303,5,0
101011000229,DG03,D01,17,1279,2,.2
101011000253,DG03,D01,13,1282,3,.2
101011000254,RG02,R01,14,1308,4,.1
101011000258,RG02,R01,13,1287,3,0
101011000260,RG02,R01,13,1287,3,0
101011010006,RG01,R01,14,1264,5,.1
101011010016,RG01,T01,12,1266,5,.1
101011010026,RG01,R01,14,1249,6,0
101011010037,RG02,R02,13,1284,1,0
101011010046,RG03,R01,12,1277,5,.2
101011010055,RG03,R01,13,1263,4,.2
101011010064,RG02,R01,14,1217,4,.40000001
101011010074,RG02,R01,13,1231,2,0
101011010083,RG03,R01,13,1233,4,.40000001
101011010092,RG03,R01,14,1240,4,0
101011010101,RG02,R01,14,1253,1,.1
101011010111,RG02,R01,13,1252,4,0
101011010129,RG02,R01,12,1264,4,.1
101011020021,RG02,R01,16,1306,5,21.1
101011020088,RG02,R01,15,1254,3,.69999999
101011020140,RG02,R01,13,1234,3,3
101011020183,RG01,R01,15,1263,4,0
101011020257,RG02,R01,13,1247,3,4.3000002
101011020269,RG02,R01,14,1229,4,2.9000001
101011020369,RG02,R02,12,1415,2,22.299999
101011030012,RG02,R01,12,1261,4,0
101011030019,RG02,R01,13,1273,2,.60000002
101011030026,TG01,T01,14,1268,3,0
101011030034,RG02,R01,15,1275,1,.1
101011030049,RG02,R01,14,1222,3,2.3
101011030057,RG03,R01,16,1269,3,2.9000001
101011030072,RG02,R01,14,1286,3,1.7
101011030079,RG01,R01,13,1279,18,16.5
101011030087,RG02,R01,13,1271,3,0
101011030100,RG02,R01,15,1251,3,0
101011030107,RG01,R01,16,1259,3,0
101011030114,RG02,R02,12,1249,3,0
101011030122,RG03,R01,13,1253,2,0
101011030148,RG01,R01,16,1267,3,0
101011030155,TG01,T01,13,1261,2,.1
101011040025,RG02,R01,12,1768,38,0
101011040031,TG01,T01,10,1813,38,0
101011040036,RG02,R01,15,1704,36,0
101011040037,TG05,T01,11,1633,27,.1
101011040041,RG02,D01,11,1631,24,0
101011040052,RG03,R01,14,1725,31,.40000001
101011040055,RG02,R01,11,1803,23,0
101011040079,RG02,R01,12,1658,26,0
101011040107,RG01,R01,10,1611,40,0
101011040108,RG03,R01,15,1660,36,.1
101011040112,TG01,T01,11,1635,27,0
101011040115,RG01,R01,10,1585,34,0
101011040159,RG02,R01,13,1611,21,0
101011040165,RG01,R01,10,1629,47,0
101011040171,DG03,D01,16,1683,21,.2
101011040174,RG02,R01,10,1626,52,0
101011050013,RG01,R01,14,1277,2,.1
101011050019,RG02,R01,16,1265,4,.2
101011050025,RG03,R01,17,1262,2,.30000001
101011050031,RG02,R01,15,1284,3,.69999999
101011050038,RG02,R01,15,1286,3,2.7
101011050050,RG01,R01,13,1289,4,.1
101011050056,RG02,R01,16,1286,3,.60000002
101011050070,RG02,R01,13,1276,2,.1
101011050076,RG02,R01,13,1269,2,0
101011050082,RG02,R01,15,1289,3,.89999998
101011050088,RG02,R01,14,1293,1,0
101011050094,RG03,R01,16,1286,2,.1
101011050100,RG02,R01,14,1292,1,0
101011050106,RG03,R01,15,1296,1,.1
101011050113,RG04,R01,13,1298,1,.2
101011050119,RG03,R01,13,1300,3,0
101011060024,RG02,R01,13,1383,3,1
101011060046,RG04,R01,13,1377,10,.69999999
101011060059,RG02,R01,14,1378,2,.2
101011060079,RG02,R01,13,1383,4,.1
101011060087,RG02,R01,12,1366,3,.1
101011060095,RG01,R01,12,1399,5,.1
101011060131,DG02,D01,13,1348,3,.60000002
101011060135,DG04,D01,12,1349,3,.69999999
101011060147,RG03,R01,13,1390,4,0
101011060155,RG02,R02,12,1439,5,0
101011060160,RG02,R01,13,1384,2,.30000001
101011060175,RG04,R01,17,1322,2,.1
101011060195,RG01,T01,12,1383,5,.1
101011060201,RG02,R02,12,1383,5,.1
101011060207,RG01,R01,15,1362,3,0
101021070007,RG03,R01,19,1274,4,.30000001
101021070034,RG02,R01,12,1274,6,1.3
101021070052,RG02,R01,13,1279,4,0
101021070064,RG01,R01,16,1275,3,0
101021070077,RG02,R01,13,1284,4,.1
101021070101,TG01,T01,12,1268,4,0
101021070114,RG01,R01,13,1267,3,0
101021070127,RG02,R01,13,1275,2,0
101021070143,RG01,R01,14,1285,4,.1
101021070157,RG01,T01,13,1274,2,.1
101021070170,RG03,R01,13,1273,2,1.4
101021070182,RG01,T01,13,1274,2,.1
101021070222,RG04,R01,18,1272,6,.2
101021070248,RG01,R01,14,1269,3,0
101021070265,RG02,R01,16,1274,2,0
101021080004,RG01,R01,13,1289,4,0
101021080043,RG02,R01,13,1310,6,.1
101021080047,RG01,R01,12,1314,8,0
101021080058,DG05,D01,27,1248,4,.5
101021080060,RG01,R01,12,1258,5,0
101021080078,RG03,R02,12,1334,3,.1
101021080085,RG02,R01,18,1329,6,.1
101021080107,RG02,R01,12,1279,7,.1
101021080111,RG02,R01,12,1290,8,0
101021080112,RG02,R01,12,1272,5,0
101021080118,RG01,T01,14,1279,6,.1
101021080140,RG01,R01,12,1256,4,.1
101021080169,RG02,R01,13,1315,5,.2
101021080195,RG02,R01,14,1311,4,.2
101021080200,RG01,R01,11,1333,11,0
101021080221,RG04,R01,13,1263,2,.60000002
101021090005,RG02,R01,12,1343,3,.1
101021090015,RG04,R01,12,1326,6,.1
101021090025,RG01,R01,12,1325,6,0
101021090034,RG01,R01,12,1321,7,.1
101021090043,RG01,R01,13,1335,6,0
101021090052,RG02,R01,13,1329,5,.1
101021090061,RG02,R01,11,1356,5,0
101021090070,RG02,R01,13,1356,3,.1
101021090079,RG01,R01,12,1345,4,0
101021090088,RG01,R01,12,1337,7,0
101021090097,RG02,R01,13,1308,2,.5
101021090108,RG03,R01,13,1313,5,.2
101021090117,RG01,R01,13,1313,2,0
101021090126,RG02,R01,13,1304,6,0
101021090135,RG03,R01,12,1309,4,0
101021090144,RG02,R01,13,1352,5,0
101021100019,RG01,R01,14,1256,20,.1
101021100041,RG02,T01,12,1171,10,0
101021100051,RG02,R01,12,1166,5,0
101021100058,RG02,R01,17,1178,13,.30000001
101021100105,RG03,R01,12,1186,10,.60000002
101021100108,RG03,R01,12,1175,6,.1
101021100116,RG01,R01,12,1173,8,.1
101021100140,TG01,T01,11,1217,15,0
101021100161,RG02,R02,11,1352,15,0
101021100168,RG02,R01,11,1194,25,0
101021100179,RG02,R01,11,1215,16,0
101021100180,RG01,R01,16,1250,22,.1
101021100190,RG01,R01,14,1206,8,0
101021100222,RG02,R01,19,1177,5,.1
101021100225,RG02,T01,16,1243,26,.1
101021100229,RG01,R01,11,1217,12,0
101031110017,TG02,T02,11,1509,26,.5
101031110030,RG02,R01,11,1425,32,.69999999
101031110039,TG03,T01,12,1440,20,.69999999
101031110057,RG02,R01,11,1426,30,0
101031110086,RG02,R01,15,1479,12,0
101031110095,RG02,R01,11,1538,17,.69999999
101031110104,TG01,T01,11,1538,12,0
101031110113,RG01,D01,11,1519,20,0
101031110123,RG01,R01,11,1479,17,0
101031110132,RG02,R01,12,1496,18,.60000002
101031110159,TG01,T01,11,1537,12,0
101031110168,RG02,R01,11,1469,23,0
101031110186,TG02,T01,11,1452,16,.60000002
101031110196,RG02,T02,10,1486,20,.2
101031120018,RG02,R01,13,1325,6,.30000001
101031120035,RG02,R01,13,1315,5,1.3
101031120054,RG01,R01,12,1345,5,0
101031120078,RG03,R02,12,1341,7,.1
101031120091,RG02,R01,13,1321,13,1.1
101031120095,RG02,R01,12,1373,9,.1
101031120097,RG02,R02,13,1328,5,0
101031120116,RG02,R01,14,1346,5,.1
101031120119,RG01,R01,14,1343,5,.1
101031120131,RG02,R01,16,1321,6,2.5999999
101031120169,RG02,R01,15,1333,5,1.8
101031120176,DG04,D01,16,1304,2,1.1
101031130001,RG01,R01,12,1265,12,0
101031130003,RG01,R01,12,1254,12,0
101031130005,RG02,R01,12,1226,15,.60000002
101031130007,RG01,R01,13,1051,20,0
101031130009,RG04,R01,11,1035,16,0
101031130011,RG03,R01,11,1110,24,.5
101031130013,RG03,R01,12,1023,16,.2
101031130015,RG04,R01,13,1030,14,0
101031130019,RG02,R01,11,1246,7,.2
101031130026,RG02,R01,11,1276,17,5.4000001
101031130028,RG02,R01,13,1076,13,.1
101031130033,RG02,R01,13,1159,15,.80000001
101031130035,TG01,T01,12,1215,17,0
101031130037,TG01,T01,11,1229,16,0
101051140004,RG01,T01,12,1543,3,.1
101051140005,RG03,R01,17,1565,2,.30000001
101051140006,RG01,R01,12,1555,4,0
101051140008,RG02,R01,13,1552,5,.1
101051140009,TG01,T01,12,1561,4,0
101051140012,RG01,R02,14,1571,1,.1
101051140021,RG01,R01,13,1523,5,.1
