country,year,varName_harmonized,dataset_name,dataset_doi,varName_source,varLabel_source,comment,pctMissing_source,pctMissing_harmonized
Malawi,2019,GPS_level,MWI_2019_IHS-V_v05_M,https://doi.org/10.48529/yqn3-zv74,,,,,
Malawi,2019,adm1,MWI_2019_IHS-V_v05_M,https://doi.org/10.48529/yqn3-zv74,region,IHS5 2019 Region location,,0.0,0.0
Malawi,2019,adm2,MWI_2019_IHS-V_v05_M,https://doi.org/10.48529/yqn3-zv74,district,IHS5 2019 District Location,,0.0,0.0
Malawi,2019,adm3,MWI_2019_IHS-V_v05_M,https://doi.org/10.48529/yqn3-zv74,,,,,
Malawi,2019,adm4,MWI_2019_IHS-V_v05_M,https://doi.org/10.48529/yqn3-zv74,,,,,
Malawi,2019,country,MWI_2019_IHS-V_v05_M,https://doi.org/10.48529/yqn3-zv74,,,,,
Malawi,2019,crop,MWI_2019_IHS-V_v05_M,https://doi.org/10.48529/yqn3-zv74,crop_code; ag_p0_crops,"Crop ID; FOR EACH PLOT, LIST ALL TREE/PERMANENT CROPS HARVESTED BY HH IN LAST 12MONTHS","Crop names were harmonized for spelling. Crop names in Chichewa for which the English translation was known, were converted to their English name.",0.07534418594031828,0.25799675791684745
Malawi,2019,crop_area_share,MWI_2019_IHS-V_v05_M,https://doi.org/10.48529/yqn3-zv74,ag_g03; ag_m03,"Approximately, how much of the [PLOT] is under [CROP]?; Approximately how much of the [PLOT] is under [CROP]?","The percentage of plot area cultivated by a crop was assumed as: 12.5 % if indicated ""less than 1/4"", 25 % if indicated ""1/4"", 37.5 % if indicated ""less than 1/2"", 50 % if indicated ""1/2"", 62.5 % if indicated ""less than 3/4"", 75 % if indicated ""3/4"", 87.5 % if indicated ""more than 3/4"", 100 % if indicated as fully occupied by a single crop. For many plots, any indication on whether the crop was fully cultivated by a single crop is missing: Whenever a plot is not intercropped and not indicated as only partially being cropped, then we assume that the plot is fully under the target crop.",24.39146660725227,38.01684969976484
Malawi,2019,dataset_doi,MWI_2019_IHS-V_v05_M,https://doi.org/10.48529/yqn3-zv74,,,,,
Malawi,2019,dataset_name,MWI_2019_IHS-V_v05_M,https://doi.org/10.48529/yqn3-zv74,,,,,
Malawi,2019,fieldID,MWI_2019_IHS-V_v05_M,https://doi.org/10.48529/yqn3-zv74,gardenid,Garden ID,,0.03741976339195763,0.05936208589237197
Malawi,2019,harvest_month,MWI_2019_IHS-V_v05_M,https://doi.org/10.48529/yqn3-zv74,,,,,
Malawi,2019,harvest_month_begin,MWI_2019_IHS-V_v05_M,https://doi.org/10.48529/yqn3-zv74,ag_g12a; ag_m12a; ag_p06a,What months did the harvest start?; What were the months when the harvest started and ended? (START); What was the last completed production period for the tree/permanent crop,,0.7762734309002489,0.7762734309002489
Malawi,2019,harvest_month_end,MWI_2019_IHS-V_v05_M,https://doi.org/10.48529/yqn3-zv74,ag_g12b; ag_m12b; ag_p06c,What months did the harvest end?; What were the months when the harvest started and ended? (END); END MONTH,,0.7785565880499554,0.7785565880499554
Malawi,2019,harvest_year,MWI_2019_IHS-V_v05_M,https://doi.org/10.48529/yqn3-zv74,,,,,
