country,year,varName_harmonized,dataset_name,dataset_doi,varName_source,varLabel_source,comment,pctMissing_source,pctMissing_harmonized
Malawi,2013,GPS_level,MWI_2010-2013_IHPS_v01_M,https://doi.org/10.48529/4q9f-2288,,,,,
Malawi,2013,adm1,MWI_2010-2013_IHPS_v01_M,https://doi.org/10.48529/4q9f-2288,region,IHPS 2013 Region Location,,0.0,0.0
Malawi,2013,adm2,MWI_2010-2013_IHPS_v01_M,https://doi.org/10.48529/4q9f-2288,district,IHPS 2013 District Location,,0.0,0.0
Malawi,2013,adm3,MWI_2010-2013_IHPS_v01_M,https://doi.org/10.48529/4q9f-2288,,,,,
Malawi,2013,adm4,MWI_2010-2013_IHPS_v01_M,https://doi.org/10.48529/4q9f-2288,,,,,
Malawi,2013,country,MWI_2010-2013_IHPS_v01_M,https://doi.org/10.48529/4q9f-2288,,,,,
Malawi,2013,crop,MWI_2010-2013_IHPS_v01_M,https://doi.org/10.48529/4q9f-2288,ag_g0b; ag_m0c; ag_p0c,CROP CODE; TREE/PERMANENT CROP CODE,"Crop names were harmonized for spelling. Crop names in Chichewa for which the English translation was known, were converted to their English name.",24.462890625,24.462890625
Malawi,2013,crop_area_share,MWI_2010-2013_IHPS_v01_M,https://doi.org/10.48529/4q9f-2288,ag_g03; ag_m03,"Approximately, how much of the [PLOT] is under [CROP]?","The percentage of plot area cultivated by a crop was assumed as: 12.5 % if indicated ""less than 1/4"", 25 % if indicated ""1/4"", 37.5 % if indicated ""less than 1/2"", 50 % if indicated ""1/2"", 62.5 % if indicated ""less than 3/4"", 75 % if indicated ""3/4"", 87.5 % if indicated ""more than 3/4"", 100 % if indicated as fully occupied by a single crop. For many plots, any indication on whether the crop was fully cultivated by a single crop is missing: Whenever a plot is not intercropped and not indicated as only partially being cropped, then we assume that the plot is fully under the target crop.",91.37646298556761,92.69748263888889
Malawi,2013,dataset_doi,MWI_2010-2013_IHPS_v01_M,https://doi.org/10.48529/4q9f-2288,,,"Of the Malawian panel dataset ""MWI_2010-2013_IHPS_v01_M"", which includes data for both the 2010 and 2013 survey waves, we exclusively considered data from the 2013 survey wave. Data for the 2010 survey wave was instead sourced separately from the cross-sectional dataset “MWI_2010_IHS-III_v01_M”. For the 2013 survey wave, no cross-sectional dataset is available.",,
Malawi,2013,dataset_name,MWI_2010-2013_IHPS_v01_M,https://doi.org/10.48529/4q9f-2288,,,,,
