,plot_ID,cropCode,hhCultivated_dum,cropStand,plot_fullyCrop,plot_cropFrac,seeding_month,seeding_year,harvestStart_month,harvestEnd_month,season,wave,crop,field_ID,areaPlotReported,areaPlotReported_unit,areaPlotGPS,lastMajor_hhCultOwn_dum,lastMinor_hhCultOwn_dum,harvestStart_year,harvestEnd_year,lastMajor,lastMinor,lon,lat,hh_ID,region,district,ea_ID,tradAuthority_ID
0,R01,maize,YES,PURE STAND,YES,,DECEMBER,2012.0,MAY,JUNE,major,2013,maize,RG01,1.0,ACRE,0.30000001,YES,NO,,,,,33.2302,-9.50446,101012150028,North,Chitipa,10101215,MWABULAMBIA
1,R02,maize,YES,PURE STAND,YES,,DECEMBER,2012.0,MAY,JUNE,major,2013,maize,RG02,1.0,ACRE,6.4000001,YES,NO,,,,,33.2302,-9.50446,101012150028,North,Chitipa,10101215,MWABULAMBIA
2,R03,groundnut,YES,PURE STAND,,,DECEMBER,2012.0,MAY,JUNE,major,2013,groundnut,RG03,0.25,ACRE,0.1,YES,NO,,,,,33.2302,-9.50446,101012150028,North,Chitipa,10101215,MWABULAMBIA
3,R01,maize,,PURE STAND,,,DECEMBER,2012.0,JULY,JULY,major,2013,maize,RG01,1.0,ACRE,0.89999998,YES,NO,,,,,33.3937,-9.66792,101015620053,North,Chitipa,10101562,MWABULAMBYA
4,R01,maize,YES,PURE STAND,,,NOVEMBER,2012.0,MAY,JUNE,major,2013,maize,RG01,1.0,ACRE,1.1,YES,NO,,,,,33.2302,-9.50446,101012150060,North,Chitipa,10101215,MWABULAMBIA
5,R01,maize,YES,MIXED STAND,YES,,DECEMBER,2012.0,MAY,MAY,major,2013,maize,RG01,1.0,ACRE,0.60000002,YES,NO,,,,,33.3937,-9.66792,101015620184,North,Chitipa,10101562,MWABULAMBYA
6,R01,groundnut,YES,MIXED STAND,YES,,DECEMBER,2012.0,MAY,MAY,major,2013,groundnut,RG01,1.0,ACRE,0.60000002,YES,NO,,,,,33.3937,-9.66792,101015620184,North,Chitipa,10101562,MWABULAMBYA
7,R02,maize,YES,MIXED STAND,YES,,DECEMBER,2012.0,JUNE,JUNE,major,2013,maize,RG02,1.0,ACRE,0.69999999,YES,NO,,,,,33.3937,-9.66792,101015620184,North,Chitipa,10101562,MWABULAMBYA
8,R02,soyabean,YES,MIXED STAND,YES,,DECEMBER,2012.0,MAY,MAY,major,2013,soyabean,RG02,1.0,ACRE,0.69999999,YES,NO,,,,,33.3937,-9.66792,101015620184,North,Chitipa,10101562,MWABULAMBYA
9,R01,maize,YES,PURE STAND,,,DECEMBER,2012.0,MAY,JUNE,major,2013,maize,RG01,1.0,ACRE,1.4,YES,YES,,,,,33.2302,-9.50446,101012150022,North,Chitipa,10101215,MWABULAMBIA
