,hh_ID,field_ID,plot_ID,cropCode_detailed,cropCode,hhCultivated_dum,cropStand,plot_fullyCrop,plot_cropFrac,seeding_month,seeding_year,harvestStart_month,harvestEnd_month,season,wave,crop,areaPlotReported,areaPlotReported_unit,areaPlotGPS,plot_cropFrac_secondary,areaPlotReported_unitOther,lastMajor,lastMajor_hhCultOwn_dum,lastMinor,lastMinor_hhCultOwn_dum,cropCode_other,harvestStart_year,harvestEnd_year,lon,lat,region,district,ea_ID,tradAuthority_ID
0,101011000030,RG01,,,,,,,,,,,,major,2016,,,,,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
1,101011000030,RG02,,,,,,,,,,,,major,2016,,,,,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
2,101011000043,RG01,R01,MAIZE: HYBRID,maize,yes,Pure stand / Sole,,,december,2014.0,july,july,major,2016,maize,1.0,acre,0.5,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
3,101011000043,RG02,R01,GROUNDNUT: CHALIMBANA,groundnut,yes,Pure stand / Sole,,,january,2015.0,june,june,major,2016,groundnut,0.5,acre,0.2,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
4,101011000043,RG03,R01,beans,beans,yes,Pure stand / Sole,,,january,2015.0,february,march,major,2016,beans,0.3,acre,0.5,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
5,101011000053,RG01,R01,MAIZE: HYBRID,maize,yes,Pure stand / Sole,,,december,2014.0,july,july,major,2016,maize,2.0,acre,1.3,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
6,101011000053,RG02,R01,MAIZE: HYBRID,maize,yes,Pure stand / Sole,,,january,2015.0,july,july,major,2016,maize,1.5,acre,1.3,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
7,101011000063,RG01,R01,MAIZE: HYBRID,maize,yes,Row Intercrop,no,More than 3/4,january,2015.0,april,may,major,2016,maize,0.5,acre,0.45,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
8,101011000063,RG01,R01,nkhwani,pumpkin leaves,yes,Row Intercrop,no,Less than 1/4,january,2015.0,february,may,major,2016,pumpkin leaves,0.5,acre,0.45,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
9,101011000063,RG02,R01,TOBACCO: BURLEY,tobacco,yes,Pure stand / Sole,,,january,2015.0,february,april,major,2016,tobacco,1.0,acre,0.76,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
10,101011000073,RG01,R01,MAIZE: HYBRID RECYCLED,maize,yes,Pure stand / Sole,,,november,2014.0,june,june,major,2016,maize,0.5,acre,0.6,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
11,101011000073,RG02,R01,MAIZE: HYBRID,maize,yes,Pure stand / Sole,,,december,2014.0,june,june,major,2016,maize,1.2,acre,1.1,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
12,101011000073,RG03,R01,TOBACCO: BURLEY,tobacco,yes,Pure stand / Sole,,,november,2014.0,january,march,major,2016,tobacco,0.3,acre,0.4,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
13,101011000073,RG04,R01,MAIZE: HYBRID RECYCLED,maize,yes,Row Intercrop,yes,3/4,november,2014.0,june,june,major,2016,maize,0.5,acre,0.7,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
14,101011000073,RG04,R01,beans,beans,yes,Row Intercrop,no,1/4,november,2014.0,february,march,major,2016,beans,0.5,acre,0.7,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
15,101011000087,RG01,,,,,,,,,,,,major,2016,,,,,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
16,101011000087,RG02,R01,MAIZE: HYBRID,maize,yes,Pure stand / Sole,,,january,2015.0,may,june,major,2016,maize,0.5,acre,0.43,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
17,101011000117,RG01,R01,MAIZE: HYBRID RECYCLED,maize,yes,Pure stand / Sole,,,december,2014.0,april,april,major,2016,maize,6.0,SQUARE METERS,0.03,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
18,101011000117,RG02,R01,MAIZE: HYBRID RECYCLED,maize,yes,Pure stand / Sole,,,december,2014.0,may,april,major,2016,maize,6.0,SQUARE METERS,0.01,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
19,101011000117,RG02,R02,MAIZE: HYBRID RECYCLED,maize,yes,Pure stand / Sole,,,december,2014.0,may,may,major,2016,maize,0.5,acre,0.37,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
20,101011000130,RG01,R01,MAIZE: HYBRID,maize,yes,Pure stand / Sole,,,december,2014.0,may,may,major,2016,maize,1.0,acre,0.75,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
21,101011000130,RG01,R02,beans,beans,yes,Pure stand / Sole,,,december,2014.0,may,may,major,2016,beans,0.5,acre,0.47,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
22,101011000130,RG02,R01,MAIZE: HYBRID,maize,yes,Pure stand / Sole,,,december,2014.0,may,may,major,2016,maize,0.5,acre,0.41,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
23,101011000130,RG03,R01,MAIZE: HYBRID,maize,yes,Pure stand / Sole,,,december,2014.0,may,may,major,2016,maize,0.25,acre,0.23,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
24,101011000140,RG01,R01,MAIZE: HYBRID,maize,yes,Pure stand / Sole,,,december,2014.0,july,july,major,2016,maize,0.25,acre,0.07,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
25,101011000140,RG01,R02,MAIZE: HYBRID,maize,yes,Mixed stand,yes,1/2,december,2014.0,july,july,major,2016,maize,1.25,acre,1.38,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
26,101011000140,RG01,R02,sunflower,sunflower,yes,Mixed stand,no,1/2,december,2014.0,april,june,major,2016,sunflower,1.25,acre,1.38,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
27,101011000140,RG02,R01,MAIZE: HYBRID,maize,yes,Pure stand / Sole,,,january,2015.0,july,july,major,2016,maize,0.25,acre,0.13,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
28,101011000150,RG01,R01,MAIZE: HYBRID,maize,yes,Pure stand / Sole,,,december,2014.0,june,july,major,2016,maize,0.3,acre,1.0,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
29,101011000150,RG02,R01,MAIZE: HYBRID RECYCLED,maize,yes,Row Intercrop,yes,More than 3/4,december,2014.0,june,july,major,2016,maize,0.5,acre,0.7,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
30,101011000150,RG02,R01,beans,beans,yes,Row Intercrop,no,Less than 1/4,december,2014.0,march,april,major,2016,beans,0.5,acre,0.7,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
31,101011000150,RG03,R01,TOBACCO: BURLEY,tobacco,yes,Pure stand / Sole,,,december,2014.0,february,april,major,2016,tobacco,0.5,acre,0.5,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
32,101011000180,RG01,R01,GROUNDNUT: CHALIMBANA,groundnut,yes,Pure stand / Sole,,,december,2014.0,may,may,major,2016,groundnut,1.0,acre,0.94,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
33,101011000180,RG02,R01,MAIZE: LOCAL,maize,yes,Pure stand / Sole,,,december,2014.0,june,june,major,2016,maize,0.25,acre,0.06,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
34,101011000190,RG01,R01,MAIZE: HYBRID,maize,yes,Pure stand / Sole,,,january,2015.0,april,may,major,2016,maize,1.0,acre,0.85,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
35,101011000190,RG02,R01,GROUNDNUT: CHALIMBANA,groundnut,yes,Pure stand / Sole,,,january,2015.0,may,june,major,2016,groundnut,0.5,acre,0.34,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
36,101011000190,RG02,R02,MAIZE: HYBRID,maize,yes,Pure stand / Sole,,,january,2015.0,april,may,major,2016,maize,0.5,acre,0.25,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
37,101011000190,RG02,R03,GROUNDNUT: CHALIMBANA,groundnut,yes,Pure stand / Sole,,,january,2015.0,may,june,major,2016,groundnut,0.25,acre,0.34,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
38,101011003026,RG01,R01,MAIZE: HYBRID,maize,yes,Pure stand / Sole,,,december,2014.0,june,june,major,2016,maize,1.0,acre,1.03,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
39,101011003026,RG02,R01,GROUNDNUT: CHALIMBANA,groundnut,yes,Pure stand / Sole,,,december,2014.0,may,may,major,2016,groundnut,0.5,acre,0.56,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
40,101011003026,RG02,R02,GROUNDNUT: CHALIMBANA,groundnut,yes,Pure stand / Sole,,,december,2014.0,may,may,major,2016,groundnut,0.5,acre,0.47,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
41,101011003077,RG01,R01,MAIZE: HYBRID RECYCLED,maize,yes,Mixed stand,yes,More than 3/4,april,2015.0,may,may,major,2016,maize,4.0,SQUARE METERS,5.0,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
42,101011003077,RG01,R01,nkhwani,pumpkin leaves,yes,Mixed stand,yes,1/2,january,2015.0,march,may,major,2016,pumpkin leaves,4.0,SQUARE METERS,5.0,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
43,101011003077,RG02,R01,GROUNDNUT: CHALIMBANA,groundnut,yes,Pure stand / Sole,,,december,2014.0,may,may,major,2016,groundnut,9.0,SQUARE METERS,1.5,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
44,101011003077,RG02,R02,MAIZE: HYBRID,maize,yes,Pure stand / Sole,,,december,2014.0,may,may,major,2016,maize,10.0,SQUARE METERS,1.5,,,2014/15,yes,2015.0,no,,,,33.259649,-9.507538,North,Chitipa,10101100,1
45,101011010003,RG01,R01,MAIZE: LOCAL,maize,yes,Mixed stand,yes,More than 3/4,december,2015.0,june,july,major,2016,maize,1.0,acre,0.4,,,2015/16,yes,2016.0,no,,,,33.291558,-9.550397,North,Chitipa,10101101,1
46,101011010003,RG01,R01,sunflower,sunflower,yes,Mixed stand,no,Less than 1/4,december,2015.0,june,june,major,2016,sunflower,1.0,acre,0.4,,,2015/16,yes,2016.0,no,,,,33.291558,-9.550397,North,Chitipa,10101101,1
47,101011010003,RG02,R01,MAIZE: HYBRID,maize,yes,Row Intercrop,yes,3/4,december,2015.0,june,june,major,2016,maize,1.0,acre,0.45,,,2015/16,yes,2016.0,no,,,,33.291558,-9.550397,North,Chitipa,10101101,1
48,101011010003,RG02,R01,beans,beans,yes,Row Intercrop,yes,1/4,december,2015.0,march,april,major,2016,beans,1.0,acre,0.45,,,2015/16,yes,2016.0,no,,,,33.291558,-9.550397,North,Chitipa,10101101,1
49,101011010003,RG03,R01,SWEET POTATO,sweet potato,yes,Pure stand / Sole,,,january,2016.0,may,june,major,2016,sweet potato,0.5,acre,0.2,,,2015/16,yes,2016.0,no,,,,33.291558,-9.550397,North,Chitipa,10101101,1
50,101011010011,RG01,R01,MAIZE: HYBRID,maize,yes,Mixed stand,yes,More than 3/4,december,2015.0,june,june,major,2016,maize,1.0,acre,0.55,,,2015/16,yes,2016.0,no,,,,33.291558,-9.550397,North,Chitipa,10101101,1
51,101011010011,RG01,R01,sunflower,sunflower,yes,Mixed stand,no,Less than 1/4,december,2015.0,june,june,major,2016,sunflower,1.0,acre,0.55,,,2015/16,yes,2016.0,no,,,,33.291558,-9.550397,North,Chitipa,10101101,1
52,101011010019,RG01,R01,MAIZE: HYBRID,maize,yes,Pure stand / Sole,,,december,2015.0,june,june,major,2016,maize,1.0,acre,0.5,,,2015/16,yes,2016.0,no,,,,33.291558,-9.550397,North,Chitipa,10101101,1
53,101011010019,RG02,R01,MAIZE: LOCAL,maize,yes,Row Intercrop,yes,3/4,december,2015.0,june,june,major,2016,maize,1.0,acre,0.4,,,2015/16,yes,2016.0,no,,,,33.291558,-9.550397,North,Chitipa,10101101,1
54,101011010019,RG02,R01,beans,beans,yes,Row Intercrop,yes,1/4,december,2015.0,march,april,major,2016,beans,1.0,acre,0.4,,,2015/16,yes,2016.0,no,,,,33.291558,-9.550397,North,Chitipa,10101101,1
55,101011010027,RG01,R01,MAIZE: HYBRID,maize,yes,Row Intercrop,yes,3/4,december,2015.0,june,june,major,2016,maize,1.0,acre,1.2,,,2015/16,yes,2016.0,no,,,,33.291558,-9.550397,North,Chitipa,10101101,1
56,101011010027,RG01,R01,beans,beans,yes,Row Intercrop,yes,1/4,december,2015.0,april,april,major,2016,beans,1.0,acre,1.2,,,2015/16,yes,2016.0,no,,,,33.291558,-9.550397,North,Chitipa,10101101,1
57,101011010027,RG02,R01,GROUNDNUT: CG7,groundnut,yes,Mixed stand,yes,More than 3/4,december,2015.0,may,may,major,2016,groundnut,0.5,acre,0.4,,,2015/16,yes,2016.0,no,,,,33.291558,-9.550397,North,Chitipa,10101101,1
58,101011010027,RG02,R01,sunflower,sunflower,yes,Mixed stand,no,Less than 1/4,december,2015.0,may,june,major,2016,sunflower,0.5,acre,0.4,,,2015/16,yes,2016.0,no,,,,33.291558,-9.550397,North,Chitipa,10101101,1
59,101011010036,RG01,R01,MAIZE: LOCAL,maize,yes,Relay Intercrop,yes,3/4,december,2015.0,june,june,major,2016,maize,0.5,acre,0.92,,,2015/16,yes,2016.0,no,,,,33.291558,-9.550397,North,Chitipa,10101101,1
