,hh_ID,field_ID,plot_ID,cropCode,hhCultivated_dum,cropStand,plot_fullyCrop,plot_cropFrac,seeding_month,seeding_year,harvestStart_month,harvestEnd_month,season,wave,crop,areaPlotReported,areaPlotReported_unit,areaPlotGPS,areaPlotReported_unitOther,lastMajor,lastMajor_hhCultOwn_dum,lastMinor,lastMinor_hhCultOwn_dum,cropCode_detailed,cropCode_other,harvestStart_year,harvestEnd_year,lon,lat,region,district,ea_ID,tradAuthority_ID
0,309066830084,RG01,R01,maize,YES,Mixed stand,YES,More than 3/4,DECEMBER,2018.0,APRIL,APRIL,major,2019,maize,0.25,ACRE,0.79,,2018/19,YES,2019.0,NO,,,,,35.708019,-15.64112,Southern,Phalombe,30906683,30906
1,305015790067,RG01,R01,maize,YES,Mixed stand,YES,More than 3/4,DECEMBER,2018.0,APRIL,APRIL,major,2019,maize,2.0,ACRE,,,2018/19,YES,2018.0,NO,,,,,,,Southern,Blantyre,30501579,30501
2,101011040115,RG01,R01,maize,YES,Row Intercrop,YES,More than 3/4,DECEMBER,2017.0,JULY,JULY,major,2019,maize,0.5,ACRE,0.66,,2017/18,YES,2018.0,NO,,,,,33.413269,-9.6321297,North,Chitipa,10101104,10101
3,308016420176,RG01,R01,maize,YES,Mixed stand,YES,3/4,NOVEMBER,2019.0,MARCH,APRIL,major,2019,maize,0.5,ACRE,0.06,,2018/19,YES,2019.0,NO,,,,,35.461761,-15.93775,Southern,Mulanje,30801642,30801
4,308016450217,RG01,R01,maize,YES,Strip Intercrop,YES,More than 3/4,DECEMBER,2018.0,MARCH,MARCH,major,2019,maize,0.3,ACRE,0.14,,2018/19,YES,2019.0,NO,,,,,35.546711,-16.12184,Southern,Mulanje,30801645,30801
5,308016420214,RG01,R01,maize,YES,Mixed stand,YES,3/4,NOVEMBER,2018.0,MARCH,APRIL,major,2019,maize,0.5,ACRE,0.57,,2018/19,YES,2019.0,NO,,,,,35.461761,-15.93775,Southern,Mulanje,30801642,30801
6,304015530009,RG01,R01,maize,YES,Mixed stand,YES,Less than 1/4,NOVEMBER,2018.0,APRIL,APRIL,major,2019,maize,2.0,ACRE,0.77,,2018/19,YES,2018.0,NO,,,,,35.142239,-15.5765,Southern,Chiradzulu,30401553,30401
7,104031770028,RG01,R01,maize,YES,Mixed stand,YES,More than 3/4,DECEMBER,2017.0,JUNE,JUNE,major,2019,maize,0.5,ACRE,0.13,,2017/18,YES,2018.0,NO,,,,,33.972679,-10.83773,North,Rumphi,10403177,10403
8,101061160033,RG01,R01,maize,YES,Mixed stand,YES,More than 3/4,DECEMBER,2017.0,JUNE,JUNE,major,2019,maize,1.0,ACRE,2.98,,2017/18,YES,2018.0,NO,,,,,33.615372,-10.25784,North,Chitipa,10106116,10106
9,308066610065,RG01,R01,maize,YES,Mixed stand,YES,3/4,NOVEMBER,2018.0,APRIL,APRIL,major,2019,maize,0.5,ACRE,0.33,,2018/19,YES,2019.0,NO,,,,,35.348839,-15.84908,Southern,Mulanje,30806661,30806
10,305055870068,RG01,R01,maize,YES,Mixed stand,YES,3/4,APRIL,2018.0,APRIL,APRIL,major,2019,maize,1.0,ACRE,0.49,,2018/19,YES,2019.0,NO,,,,,35.098911,-15.58487,Southern,Blantyre,30505587,30505
11,307136390060,RG01,R01,maize,YES,Mixed stand,YES,3/4,NOVEMBER,2018.0,MARCH,MARCH,major,2019,maize,0.5,ACRE,0.26,,2018/19,YES,2018.0,NO,,,,,35.242611,-15.95613,Southern,Thyolo,30713639,30713
