"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS02EQ01","AS02EQ03","AS02EQ0","AS02EQ04","AS02EQ05","CULTURE","AS02EQ06A","AS02EQ06B","AS02EQ07A","AS02EQ07B","AS02EQ07C","AS02EQ07D","AS02EQH","AS02EQ0A","AS02EQ07E","AS02EQ07F","AS02EQ08","AS02EQ09","AS02EQ10","AS02EQ0C"
2,7,2,0,1,1,2,1,"MAIS",4,0,,,,,,2,1,150,11,2,,,1
2,7,2,0,1,1,3,1,"CHOUX",28,0,,,,,,3,1,150,11,2,,,1
2,7,2,0,1,1,1,1,"TOMATE",29,1,99,20,1,20,2,1,1,100,11,2,,,1
2,7,6,0,1,1,1,1,"MAIS",4,12,12,1,8,100,1,1,1,,,2,,,1
2,10,4,0,1,1,1,1,"MIL",1,10,11,50,4,625,1,1,1,,,2,,,1
2,10,4,0,1,1,2,1,"NIEBE",8,10,11,2,8,200,1,2,1,,,1,10,1,1
2,10,6,0,1,1,1,1,"MIL",1,10,12,50,4,625,1,1,1,,,2,,,1
2,10,7,0,1,1,1,1,"MIL",1,11,11,10,4,200,1,1,1,,,2,,,1
2,10,7,0,1,1,2,1,"SORGHO",2,11,11,5,4,100,1,2,1,,,2,,,1
2,10,7,0,1,1,3,1,"NIEBE",8,11,11,6,5,10,1,3,1,,,2,,,1
2,10,8,0,1,1,1,1,"MIL",1,10,11,27,4,375,1,1,1,,,1,30,1,1
2,10,8,0,1,1,2,1,"NIEBE",8,10,11,10,5,25,1,2,1,,,1,30,1,1
2,10,9,0,1,1,1,1,"MIL",1,10,11,25,4,300,1,1,1,,,2,,,1
2,10,9,0,1,1,2,1,"NIEBE",8,10,11,0,,,1,2,1,,,1,100,6,1
2,10,10,0,1,1,1,1,"MIL",1,9,11,40,4,500,1,1,1,,,1,20,6,1
2,10,10,0,1,1,3,1,"SORGHO",2,9,11,15,4,200,1,3,1,,,1,30,6,1
2,10,10,0,1,1,2,1,"NIEBE",8,9,10,20,5,50,1,2,1,,,1,50,6,1
2,10,11,0,1,1,1,1,"MIL",1,9,11,80,4,1000,1,1,1,,,1,50,6,1
2,10,11,0,1,1,2,1,"NIEBE",8,9,11,5,5,13,1,2,1,,,1,80,6,1
2,10,12,0,1,1,1,1,"MIL",1,10,11,22,4,276,1,1,1,,,1,70,7,1
2,10,12,0,1,1,2,1,"NIEBE",8,10,11,2,5,7,1,2,1,,,1,60,6,1
2,10,13,0,1,1,1,1,"MIL",1,10,10,70,4,900,1,1,1,,,1,30,1,1
2,10,13,0,1,1,3,1,"SORGHO",2,10,11,5,4,50,1,3,1,,,1,10,6,1
2,10,13,0,1,1,2,1,"NIEBE",8,10,10,0,,,1,2,1,,,1,100,1,1
2,10,14,0,1,1,1,1,"MIL",1,9,11,20,4,250,1,1,1,,,1,80,2,1
2,10,15,0,1,1,1,1,"MIL",1,10,10,10,4,150,1,1,1,,,1,5,6,1
2,10,15,0,1,1,2,1,"SORGHO",2,10,10,2,4,50,1,2,1,,,1,5,6,1
2,10,15,0,1,1,3,1,"NIEBE",8,10,10,3,5,5,1,3,1,,,1,5,6,1
2,10,16,0,1,1,1,1,"MIL",1,9,11,40,4,500,1,1,1,,,2,,,1
2,10,16,0,1,1,2,1,"SORGHO",2,9,11,5,5,15,1,2,1,,,1,75,6,1
2,10,16,0,1,1,3,1,"NIEBE",8,9,11,2,5,6,1,3,1,,,1,50,1,1
2,10,17,0,1,1,1,1,"MIL",1,11,11,15,4,200,1,1,1,,,2,,,1
2,10,18,0,1,1,1,1,"MIL",1,9,11,25,4,300,1,1,1,,,2,,,1
2,10,18,0,1,1,2,1,"NIEBE",8,9,11,26,5,78,1,2,1,,,2,,,1
2,10,18,0,1,1,3,1,"OSEILLE",12,9,11,6,5,6,1,3,1,,,2,,,1
2,12,1,0,1,1,1,1,"OIGNON",33,7,9,22,7,1100,1,1,1,,,1,40,3,1
2,12,1,0,1,2,2,1,"POIVRON",17,7,9,9,7,200,1,2,1,,,2,,,2
2,12,1,0,1,3,3,1,"COURGE",35,7,9,75,10,60,1,3,1,,,2,,,3
2,12,2,0,1,1,1,1,"OIGNON",33,12,12,88,7,5280,1,1,1,,,2,,,1
