crop_code;crop
1;Millet
2;Sorghum
3;Rice
4;Corn
5;Tiger Nut
6;Wheat
7;Fonio
8;Cow Pea
9;Bambara Groundnut
10;Peanut
11;Okra
12;Sorrel
13;Sesame
14;Cassava
15;Sweet Potato
16;Potato
17;Bell Pepper
18;Ginger
19;Clover
20;Mint
21;Spinach
22;Celery
23;Parsley
24;Chilli Pepper
25;Melon
26;Watermelon
27;Lettuce
28;Cabbage
29;Tomato
30;Carrot
31;Jaxatu Eggplant
32;Eggplant
33;Onion
34;Cucumber
35;Zucchini
36;Garlic
37;Green beans
38;Calebash
39;Radish
40;Turnip
41;Pepper
42;Amaranth
43;Cotton
44;Beet
45;Pea
46;Taro
47;Yam
48;Other
