"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS01QA","AS01Q01","AS01Q03","AS01Q06","AS01Q07","AS01Q08","AS01Q09","AS01Q10","AS01Q11","AS01QB","AS01Q01_02","AS01Q03_02","AS01Q12","AS01Q13","AS01Q14","AS01Q15","AS01Q16","AS01Q17A","AS01Q17B","AS01Q18","AS01QC","AS01Q01_03","AS01Q03_03","AS01Q19","AS01Q20","AS01Q21","AS01Q22","AS01Q23","AS01Q24","AS01Q25","AS01Q26","AS01Q27","AS01QD","AS01Q01_04","AS01Q03_04","AS01Q28","AS01Q29","AS01Q30","AS01Q31","AS01Q32","AS01Q33A","AS01Q33B","AS01Q34","AS01Q35","AS01QE","AS01Q01_05","AS01Q03_05","AS01Q36","AS01Q37","AS01Q38","AS01Q39","AS01Q40","AS01Q41","AS01Q42","AS01Q43","AS01QF","AS01Q01_06","AS01Q03_06","AS01Q44","AS01Q45","AS01Q46","AS01Q47","AS01Q48","PrimaryLast"
1,7,2,0,1,1,1,0,1942,2,3,15,1,1,1,1,,8,1,3,1,1,90,1,1,1,1,1,150000,50000,,3,3,2,,2,1,1,1,1,2,2,4,3,3,3,2,2,1,1,1,,,1,,,,,,1,1,1,,1,1,0,1,1
1,7,2,0,2,1,2,0,6943,2,3,15,1,2,1,2,,8,1,3,1,1,90,1,2,1,2,1,9999998,9999998,,3,3,2,,2,2,1,2,1,2,2,7,,,,,,2,1,2,,,2,5,,,,,2,1,2,,,,,,1
1,7,2,0,3,2,1,0,598,1,3,10,1,3,2,1,,5,1,3,1,1,90,1,3,2,1,1,200000,100000,,3,3,2,,2,3,2,1,1,2,2,7,,,,,,3,2,1,,,2,5,,,,,3,2,1,,,,,,1
1,7,6,0,1,1,1,0,291,1,4,10,1,1,1,1,,11,1,3,1,1,90,1,1,1,1,1,500000,9999998,,3,3,2,,2,1,1,1,1,2,2,4,2,8,2,1,,1,1,1,,,1,,,,,,1,1,1,,1,1,0,1,1
1,7,6,0,2,1,2,0,484,1,4,10,1,2,1,2,,11,1,3,1,1,90,1,2,1,2,1,1000000,700000,,3,3,2,,2,2,1,2,1,1,2,7,,,,,,2,1,2,,,2,5,,,,,2,1,2,,,,,,1
1,10,4,0,1,1,1,75000,74968,2,1,30,1,1,1,1,,30,1,5,,,,2,1,1,1,1,9999998,9999998,,2,2,2,,2,1,1,1,2,2,2,5,,,,,2,1,1,1,,,1,,,,,,1,1,1,,1,2,0,2,1
1,10,6,0,1,1,1,20000,36177,2,1,42,1,1,1,1,,30,1,5,,,,2,1,1,1,2,9999998,9999998,,2,3,1,2,2,1,1,1,2,2,2,5,,,,,2,1,1,1,,,1,,,,,,1,1,1,,98,2,0,2,1
1,10,7,0,1,1,1,60000,0,3,6,40,2,1,1,1,3,20,5,,,,,,1,1,1,,,,,3,3,2,,2,1,1,1,2,2,2,5,,,,,2,1,1,1,,,1,,,,,,1,1,1,,98,2,0,1,1
1,10,8,0,1,1,1,2500,51395,3,3,5,1,1,1,1,,7,5,,,,,,1,1,1,,,,,2,2,2,,2,1,1,1,2,2,2,5,,,,,2,1,1,1,,,1,,,,,,1,1,1,,98,2,0,2,1
1,10,9,0,1,1,1,0,47067,3,1,40,1,1,1,1,,20,1,5,,,,4,1,1,1,2,100000,9999998,,1,2,2,,2,1,1,1,1,2,2,5,,,,,2,1,1,1,,,1,,,,,,1,1,1,,1,2,0,1,1
1,10,10,0,1,1,1,40000,45369,2,1,45,1,1,1,1,,10,1,5,,,,4,1,1,1,2,9999998,9999998,,2,3,2,,2,1,1,1,2,2,2,5,,,,,2,1,1,1,,,1,,,,,,1,1,1,,98,2,0,2,1
1,10,11,0,1,1,1,0,44713,0,1,30,1,1,1,1,,15,1,5,,,,4,1,1,1,2,9999998,9999998,,1,3,2,,2,1,1,1,1,2,2,5,,,,,2,1,1,1,,,1,,,,,,1,1,1,,1,2,0,1,1
1,10,12,0,1,1,1,0,2634,4,6,20,1,1,1,1,,8,2,5,,,,4,1,1,1,1,9999998,9999998,,1,2,2,,2,1,1,1,2,2,2,5,,,,,2,1,1,1,,,1,,,,,,1,1,1,,2,2,9998,1,1
1,10,13,0,1,1,1,999999,47014,0,1,20,1,1,1,1,,10,1,5,,,,4,1,1,1,2,9999998,9999998,,1,2,2,,2,1,1,1,1,2,2,5,,,,,2,1,1,1,,,1,,,,,,1,1,1,,1,1,0,1,1
1,10,14,0,1,1,1,33000,33816,3,1,30,1,1,1,1,,30,1,5,,,,2,1,1,1,2,9999998,9999998,,2,2,2,,2,1,1,1,2,2,2,5,,,,,2,1,1,1,,,1,,,,,,1,1,1,,1,2,0,2,1
1,10,15,0,1,1,1,50000,32720,2,1,45,1,1,1,1,,12,1,5,,,,4,1,1,1,2,9999998,9999998,,2,6,2,,2,1,1,1,2,2,2,5,,,,,2,1,1,1,,,1,,,,,,1,1,1,,98,2,0,1,1
1,10,16,0,1,1,1,60000,60072,2,1,60,1,1,1,1,,20,1,5,,,,4,1,1,1,1,9999998,9999998,,2,2,2,,2,1,1,1,2,2,2,5,,,,,2,1,1,1,,,1,,,,,,1,1,1,,1,2,0,2,1
1,10,17,0,1,1,1,0,19170,4,1,60,1,1,1,1,,19,1,5,,,,2,1,1,1,2,9999998,9999998,,2,2,2,,2,1,1,1,2,2,2,5,,,,,2,1,1,1,,,1,,,,,,1,1,1,,1,2,0,2,1
1,10,18,0,1,1,1,35000,32189,2,1,20,1,1,1,1,,98,5,,,,,,1,1,1,,,,,2,3,2,,2,1,1,1,2,2,2,5,,,,,2,1,1,1,,,1,,,,,,1,1,1,,98,2,0,2,1
1,12,1,0,1,1,1,2000,1114,1,1,15,1,1,1,1,,98,1,5,,,,4,1,1,1,2,750000,9999998,,3,5,2,,2,1,1,1,1,2,2,2,2,4,3,2,2,1,1,1,,,1,,,,,,1,1,1,,1,1,9998,1,1
1,12,1,0,2,1,2,700,350,1,1,15,1,2,1,2,,98,1,5,,,,4,2,1,2,2,750000,9999998,,3,5,2,,2,2,1,2,1,2,2,2,2,4,3,2,2,2,1,2,,,1,,,,,,2,1,2,,1,1,9998,1,1
1,12,1,0,3,1,3,300,118,1,1,15,1,3,1,3,,98,1,5,,,,4,3,1,3,2,750000,9999998,,3,5,2,,2,3,1,3,1,2,2,2,2,4,3,2,2,3,1,3,,,1,,,,,,3,1,3,,1,1,9998,1,1
1,12,1,0,4,1,4,2000,1100,1,1,15,1,4,1,4,,98,1,5,,,,4,4,1,4,2,750000,9999998,,3,5,2,,2,4,1,4,1,2,2,2,2,4,3,2,2,4,1,4,,,2,5,,,,,4,1,4,,,,,,1
1,12,1,0,5,2,1,5000,1133,0,1,1,1,5,2,1,,98,5,,,,,,5,2,1,,,,,3,5,2,,2,5,2,1,2,2,2,2,2,0,1,1,,5,2,1,,,2,5,,,,,5,2,1,,,,,,1
1,12,2,0,1,1,1,3000,2431,1,3,2,1,1,1,1,,98,2,4,1,1,90,4,1,1,1,1,2000000,9999998,,1,5,2,,2,1,1,1,2,2,2,2,2,30,2,2,2,1,1,1,,,1,,,,,,1,1,1,,4,2,0,2,1
1,12,2,0,2,1,2,1500,2011,1,3,2,1,2,1,2,,98,2,4,1,1,90,4,2,1,2,1,100000,9999998,,1,5,2,,2,2,1,2,2,2,2,2,2,0,1,1,,2,1,2,,,2,5,,,,,2,1,2,,,,,,1
1,12,3,0,1,1,1,300,288,3,1,20,1,1,1,1,,98,1,5,,,,4,1,1,1,1,9999998,9999998,,3,5,1,2,2,1,1,1,1,2,2,2,2,3,3,1,,1,1,1,,,1,,,,,,1,1,1,,1,2,0,1,1
1,12,3,0,2,1,2,2500,1363,3,1,20,1,2,1,2,,98,1,5,,,,4,2,1,2,2,9999998,9999998,,3,5,1,2,2,2,1,2,2,2,2,2,2,3,3,1,,2,1,2,,,1,,,,,,2,1,2,,1,2,0,1,1
1,12,3,0,3,1,3,1000,1125,3,1,20,1,3,1,3,,98,1,5,,,,4,3,1,3,2,9999998,9999998,,3,5,1,2,2,3,1,3,1,2,2,2,2,3,3,1,,3,1,3,,,1,,,,,,3,1,3,,1,2,0,1,1
1,12,3,0,4,1,4,500,5216,3,1,20,1,4,1,4,,98,1,5,,,,4,4,1,4,2,9999998,9999998,,3,5,1,2,2,4,1,4,1,2,2,7,,,,,,4,1,4,,,2,5,,,,,4,1,4,,,,,,1
1,12,7,0,1,1,1,5000,3002,2,1,10,1,1,1,1,,98,1,5,,,,4,1,1,1,1,9999998,9999998,,1,5,2,,2,1,1,1,2,2,2,2,2,45,2,2,2,1,1,1,,,1,,,,,,1,1,1,,1,2,0,2,1
1,12,7,0,2,1,2,2500,1250,2,1,10,1,2,1,2,,98,1,5,,,,4,2,1,2,1,9999998,9999998,,1,5,2,,2,2,1,2,2,2,2,2,2,30,2,2,2,2,1,2,,,1,,,,,,2,1,2,,1,2,0,2,1
1,12,7,0,3,2,1,5000,5325,1,1,5,1,3,2,1,,98,1,5,,,,4,3,2,1,1,9999998,9999998,,3,2,2,,2,3,2,1,2,2,2,2,2,0,1,1,,3,2,1,,,2,5,,,,,3,2,1,,,,,,1
1,12,9,0,1,1,1,2000,1955,1,1,5,1,1,1,1,,20,1,4,1,1,90,4,1,1,1,2,999998,999998,,1,5,2,,2,1,1,1,2,2,2,2,2,30,2,1,,1,1,1,,,1,,,,,,1,1,1,,1,1,9998,2,1
1,12,9,0,2,1,2,3000,3481,1,1,5,1,2,1,2,,20,1,4,1,1,90,4,2,1,2,2,999998,999998,,1,5,2,,2,2,1,2,2,2,2,2,2,0,1,1,,2,1,2,,,2,5,,,,,2,1,2,,,,,,1
1,12,10,0,1,1,1,5000,1489,1,1,15,1,1,1,1,,8,1,4,1,1,90,1,1,1,1,1,1500000,40000,,4,2,2,,2,1,1,1,2,2,2,2,2,2,2,1,,1,1,1,,,1,,,,,,1,1,1,,1,1,2010,2,1
1,12,10,0,2,1,2,5000,8517,1,1,15,1,2,1,2,,8,1,4,1,1,90,1,2,1,2,1,1500000,40000,,4,2,2,,2,2,1,2,2,2,2,2,2,2,1,1,,2,1,2,,,2,1,2,2,2,2,2,1,2,2,,,,,1
1,12,11,0,1,1,1,1000,1155,0,1,5,1,1,1,1,,16,1,3,3,1,90,2,1,1,1,2,750000,5000,,2,5,2,,2,1,1,1,1,2,2,2,2,4,3,1,,1,1,1,,,1,,,,,,1,1,1,,1,1,2009,1,1
