"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS01QA","AS01Q01","AS01Q03","AS01Q07","AS01Q08","AS01Q09","AS01Q10","AS01Q10A","AS01Q10B"
2,7,2,0,2,1,2,6943,2,3,10,1,2
2,7,2,0,3,2,1,598,1,3,7,1,2
2,7,2,0,1,1,1,1942,2,3,10,1,1
2,7,6,0,1,1,1,291,1,4,5,1,1
2,7,6,0,2,1,2,484,1,4,5,1,2
2,10,4,0,1,1,1,74968,2,1,15,1,1
2,10,6,0,1,1,1,36177,2,1,30,1,1
2,10,7,0,1,1,1,60000,3,1,30,1,1
2,10,8,0,1,1,1,51395,5,3,10,1,1
2,10,9,0,1,1,1,47067,2,1,40,1,1
2,10,10,0,1,1,1,45369,2,1,45,1,1
2,10,11,0,1,1,1,44713,5,1,60,1,1
2,10,12,0,1,1,1,2634,4,6,20,1,1
2,10,13,0,1,1,1,47014,1,1,20,1,1
2,10,14,0,1,1,1,33816,5,3,40,1,1
2,10,15,0,1,1,1,32720,2,1,45,1,1
2,10,16,0,1,1,1,60072,2,1,60,1,1
2,10,17,0,1,1,1,19170,4,1,40,1,1
2,10,18,0,1,1,1,32189,2,1,20,1,1
2,12,1,0,4,1,4,1100,1,1,15,1,2
2,12,1,0,1,1,1,1114,1,1,15,1,1
2,12,1,0,3,1,3,118,1,1,15,1,1
2,12,1,0,5,2,1,1133,1,1,15,1,2
2,12,1,0,2,1,2,350,1,1,15,1,1
2,12,2,0,2,1,2,2011,1,3,2,1,2
2,12,2,0,1,1,1,2431,1,3,2,1,1
2,12,3,0,1,1,1,288,3,1,20,1,1
2,12,3,0,2,1,2,1363,3,1,20,1,1
2,12,3,0,4,1,4,5216,3,1,20,1,1
2,12,3,0,3,1,3,1125,3,1,20,1,1
2,12,7,0,2,1,2,1250,2,2,10,1,1
2,12,7,0,1,1,1,3002,2,1,10,1,1
2,12,7,0,3,2,1,5325,2,1,5,1,2
2,12,9,0,2,1,2,3481,1,1,5,1,1
2,12,9,0,1,1,1,1955,1,1,5,1,1
2,12,10,0,1,1,1,1489,1,1,15,1,1
2,12,10,0,2,1,2,8517,1,1,15,1,2
2,12,11,0,1,1,1,1155,0,1,5,1,1
2,12,11,0,3,1,3,2550,0,1,5,1,1
2,12,11,0,2,1,2,404,0,1,5,1,1
