"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS02AQA","AS01Q01","AS01Q03","AS02AQ04","AS02AQ05","AS02AQ06A","AS02AQ06B","AS02AQ06C","AS02AQ06D","AS02AQ07A","AS02AQ07B","AS02AQ07C","AS02AQ07D","AS02AQB","AS02AQ01_02","AS02AQ03_02","AS02AQ08","AS02AQ09A","AS02AQ09B","AS02AQ09C","AS02AQ10A","AS02AQ10B","AS02AQ10C","AS02AQ11A","AS02AQ11B","AS02AQ11C","AS02AQ12A","AS02AQ12B","AS02AQ12C","AS02AQC","AS02AQ01_03","AS02AQ03_03","AS02AQ13A","AS02AQ13B","AS02AQ13C","AS02AQ14A","AS02AQ14B","AS02AQ14C","AS02AQ15A","AS02AQ15B","AS02AQ15C","AS02AQ16A","AS02AQ16B","AS02AQ16C","AS02AQD","AS02AQ01_04","AS02AQ03_04","AS02AQ17A","AS02AQ17B","AS02AQ18A","AS02AQ18B","AS02AQ19A","AS02AQ19B","AS02AQ20A","AS02AQ20B","AS02AQ21A","AS02AQ21B","AS02AQ22A","AS02AQ22B","AS02AQE","AS02AQ01_05","AS02AQ03_05","AS02AQ23A","AS02AQ23B","AS02AQ23C","AS02AQ23D","AS02AQ23E","AS02AQ24A","AS02AQ24B","AS02AQ24C","AS02AQ24D","AS02AQ24E","AS02AQ25","AS02AQ26","AS02AQ27","AS02AQ28","PrimaryLast"
1,7,2,0,1,1,1,1,1942,1,1,4,3,2,,,,1,1,1,1,1,20,2,2,,,1,2,2,2,,,1,1,1,2,,,1,2,1,2,,,2,,,1,1,1,1,5,90,,,,,,,,,,1,1,1,2,,,,,1,120,0,0,25000,2,,2,,1
1,7,2,0,2,1,2,2,,,,,,,,,,2,1,2,,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,,,1
1,7,2,0,3,2,1,2,,,,,,,,,,3,2,1,,,,,,,,,,,,,,3,2,1,,,,,,,,,,,,,3,2,1,,,,,,,,,,,,,3,2,1,,,,,,,,,,,,,,,1
1,7,6,0,1,1,1,1,291,1,5,60,3,2,,,,1,1,1,1,1,1,3,2,,,1,1,4,2,,,1,1,1,1,2,3,1,2,3,2,,,1,3,1,1,1,1,1,20,4,20,90,,,,,,,,1,1,1,2,,,,,1,30,0,0,20000,2,,2,,1
1,7,6,0,2,1,2,2,,,,,,,,,,2,1,2,,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,,,1
1,10,4,0,1,1,1,1,74968,2,,,,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,3,2,3,90,,,,,,,,1,1,1,1,1,0,0,20000,1,3,0,0,2500,2,,2,,1
1,10,6,0,1,1,1,1,36177,2,,,,2,,,,1,1,1,1,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,16,3,8,2,6,90,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,10,7,0,1,1,1,1,0,2,,,,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,2,10,8,10,90,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,10,8,0,1,1,1,1,51395,2,,,,2,,,,1,1,1,1,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,12,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,10,9,0,1,1,1,1,47067,2,,,,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,10,7,20,5,20,90,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,10,10,0,1,1,1,1,45369,2,,,,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,12,2,8,8,8,7,5,6,4,90,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,10,11,0,1,1,1,1,44713,2,,,,2,,,,1,1,1,1,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,30,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,10,12,0,1,1,1,1,2634,2,,,,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,2,20,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,10,13,0,1,1,1,1,47014,2,,,,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,45,6,14,7,14,90,,,,,,1,1,1,1,4,0,0,0,2,,,,,2,,2,,1
1,10,14,0,1,1,1,1,33816,2,,,,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,10,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,10,15,0,1,1,1,1,32720,2,,,,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,4,12,5,5,1,5,90,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,10,16,0,1,1,1,1,60072,2,,,,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,4,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,10,17,0,1,1,1,1,19170,2,,,,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,2,90,,,,,,,,,,1,1,1,2,,,,,1,2,0,0,2000,2,,2,,1
1,10,18,0,1,1,1,1,32189,2,,,,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,15,2,10,90,,,,,,,,1,1,1,2,,,,,1,0,0,4,4000,2,,2,,1
