"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS02AQA","AS02AQ01","AS02AQ03","AS02AQ04","AS02AQ28A","AS02AQ28B","AS02AQ29A","AS02AQ29B","AS02AQ30A","AS02AQ30B","AS02AQ31A","AS02AQ31B","AS02AQ32A","AS02AQ32B","AS02AQ33A","AS02AQ33B","AS02AQE","AS02AQ01_05","AS02AQ03_05","AS02AQ34A","AS02AQ34B","AS02AQ34C","AS02AQ34D","AS02AQ34E","AS02AQ35A","AS02AQ35B","AS02AQ35C","AS02AQ35D","AS02AQ35E","AS02AQF","AS02AQ01_06","AS02AQ03_06","AS02AQ36A","AS02AQ36B","AS02AQ37A","AS02AQ37B","AS02AQ38A","AS02AQ38B","AS02AQ39A","AS02AQ39B","AS02AQ40A","AS02AQ40B","AS02AQ41A","AS02AQ41B","AS02AQG","AS02AQ01_07","AS02AQ03_07","AS02AQ42A","AS02AQ42B","AS02AQ42C","AS02AQ42D","AS02AQ42E","AS02AQ43A","AS02AQ43B","AS02AQ43C","AS02AQ43D","AS02AQ43E","PrimaryLast"
2,7,2,0,1,1,1,1,1,3,5,3,4,3,90,,,,,,1,1,1,2,,,,,1,5,0,0,90000,1,1,1,1,1,2,1,3,1,4,1,90,,,,1,1,1,2,,,,,2,,,,,1
2,7,2,0,2,1,2,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,2,1,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,1
2,7,2,0,3,2,1,2,,,,,,,,,,,,,3,2,1,,,,,,,,,,,3,2,1,,,,,,,,,,,,,3,2,1,,,,,,,,,,,1
2,7,6,0,1,1,1,1,1,30,4,30,90,,,,,,,,1,1,1,2,,,,,1,1,0,0,20000,1,1,1,1,2,4,2,90,,,,,,,,1,1,1,2,,,,,1,1,0,0,20000,1
2,7,6,0,2,1,2,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,2,1,2,,,,,,,,,,,,,2,1,2,,,,,,,,,,,1
2,10,4,0,1,1,1,1,2,30,1,60,90,,,,,,,,1,1,1,1,2,0,0,3000,2,,,,,1,1,1,1,30,2,15,90,,,,,,,,1,1,1,2,,,,,2,,,,,1
2,10,6,0,1,1,1,1,1,30,3,17,2,7,90,,,,,,1,1,1,1,12,0,0,12000,1,10,0,0,20000,1,1,1,1,7,2,30,3,17,90,,,,,,1,1,1,2,,,,,1,6,4,0,15000,1
2,10,7,0,1,1,1,1,2,2,90,,,,,,,,,,1,1,1,2,,,,,1,5,0,0,35000,1,1,1,2,20,90,,,,,,,,,,1,1,1,2,,,,,1,4,0,0,2000,1
2,10,8,0,1,1,1,1,1,30,2,30,4,30,9,30,3,15,6,15,1,1,1,1,10,5,4,11200,1,4,0,0,6000,1,1,1,1,21,2,21,9,21,4,21,6,21,5,21,1,1,1,1,2,0,0,3500,1,2,0,0,10800,1
2,10,9,0,1,1,1,1,1,60,7,30,2,17,90,,,,,,1,1,1,1,7,0,0,10000,2,,,,,1,1,1,1,30,2,30,90,,,,,,,,1,1,1,2,,,,,2,,,,,1
2,10,10,0,1,1,1,1,1,40,2,30,5,30,6,40,1,40,90,,1,1,1,1,10,0,0,13500,2,,,,,1,1,1,1,60,2,60,6,30,7,30,90,,,,1,1,1,1,4,0,0,22500,2,,,,,1
2,10,11,0,1,1,1,1,1,60,2,30,6,30,90,,,,,,1,1,1,2,,,,,2,,,,,1,1,1,1,30,2,30,6,30,90,,,,,,1,1,1,2,,,,,1,1,0,0,14000,1
2,10,12,0,1,1,1,1,1,60,2,30,90,,,,,,,,1,1,1,2,,,,,2,,,,,1,1,1,1,30,2,30,90,,,,,,,,1,1,1,2,,,,,2,,,,,1
2,10,13,0,1,1,1,1,1,60,2,50,90,,,,,,,,1,1,1,2,,,,,2,,,,,1,1,1,1,20,2,20,90,,,,,,,,1,1,1,2,,,,,2,,,,,1
2,10,14,0,1,1,1,1,1,30,6,30,2,60,90,,,,,,1,1,1,2,,,,,2,,,,,1,1,1,1,30,2,30,6,30,90,,,,,,1,1,1,2,,,,,2,,,,,1
2,10,15,0,1,1,1,1,4,5,1,2,5,2,90,,,,,,1,1,1,2,,,,,1,10,0,0,30000,1,1,1,4,2,90,,,,,,,,,,1,1,1,1,2,0,0,8000,2,,,,,1
2,10,16,0,1,1,1,1,1,7,2,7,3,2,90,,,,,,1,1,1,2,,,,,2,,,,,1,1,1,1,30,2,17,90,,,,,,,,1,1,1,2,,,,,2,,,,,1
2,10,17,0,1,1,1,1,1,10,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,1,1,1,1,7,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,1
2,10,18,0,1,1,1,1,1,7,2,7,90,,,,,,,,1,1,1,2,,,,,1,6,0,0,12000,1,1,1,1,7,2,7,90,,,,,,,,1,1,1,2,,,,,2,,,,,1
2,12,1,0,2,1,2,1,1,60,9,40,90,,,,,,,,2,1,2,2,,,,,2,,,,,2,1,2,1,6,9,10,10,6,90,,,,,,2,1,2,2,,,,,2,,,,,1
2,12,1,0,3,1,3,1,1,60,9,40,90,,,,,,,,3,1,3,2,,,,,2,,,,,3,1,3,1,6,9,10,10,6,90,,,,,,3,1,3,2,,,,,2,,,,,1
2,12,1,0,5,2,1,2,,,,,,,,,,,,,5,2,1,,,,,,,,,,,5,2,1,,,,,,,,,,,,,5,2,1,,,,,,,,,,,1
2,12,1,0,4,1,4,2,,,,,,,,,,,,,4,1,4,,,,,,,,,,,4,1,4,,,,,,,,,,,,,4,1,4,,,,,,,,,,,1
2,12,1,0,1,1,1,1,1,60,9,40,90,,,,,,,,1,1,1,2,,,,,2,,,,,1,1,1,1,6,9,10,10,6,90,,,,,,1,1,1,2,,,,,2,,,,,1
