"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS01BQ00","AS01Q01","AS01Q03","AS02BQ04","AS02BQ05","AS02BQ06","AS02BQ07","AS02BQ08","AS02BQ09","AS02BQ10","AS02BQ11","AS02BQ12","AS02BQ13A","AS02BQ13B","AS02BQ14","AS02BQ15A","AS02BQ15B","PrimaryLast","PrimaryLast1"
1,7,2,0,4,1,1,1,"MAIS",4,2,1942,1,3,7,2,,,1,"ARACHIDE",10,1,1
1,7,2,0,1,1,1,1,"ARACHIDE",10,2,1942,1,3,7,2,,,1,"OSEILLE",12,1,1
1,7,2,0,3,1,1,1,"OSEILLE",12,2,1942,1,3,7,2,,,1,"COURGETTE",35,1,1
1,7,2,0,2,1,1,1,"COURGETTE",35,2,1942,1,3,7,2,,,1,"MAIS",4,1,1
1,7,2,0,5,1,2,2,,,,,,,,,,,,,,1,1
1,7,2,0,6,2,1,2,,,,,,,,,,,,,,1,1
1,7,6,0,1,1,1,1,"MAIS",4,1,291,3,2,3,2,,,2,,,1,1
1,7,6,0,2,1,2,2,,,,,,,,,,,,,,1,1
1,10,4,0,1,1,1,1,"MIL",1,2,74968,1,6,6,1,10,1,2,,,1,1
1,10,4,0,2,1,1,1,"NIEBE",8,2,74968,1,3,7,2,,,2,,,1,1
1,10,6,0,1,1,1,1,"MIL",1,1,36177,1,3,7,1,2,2,2,,,1,1
1,10,7,0,1,1,1,1,"MIL",1,2,0,1,3,7,1,2,2,2,,,1,1
1,10,7,0,2,1,1,1,"SORGHO",2,2,0,1,3,4,1,2,2,2,,,1,1
1,10,7,0,3,1,1,1,"NIEBE",8,2,0,1,3,7,2,,,2,,,1,1
1,10,8,0,1,1,1,1,"MIL",1,2,51395,1,3,8,1,2,2,2,,,1,1
1,10,8,0,2,1,1,1,"NIEBE",8,2,51395,1,3,8,1,2,2,2,,,1,1
1,10,9,0,1,1,1,1,"MIL",1,2,47067,1,6,7,1,3,1,2,,,1,1
1,10,9,0,2,1,1,1,"NIEBE",8,2,47067,1,3,7,2,,,2,,,1,1
1,10,10,0,1,1,1,1,"MIL",1,2,45369,1,3,8,1,2,2,2,,,1,1
1,10,10,0,3,1,1,1,"SORGHO",2,2,45369,1,3,8,1,2,2,2,,,1,1
1,10,10,0,2,1,1,1,"NIEBE",8,2,45369,1,3,8,1,2,2,2,,,1,1
1,10,11,0,1,1,1,1,"MIL",1,2,44713,1,6,6,1,10,1,2,,,1,1
1,10,11,0,2,1,1,1,"NIEBE",8,2,44713,1,3,6,2,,,2,,,1,1
1,10,12,0,1,1,1,1,"MIL",1,2,2634,1,3,6,1,14,1,2,,,1,1
1,10,12,0,2,1,1,1,"NIEBE",8,2,2634,1,3,6,2,,,2,,,1,1
1,10,13,0,1,1,1,1,"MIL",1,2,47014,1,6,7,1,7,1,2,,,1,1
1,10,13,0,3,1,1,1,"NIEBE",2,2,47014,1,3,7,2,,,2,,,1,1
1,10,13,0,2,1,1,1,"SORGHO",8,2,47014,1,4,7,2,,,2,,,1,1
1,10,14,0,1,1,1,1,"MIL",1,1,33816,1,3,7,2,,,2,,,1,1
1,10,15,0,1,1,1,1,"MIL",1,1,32720,1,3,8,1,2,2,2,,,1,1
1,10,15,0,2,1,1,1,"SORGHO",2,2,32720,1,3,8,1,2,2,2,,,1,1
1,10,15,0,3,1,1,1,"NIEBE",8,2,32720,1,3,8,1,2,2,2,,,1,1
1,10,16,0,1,1,1,1,"MIL",1,2,60072,2,3,6,1,2,2,2,,,1,1
1,10,16,0,2,1,1,1,"SORGHO",2,2,60072,1,4,7,2,,,2,,,1,1
1,10,16,0,3,1,1,1,"NIEBE",8,2,60072,1,5,7,2,,,2,,,1,1
1,10,17,0,1,1,1,1,"MIL",1,1,19170,1,3,7,2,,,2,,,1,1
1,10,18,0,1,1,1,1,"MIL",1,2,32189,1,3,8,1,2,2,2,,,1,1
1,10,18,0,2,1,1,1,"NIEBE",8,2,32189,1,3,8,1,2,2,2,,,1,1
1,10,18,0,3,1,1,1,"OSEILLE",12,2,32189,1,3,8,1,2,2,2,,,1,1
1,12,1,0,1,1,1,1,"OIGNON",33,1,1114,3,1,6,2,,,2,,,1,1
1,12,1,0,2,1,2,1,"POIVRON",17,1,350,3,1,6,2,,,2,,,1,1
1,12,1,0,3,1,3,1,"COURGE",35,1,118,3,1,6,2,,,2,,,1,1
1,12,1,0,4,1,4,2,,,,,,,,,,,,,,1,1
1,12,1,0,5,2,1,2,,,,,,,,,,,,,,1,1
1,12,2,0,1,1,1,1,"OIGNON",33,1,2430,2,5,6,2,,,1,"TOMATE",29,1,1
1,12,3,0,1,1,1,1,"TOMATE",29,1,288,3,3,8,2,,,2,,,1,1
1,12,3,0,2,1,2,1,"OIGNON",33,1,1363,1,3,8,2,,,2,,,1,1
1,12,3,0,3,1,3,1,"MAIS",4,1,1122,1,3,8,2,,,2,,,1,1
1,12,7,0,1,1,1,1,"OIGNON",33,1,0,2,3,6,2,,,1,"TOMATE",29,1,1
1,12,7,0,2,1,2,1,"MAIS",4,1,0,2,3,7,2,,,1,"TOMATE",29,1,1
1,12,9,0,1,1,1,1,"OIGNON",33,1,0,1,5,5,2,,,1,"TOMATE",29,1,1
1,12,9,0,2,1,2,2,,,,,,,,,,,,,,1,1
1,12,10,0,1,1,1,1,"OIGNON",33,1,1488,3,1,7,2,,,1,"CHOU",28,1,1
1,12,10,0,2,1,2,2,,,,,,,,,,,,,,1,1
1,12,11,0,1,1,1,1,"OIGNON",33,1,1155,1,6,6,2,,,2,,,1,1
1,12,11,0,2,1,2,1,"OIGNON",33,1,404,1,6,6,2,,,2,,,1,1
1,12,12,0,1,1,1,1,"OIGNON",33,1,0,1,5,8,2,,,1,"TOMATE",29,1,1
1,12,13,0,1,1,1,1,"OIGNON",33,1,1640,2,1,6,2,,,2,,,1,1
1,12,13,0,2,1,2,1,"POIVRON",17,1,211,2,1,6,2,,,2,,,1,1
1,12,13,0,3,1,3,2,,,,,,,,,,,,,,1,1
1,12,14,0,1,1,2,1,"OIGNON",33,1,0,2,5,7,2,,,1,"LAITUE",27,1,1
1,12,14,0,2,1,3,1,"MAIS",4,1,0,2,5,7,2,,,1,"TOMATE",29,1,1
1,12,16,0,1,1,1,1,"OIGNON",33,1,2067,2,3,7,2,,,2,,,1,1
1,12,16,0,2,1,2,2,,,,,,,,,,,,,,1,1
1,12,17,0,1,1,1,2,,,,,,,,,,,,,,1,1
1,12,17,0,2,1,2,1,"OIGNON",33,1,0,2,3,7,2,,,1,"0",29,1,1
1,13,1,0,1,1,1,1,"OIGNON",33,1,91,1,3,7,2,,,2,,,1,1
1,13,1,0,2,1,2,1,"OIGNON",33,1,1164,1,3,7,2,,,2,,,1,1
1,13,1,0,3,1,3,1,"OIGNON",33,1,1178,1,3,7,2,,,2,,,1,1
