"PASSAGE","GRAPPE","MENAGE","EXTENSION","MS00Q01","MS00Q02","MS00Q03A","MS00Q03B","MS00Q04A","MS00Q04B","MS00Q05","MS00Q06","MS00Q07","MS00Q08","MS00Q09","MS00Q10","MS00Q11","MS00Q12","MS00Q14","MS00Q15","MS00Q16","MS00Q17","MS00Q22","MS00Q23","MS00Q24","MS00Q25","MS00Q26","MS00Q59","MS00Q60","MS00Q61"
1,1,1,0,10,2,30092014,1015,30092014,1720,1,1,30092014,10,30092014,1,11,1190,5,2,17,1,6,2,0,1,1,2,2,2
1,1,2,0,10,2,30092014,820,30092014,1010,1,1,30092014,10,1102014,1,11,1190,5,2,307,1,4,1,1,1,1,2,2,2
1,1,3,0,10,2,29092014,1620,30092014,1633,1,1,30092014,10,30092014,1,11,1190,5,2,39,1,9,2,3,1,1,2,2,2
1,1,4,0,10,2,29092014,750,29092014,1030,1,1,29092014,10,29092014,1,11,1190,5,2,135,1,4,1,2,1,1,2,2,2
1,1,5,0,10,3,29092014,1625,29092014,1841,1,1,29092014,10,1102014,1,11,1190,5,2,147,1,4,0,0,1,1,2,2,2
1,1,6,0,10,3,29092014,1030,29092014,1240,1,1,8102014,10,8102014,1,11,1190,5,2,173,1,5,2,1,1,1,2,2,2
1,1,7,0,10,3,29092014,814,29092014,1030,1,1,30092014,10,1102014,1,11,1190,5,2,200,1,4,0,0,1,1,2,2,2
1,1,8,0,10,3,28092014,804,28092014,1007,1,1,29092014,10,29092014,1,11,1190,5,2,224,1,6,0,0,1,1,2,2,2
1,1,10,0,10,1,29092014,813,29092014,1002,1,1,29092014,10,30092014,1,11,1190,5,2,28,1,3,1,0,1,1,2,2,2
1,1,11,0,10,1,29092014,1054,29092014,1304,1,1,30092014,10,30092014,1,11,1190,5,2,298,1,4,2,0,1,1,2,2,2
1,2,1,0,10,1,8102014,803,8102014,1247,1,1,8102014,10,8102014,1,11,1190,20,2,30,1,15,2,1,1,1,2,2,2
1,2,1,2,10,1,9102014,833,9102014,1007,1,1,9102014,10,9102014,1,11,1190,20,2,30,1,2,1,0,1,1,2,2,2
1,2,2,0,10,1,9102014,1604,9102014,1712,1,1,10102014,10,10102014,1,11,1190,20,2,45,1,2,0,0,1,1,2,2,2
1,2,3,0,10,1,8102014,1617,8102014,1806,1,1,8102014,10,8102014,1,11,1190,20,2,82,1,5,1,2,1,1,2,2,2
1,2,4,0,10,3,8102014,810,8102014,1520,1,1,8102014,10,10102014,1,11,1190,20,2,83,1,8,1,1,1,1,2,2,2
1,2,5,1,10,1,30092014,1050,30092014,1750,1,1,30092014,10,1102014,1,11,1190,20,2,85,1,4,1,2,1,1,2,2,2
1,2,6,1,10,1,30092014,812,30092014,1230,1,1,1102014,10,1102014,1,11,1190,20,2,97,1,11,3,1,1,1,2,2,2
1,2,7,0,10,3,9102014,1620,9102014,1800,1,1,9102014,10,10102014,1,11,1190,20,2,151,1,2,1,0,1,1,2,2,2
1,2,7,2,10,1,9102014,1742,9102014,1908,1,1,10102014,10,10102014,1,11,1190,20,2,151,1,2,1,0,1,1,2,2,2
1,2,8,0,10,3,8102014,1115,8102014,1625,1,1,8102014,10,9102014,1,11,1190,20,2,158,1,10,3,2,1,1,2,2,2
1,2,9,0,10,2,10102014,1030,11102014,1715,1,1,12102014,10,12102014,1,11,1190,20,2,204,1,3,0,0,1,1,2,2,2
1,2,10,0,10,2,8102014,1620,8102014,1907,1,1,8102014,10,8102014,1,11,1190,20,2,225,1,3,1,0,1,1,2,2,2
1,2,11,0,10,2,8102014,840,8102014,1120,1,1,8102014,10,8102014,1,11,1190,20,2,251,1,5,1,1,1,1,2,2,2
1,3,1,0,10,3,1102014,800,1102014,1348,1,1,1102014,10,1102014,1,11,1190,34,2,30,1,11,4,0,1,1,2,2,2
1,3,2,0,10,3,1102014,1606,1102014,1820,1,1,1102014,10,1102014,1,11,1190,34,2,40,1,6,2,0,1,1,2,2,2
1,3,3,0,10,2,1102014,820,1102014,1150,1,1,2102014,10,2102014,1,11,1190,34,2,52,1,6,1,2,1,1,2,2,2
1,3,4,0,10,2,1102014,1620,2102014,1813,1,1,3102014,10,3102014,1,11,1190,34,2,64,1,9,3,1,1,1,2,2,2
1,3,5,0,10,2,2102014,840,2102014,1130,1,1,3102014,10,3102014,1,11,1190,34,2,92,1,6,2,0,1,1,2,2,2
1,3,6,0,10,3,2102014,906,2102014,2000,1,1,3102014,10,8102014,1,11,1190,34,2,118,1,7,1,0,1,1,2,2,2
1,3,9,0,10,1,2102014,1704,3102014,1841,1,1,3102014,10,3102014,1,11,1190,34,2,210,1,4,0,0,1,1,2,2,2
1,3,10,0,10,1,1102014,917,1102014,1143,1,1,2102014,10,2102014,1,11,1190,34,2,248,1,10,1,0,1,1,2,2,2
1,3,10,2,10,1,2102014,912,2102014,1500,1,1,3102014,10,3102014,1,11,1190,34,2,248,1,9,3,2,1,1,2,2,2
1,3,11,0,10,1,1102014,1204,1102014,1334,1,1,3102014,10,3102014,1,11,1190,34,2,250,1,5,0,1,1,1,2,2,2
1,3,12,0,10,1,1102014,1640,1102014,1901,1,1,3102014,10,3102014,1,11,1190,34,2,275,1,9,1,1,1,1,2,2,2
1,4,1,0,10,1,10102014,806,10102014,1212,1,1,10102014,10,11102014,1,11,1190,51,2,65,1,20,8,5,2,1,2,2,2
1,4,2,0,10,1,10102014,1645,10102014,2010,1,1,10102014,10,11102014,1,11,1190,51,2,74,1,6,1,1,1,1,2,2,2
