"","ETH_2011_ERSS_v02_M","ETH_2013_ESS_v03_M","ETH_2015_ESS_v03_M","ETH_2018_ESS_v03_M","MLI_2014_EACI_v03_M","MLI_2017_EAC-I_v03_M","MWI_2010-2013_IHPS_v01_M","MWI_2010_IHS-III_v01_M","MWI_2016_IHS-IV_v04_M","MWI_2019_IHS-V_v05_M","NER_2011_ECVMA_V01_M","NER_2014_ECVMA-II_v02_M","NGA_2015_GHSP-W3_v02_M","NGA_2018_GHSP-W4_v03_M","UGA_2011_UNPS_v01_M","UGA_2013_UNPS_v02_M","UGA_2015_UNPS_v02_M","UGA_2018_UNPS_v02_M","UGA_2019_UNPS_v03_M"
"1",14,1862,1764,675,167,275,376,1142,1598,2936,0,26,578,207,1485,2135,1485,1073,1094
"2",3,507,543,135,4,3,491,1681,2228,3717,0,2,172,1,172,359,99,336,229
"3",0,466,677,9,5,0,774,2711,3309,5000,0,1,40,4,469,261,163,201,202
"4",0,254,297,27,6,0,2705,9180,8037,7714,0,0,40,97,725,292,221,341,316
"5",278,3204,3208,15,16,6,2436,5840,4868,5427,0,9,64,151,1170,1166,147,1003,858
"6",1134,6018,5525,10,23,49,2128,4715,3511,5005,0,5,103,286,1745,2226,278,1751,1253
"7",1312,8630,8611,16,20,36,1208,2841,2190,2936,0,55,319,572,2004,2844,1750,1777,1691
"8",358,5528,5264,27,44,65,590,2143,1455,2104,0,145,637,1160,952,982,241,900,1159
"9",0,0,0,578,852,2073,255,1252,777,1247,0,1302,1523,2012,517,707,172,694,808
"10",0,0,0,2338,3587,8629,326,1026,648,1352,0,5643,2401,2487,558,1062,123,940,963
"11",0,0,0,4243,4046,10193,417,1207,844,1527,0,1946,2432,2692,985,1676,156,1734,1628
"12",0,0,0,2146,823,3597,514,880,1228,2747,0,115,1623,1249,617,1808,110,1522,1553
