"","ETH_2011_ERSS_v02_M","ETH_2013_ESS_v03_M","ETH_2015_ESS_v03_M","ETH_2018_ESS_v03_M","MLI_2014_EACI_v03_M","MLI_2017_EAC-I_v03_M","MWI_2010-2013_IHPS_v01_M","MWI_2010_IHS-III_v01_M","MWI_2016_IHS-IV_v04_M","MWI_2019_IHS-V_v05_M","NER_2011_ECVMA_V01_M","NER_2014_ECVMA-II_v02_M","NGA_2015_GHSP-W3_v02_M","NGA_2018_GHSP-W4_v03_M","UGA_2011_UNPS_v01_M","UGA_2013_UNPS_v02_M","UGA_2015_UNPS_v02_M","UGA_2018_UNPS_v02_M","UGA_2019_UNPS_v03_M"
"2000",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"2001",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2002",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2004",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2006",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2007",0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0
"2008",0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0
"2009",0,0,0,0,0,0,0,2813,0,0,0,0,0,0,0,0,0,0,0
"2010",0,0,0,0,0,0,0,2662,0,0,0,0,0,0,0,0,0,0,0
"2011",0,0,0,0,0,0,13,17,0,0,0,0,0,0,0,0,0,0,0
"2012",0,0,0,0,0,0,1490,0,0,0,0,0,0,0,0,14,0,0,0
"2013",0,0,0,0,0,0,1062,0,1,0,0,0,0,0,0,14839,0,1,0
"2014",0,0,0,0,0,0,0,0,291,2,0,0,0,0,0,665,2310,1,0
"2015",0,0,0,0,0,0,0,0,2215,1,0,0,9173,0,0,0,2634,0,0
"2016",0,0,0,0,0,0,0,0,989,8,0,0,759,0,0,0,1,5,0
"2017",0,0,0,0,0,17053,0,0,3,775,0,0,0,0,0,0,0,5155,1
"2018",0,0,0,0,0,110,0,0,0,4347,0,0,0,10706,0,0,0,7106,4735
"2019",0,0,0,0,0,0,0,0,0,1063,0,0,0,212,0,0,0,4,6989
"2020",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,29
